seed_set,spread,seed,communities,fairness,budget,time
"[1231, 352]",1071.55,2.000000000000001,0.5454232189072085,0.774487345572568,957.000000000001,0.0
[1231],527.0,1.0,0.6630690217484484,0.8325546111576978,201.99999999999923,0.0
"[1821, 367, 366, 352, 351, 107, 0]",1939.37,7.000000000000005,0.3570153040287274,0.5996273912438325,3823.9999999999986,0.0
"[1419, 1231, 351, 349]",1517.13,4.000000000000003,0.42317995279641085,0.6782797678092264,1249.0000000000011,0.0
"[4026, 4000, 3997, 3932, 3872, 3765, 3411, 3322, 3147, 3124, 3071, 3032, 2914, 2889, 2557, 2555, 2458, 2442, 2398, 2353, 2133, 1989, 1979, 1973, 1893, 1851, 1842, 1827, 1821, 1784, 1780, 1759, 1758, 1747, 1648, 1595, 1384, 877, 823, 482, 366, 352, 351, 350, 349, 239, 236, 215, 147, 107, 54, 0]",2116.8,52.0,0.22589122632953673,0.48696893532230856,6019.000000000001,0.0
"[4029, 4017, 4000, 3997, 3932, 3928, 3872, 3765, 3571, 3570, 3565, 3549, 3548, 3538, 3510, 3489, 3482, 3411, 3359, 3350, 3329, 3071, 3032, 2978, 2755, 2742, 2729, 2557, 2555, 2551, 2532, 2525, 2470, 2469, 2458, 2442, 2398, 2353, 2173, 2053, 2035, 1989, 1976, 1973, 1972, 1968, 1956, 1863, 1850, 1842, 1833, 1827, 1821, 1818, 1809, 1784, 1758, 1726, 1595, 1481, 1068, 1012, 935, 877, 823, 500, 494, 482, 480, 424, 413, 399, 367, 366, 352, 351, 350, 349, 291, 239, 236, 107, 0]",2199.44,83.0,0.2324012233735525,0.34376642968721893,7337.000000000001,0.0
"[3407, 351, 107]",1618.61,3.0000000000000018,0.4370602289750466,0.7276815036674354,2037.9999999999995,0.0
"[4026, 4017, 4000, 3997, 3970, 3932, 3872, 3765, 3581, 3571, 3570, 3565, 3548, 3538, 3482, 3411, 3359, 3350, 3147, 3124, 3032, 2914, 2889, 2861, 2742, 2551, 2532, 2473, 2470, 2442, 2398, 2353, 2133, 2077, 2035, 1989, 1979, 1973, 1905, 1858, 1851, 1842, 1833, 1827, 1821, 1780, 1759, 1758, 1747, 1726, 1595, 1481, 1384, 1345, 1232, 1012, 877, 823, 480, 424, 413, 384, 367, 366, 352, 351, 350, 349, 291, 239, 236, 215, 107, 61, 54, 0]",2191.75,76.0,0.22569200462163141,0.39127554973100986,6899.000000000001,0.0
"[4026, 4000, 3997, 3932, 3872, 3765, 3548, 3538, 3124, 3032, 2469, 2458, 2450, 2442, 2398, 2353, 2258, 2123, 2053, 1979, 1973, 1956, 1893, 1850, 1842, 1827, 1821, 1784, 1759, 1747, 1595, 1412, 925, 823, 352, 351, 350, 349, 239, 215, 107, 0]",2103.11,42.0,0.22829034216053556,0.459795683707628,5201.0,0.0
"[1821, 367, 352, 351, 107, 0]",1911.87,6.000000000000004,0.35908006495174816,0.5941164688269059,3592.9999999999995,0.0
