seed_set,spread,seed,communities,fairness,budget,time
[775],0.12433275563258232,1.0,0.3232666525037976,0.1674453888423022,0.9962394372428439,0.19999999999999996
[484],0.03085169596434761,1.0,0.10669570298655617,0.1674453888423022,0.9996018227668894,0.8
"[3953, 3086, 3027, 2830, 2444, 1316, 980, 336, 149, 70]",0.19612032681356772,0.91,0.47182314254321545,0.4214794179839826,0.9904437464053444,0.19999999999999996
"[3407, 351, 107]",0.3988165387472146,0.98,0.5621557127977529,0.27231849633256455,0.909834977657833,0.0
[107],0.21329289428076256,1.0,0.3981750655458144,0.1674453888423022,0.9537671990443747,0.0
"[1821, 352, 351, 107, 0]",0.4657737063629611,0.96,0.6382524707057136,0.36394298207213027,0.8457726850418086,0.0
"[756, 484]",0.03726169844020797,0.99,0.11139766921347283,0.22554079231883195,0.9995133389373092,0.8
"[2344, 397]",0.017328546669967814,0.99,0.07670499522516483,0.22473327196867054,0.9996903065964695,1.0
[3385],0.04727655360237682,1.0,0.1892270862243386,0.1674453888423022,0.9989824359598284,0.4
"[3843, 3824, 3814, 3534, 3526, 3098, 3046, 2833, 2543, 2409, 2375, 2329, 2243, 2053, 1995, 1969, 1960, 1869, 1831, 1827, 1821, 1809, 1613, 1388, 1346, 1291, 1022, 717, 489, 449, 374, 366, 361, 352, 351, 349, 332, 239, 107, 26, 10, 0]",0.529952958653132,0.59,0.7386289016406803,0.6455832072530724,0.7433526523027917,0.0
"[2133, 107]",0.3130601634067839,0.99,0.49121417257266387,0.2254561264895163,0.9468654603371234,0.0
"[2463, 1833, 1831, 1821, 366, 352, 351, 107, 0]",0.4951671205743996,0.92,0.68350121638703,0.42267117923023945,0.8228553731805512,0.0
"[3385, 1541]",0.050128744738796735,0.99,0.1853955978215367,0.22555273097252793,0.9988939521302482,0.6
"[3843, 2833, 2053, 1968, 1960, 1831, 1827, 1821, 1809, 366, 352, 351, 107, 26, 0]",0.5038796731864323,0.86,0.72515457499523,0.4341097000213928,0.8096270406583197,0.0
"[4022, 4020, 3926, 3925, 3843, 3824, 3814, 3808, 3565, 3545, 3534, 3526, 3298, 3046, 2933, 2833, 2789, 2567, 2513, 2421, 2409, 2260, 2243, 2222, 2053, 2003, 1995, 1978, 1969, 1960, 1945, 1905, 1891, 1869, 1827, 1821, 1809, 1769, 1758, 1753, 1741, 1739, 1613, 1589, 1388, 1346, 1291, 1134, 1022, 986, 877, 449, 448, 374, 367, 366, 361, 352, 351, 332, 252, 239, 213, 107, 0]",0.5422084674424362,0.36,0.7505829971594127,0.6065129331475705,0.718975357253462,0.0
"[3925, 3843, 3814, 3545, 3516, 3298, 2833, 2589, 2543, 2410, 2053, 1968, 1960, 1831, 1821, 1809, 1753, 1291, 1054, 1022, 714, 366, 361, 352, 351, 349, 239, 107, 26, 0]",0.5224709086407527,0.71,0.7173291249822584,0.49056688775508583,0.7760031854178648,0.0
"[3824, 3814, 3298, 2463, 1969, 1833, 1831, 1821, 1212, 581, 366, 352, 351, 349, 239, 107, 0]",0.506293637038871,0.84,0.6979571611522353,0.43340908114542975,0.803079237269389,0.0
"[3480, 3298, 2833, 2053, 1987, 1960, 1831, 1827, 1821, 556, 366, 352, 351, 349, 107, 25, 21, 0]",0.510443179004704,0.83,0.7165918415803535,0.49393002492087124,0.7960447728177675,0.0
"[1821, 366, 352, 351, 271, 107, 0]",0.48055459272097056,0.94,0.6451923837599721,0.39534045802521955,0.8323231429456267,0.0
"[3925, 3843, 3814, 3545, 3298, 2833, 2543, 2410, 2053, 1869, 1831, 1827, 1821, 1800, 1068, 1027, 1022, 714, 366, 361, 352, 351, 349, 239, 107, 25, 21, 0]",0.5193042832384253,0.73,0.7338179497406264,0.4883150644374187,0.7762243949918153,0.0
