n_nodes,influence,communities,nodes
1.0,834.75,5.0,[107]
2.000000000000001,1303.13,5.0,"[352, 107]"
2.000000000000001,735.45,4.0,"[2997, 485]"
1.0,214.82,2.0,[3436]
6.000000000000004,1902.17,5.0,"[0, 352, 1959, 107, 1821, 351]"
8.999999999999996,1969.85,5.0,"[0, 3809, 352, 1821, 107, 1979, 3581, 350, 351]"
5.0000000000000036,1834.02,5.0,"[352, 1959, 107, 1821, 351]"
1.0,86.01,0.0,[1282]
65.0,2180.91,5.0,"[0, 2050, 1795, 403, 1821, 1070, 3121, 1850, 1979, 1087, 323, 330, 208, 1869, 2895, 1871, 1490, 2900, 2652, 3549, 350, 351, 352, 359, 3559, 107, 2670, 496, 3056, 3824, 2930, 500, 373, 2933, 291, 3957, 1960, 3757, 3581, 2046, 1843, 1973, 1846, 2870, 56, 2878, 2368, 2372, 3531, 3916, 3921, 3020, 2512, 465, 345, 1883, 2435, 2020, 2150, 1516, 3566, 3573, 1401, 507, 2651]"
72.0,2196.2,5.0,"[0, 2050, 1795, 3460, 1410, 1167, 3855, 403, 3226, 3996, 1821, 3616, 291, 935, 1960, 2984, 2986, 4012, 3757, 430, 3121, 1843, 56, 1850, 4026, 2236, 1087, 2498, 323, 708, 2372, 711, 457, 330, 3531, 332, 1869, 1997, 2895, 1871, 2000, 465, 2512, 2900, 2004, 3030, 1490, 1496, 2521, 3020, 348, 3549, 350, 351, 352, 349, 3581, 867, 2523, 359, 3559, 362, 107, 3056, 496, 3824, 373, 3957, 2933, 2940, 1661, 2046]"
1.0,108.95,0.9999999999999998,[1260]
3.0000000000000018,751.52,4.0,"[3168, 1348, 380]"
44.00000000000001,2139.75,5.0,"[0, 1795, 403, 1944, 1821, 1950, 1827, 1843, 1850, 323, 3270, 3651, 332, 1869, 2895, 2900, 2138, 3757, 3549, 350, 351, 352, 3559, 359, 107, 3121, 3957, 56, 373, 2236, 2878, 3581, 1087, 330, 1871, 348, 867, 362, 3566, 496, 3056, 3824, 1661, 1407]"
3.0000000000000018,364.71,3.0,"[3436, 1260, 2881]"
42.0,2139.29,5.0,"[0, 2050, 1795, 645, 1167, 403, 3226, 1693, 1821, 3616, 291, 3757, 3121, 1843, 56, 1850, 2236, 2878, 1087, 323, 332, 1869, 1871, 2900, 3549, 350, 351, 352, 359, 3559, 107, 3824, 3056, 500, 373, 2933, 3957, 1401, 507, 2940, 3581, 2046]"
45.99999999999999,2147.88,5.0,"[0, 2050, 1795, 403, 3226, 1821, 1693, 1442, 291, 1960, 3757, 1070, 3121, 1843, 1973, 1846, 2870, 56, 1850, 1087, 323, 3651, 330, 3020, 2895, 2643, 345, 2900, 332, 708, 348, 1116, 350, 351, 352, 3531, 349, 3549, 359, 107, 3056, 3824, 373, 2933, 3581, 2046]"
4.000000000000003,1758.4,5.0,"[107, 2133, 351, 1821]"
44.99999999999999,2147.78,5.0,"[0, 1167, 403, 1821, 1827, 1843, 56, 1850, 1468, 1087, 538, 330, 332, 1869, 1871, 1876, 2900, 1883, 2652, 122, 350, 348, 351, 352, 867, 844, 362, 3549, 107, 3824, 373, 2236, 2933, 3581, 2046, 1407, 862, 3855, 291, 2689, 349, 1795, 323, 2895, 3957]"
1.0,446.07,4.0,[485]
80.0,2204.53,5.0,"[0, 2050, 56, 2108, 1087, 2652, 107, 122, 1167, 2236, 3824, 1795, 3855, 1821, 1827, 291, 1843, 1850, 2878, 323, 330, 332, 1869, 844, 1871, 2895, 1876, 2900, 1883, 348, 349, 350, 351, 352, 862, 867, 3945, 362, 2930, 373, 2933, 3957, 2940, 1407, 1410, 3460, 1944, 3993, 3996, 935, 2984, 2986, 4012, 430, 4026, 1468, 2498, 3531, 3020, 1997, 2512, 465, 2000, 1490, 2004, 3030, 1496, 2523, 3549, 3559, 1516, 3566, 2030, 496, 3056, 3058, 500, 507, 3581, 2046]"
9.999999999999996,1976.9,5.0,"[0, 352, 3581, 1795, 1987, 359, 1821, 107, 1979, 351]"
82.0,2206.66,5.0,"[0, 2090, 56, 1087, 2652, 107, 122, 1167, 2236, 3824, 1795, 3855, 1821, 1827, 291, 1843, 1850, 2878, 323, 330, 844, 1869, 332, 2895, 1871, 1876, 2900, 1883, 348, 349, 862, 351, 352, 350, 867, 3945, 362, 2930, 2933, 3957, 373, 2940, 1407, 1410, 3460, 403, 1944, 3993, 3996, 935, 1960, 2984, 2986, 4012, 430, 4026, 1468, 2498, 3531, 3020, 1997, 2000, 2512, 1490, 465, 2004, 3030, 1496, 2523, 3549, 3559, 1516, 3566, 2030, 496, 3056, 3058, 500, 507, 3581, 2046, 2608]"
48.0,2155.1,5.0,"[0, 2050, 1795, 260, 1167, 403, 21, 1821, 3616, 291, 3757, 1839, 3121, 1843, 56, 1850, 2236, 2878, 1087, 3777, 323, 332, 1869, 1871, 2900, 1883, 348, 3549, 350, 351, 352, 2652, 359, 3559, 107, 3056, 3824, 496, 500, 2933, 373, 3957, 1401, 507, 2940, 3581, 2046, 2303, 2236]"
66.99999999999999,2185.32,5.0,"[0, 2050, 1795, 3460, 1410, 1167, 3855, 1944, 3993, 3996, 1821, 1827, 291, 935, 2984, 2986, 430, 1843, 56, 1850, 4026, 2236, 2108, 2878, 1087, 1468, 2498, 323, 330, 3531, 844, 332, 1869, 1871, 2895, 3020, 1997, 2512, 1876, 2900, 1883, 2652, 349, 862, 348, 350, 351, 352, 867, 3549, 3559, 3945, 362, 107, 3824, 496, 2930, 500, 373, 2933, 3957, 122, 507, 2940, 3581, 2046, 1407]"
63.0,2179.65,5.0,"[0, 2050, 1795, 1410, 1167, 3226, 1821, 1693, 3616, 291, 3121, 1843, 56, 1850, 2236, 3772, 2878, 1218, 323, 711, 330, 24, 1869, 1868, 2895, 1871, 708, 332, 2372, 3525, 3651, 2900, 457, 507, 2523, 1883, 3549, 350, 351, 352, 496, 3531, 3532, 348, 3559, 359, 107, 3641, 3921, 500, 2933, 3957, 373, 1401, 2940, 3581, 2046, 1997, 596, 2512, 465, 345, 2652]"
11.999999999999998,2000.67,5.0,"[0, 1167, 1821, 1955, 1843, 1987, 352, 3581, 359, 107, 350, 351]"
53.0,2166.65,5.0,"[0, 352, 3581, 1795, 2050, 359, 1821, 260, 107, 351, 1167, 403, 21, 3616, 291, 3757, 1839, 2416, 1843, 56, 1850, 2236, 2878, 1087, 3777, 323, 332, 1869, 1871, 2900, 1032, 348, 3549, 350, 2652, 3559, 3056, 3824, 496, 500, 2933, 373, 3957, 1401, 507, 2940, 2046, 2303, 2236, 1496, 2521, 3020, 349, 867]"
35.0,2121.44,5.0,"[0, 2050, 1795, 1167, 403, 21, 3226, 1821, 1693, 3757, 1839, 1843, 1973, 56, 332, 1869, 2900, 2652, 3549, 862, 350, 351, 3809, 2530, 352, 359, 362, 107, 3824, 2933, 373, 122, 3581, 2046, 1407]"
15.000000000000002,2026.28,5.0,"[0, 352, 2050, 1795, 1955, 107, 1869, 366, 1167, 403, 1656, 56, 1850, 1821, 351]"
40.0,2136.39,5.0,"[0, 2050, 1795, 403, 1821, 1950, 1070, 1843, 1973, 56, 1979, 2236, 2878, 1087, 3266, 323, 588, 1869, 332, 1871, 2900, 350, 351, 352, 3559, 359, 363, 107, 3824, 3056, 500, 3957, 373, 2933, 1656, 1401, 3835, 2940, 3581, 2468]"
29.000000000000004,2103.86,5.0,"[0, 1795, 1167, 403, 1821, 1955, 1843, 56, 1850, 1468, 332, 1869, 1871, 2900, 348, 2652, 350, 351, 352, 3549, 107, 368, 3824, 373, 2933, 3581, 2046, 1407, 80]"
79.0,2199.92,5.0,"[0, 352, 3581, 1795, 1987, 2108, 1821, 1087, 107, 351, 2652, 122, 1167, 2236, 3824, 3855, 1827, 7, 1843, 1850, 2878, 323, 330, 332, 1869, 844, 1871, 2895, 1876, 2900, 1883, 348, 349, 350, 862, 867, 3945, 3434, 362, 2930, 373, 2933, 3957, 2940, 1407, 1410, 3460, 1944, 3993, 3996, 935, 2984, 2986, 4012, 430, 4026, 2498, 3531, 3020, 1997, 2512, 465, 2000, 1490, 2004, 3030, 1496, 2523, 3549, 3559, 1516, 3566, 2030, 496, 3056, 3058, 500, 507, 2046]"
19.000000000000004,2054.06,5.0,"[0, 352, 2050, 1795, 3581, 1945, 107, 1850, 366, 403, 1656, 1821, 332, 351, 56, 1869, 2900, 373, 2652]"
26.0,2089.98,5.0,"[0, 2088, 1795, 403, 1821, 1070, 3226, 348, 1871, 1407, 1869, 350, 351, 1843, 56, 332, 3549, 359, 2900, 1850, 3824, 2933, 2652, 2428, 352, 107]"
38.0,2127.11,5.0,"[0, 2090, 1795, 1821, 3226, 352, 107, 403, 1839, 351, 1979, 1869, 448, 1871, 1617, 349, 2530, 1401, 122, 1070, 507, 1843, 260, 1850, 1087, 330, 332, 2895, 2900, 2652, 350, 359, 496, 3056, 3824, 327, 3581, 2046]"
33.99999999999999,2115.33,5.0,"[0, 2050, 1795, 3855, 1167, 403, 1821, 1827, 291, 1843, 56, 1850, 2236, 2878, 1087, 332, 1869, 2900, 2652, 3549, 350, 862, 352, 351, 359, 362, 107, 3824, 2933, 373, 122, 3581, 2046, 1407]"
37.0,2122.62,5.0,"[0, 2050, 1795, 1167, 3855, 403, 3226, 1693, 1821, 1442, 291, 1960, 3757, 3121, 1843, 56, 1850, 2236, 332, 1869, 1871, 2900, 348, 3549, 349, 350, 352, 351, 359, 362, 107, 3824, 373, 2933, 759, 3581, 2046]"
27.0,2098.54,5.0,"[0, 2050, 1795, 3855, 403, 1821, 1070, 1843, 56, 1850, 332, 1869, 1871, 348, 3549, 350, 2652, 351, 352, 486, 359, 107, 3824, 373, 2933, 3581, 1407]"
28.0,2101.5,5.0,"[0, 2088, 2387, 403, 1821, 1070, 3226, 3549, 1407, 348, 1869, 350, 359, 2900, 1871, 351, 332, 1883, 3581, 2046, 352, 56, 1843, 107, 3808, 2933, 2652, 1850]"
20.999999999999996,2068.77,5.0,"[0, 2090, 1795, 1821, 1871, 1407, 352, 107, 3581, 351, 359, 3824, 1843, 373, 2933, 2046, 56, 1973, 348, 350, 2652]"
2.000000000000001,155.56,0.9999999999999998,"[110, 1260]"
2.000000000000001,233.36,2.0,"[3436, 1789]"
19.999999999999993,2063.64,5.0,"[0, 2050, 1795, 403, 1821, 56, 1850, 1468, 332, 1869, 2900, 2652, 351, 352, 107, 366, 373, 1656, 3581, 2806]"
57.00000000000001,2171.46,5.0,"[0, 1795, 403, 3226, 1821, 1950, 3616, 291, 2088, 1070, 3121, 1843, 56, 1850, 3516, 2878, 1983, 1218, 323, 3653, 711, 330, 332, 1869, 3916, 1871, 1868, 2895, 2900, 345, 1883, 348, 3549, 350, 351, 352, 2652, 93, 3809, 2523, 349, 867, 359, 3559, 362, 107, 3965, 3824, 3056, 500, 2933, 373, 3957, 1401, 2940, 3581, 2046]"
10.999999999999998,1993.42,5.0,"[0, 1068, 352, 1821, 107, 1979, 3581, 350, 351, 359, 1945]"
17.000000000000004,2048.18,5.0,"[0, 352, 2050, 1821, 107, 1871, 3824, 403, 348, 2933, 2652, 56, 1850, 1468, 3581, 350, 351]"
