seed_set,spread,seed,communities,fairness,budget,time
[2944],0.0017850953206239167,1.0,0.12849638517381423,0.1674453888423022,0.9915940361898863,0.6
[3621],0.0015969299331517702,1.0,0.11553731830118852,0.1674453888423022,0.9988054683006681,0.8
"[2068, 2059, 2054, 2050, 1758, 1573]",0.014132210943302798,0.95,0.269836019400564,0.25973165171126567,0.9847365393974251,0.19999999999999996
"[3555, 2882]",0.002267888091111661,0.99,0.1038045616937846,0.22555298318780626,0.9992478874485687,0.8
[0],0.025932161426095567,1.0,0.18264934458737447,0.1674453888423022,0.984648055567845,0.19999999999999996
"[3994, 3922, 3635, 3474, 2915, 2586, 2582, 2081, 1943, 302, 170, 139]",0.012295122555087893,0.89,0.2776450197835776,0.35258709284596457,0.9897358757687033,0.19999999999999996
"[2882, 202]",0.0006140133696459519,0.99,0.04397927044756644,0.22436013603884242,0.9996903065964695,1.0
[2882],0.00032186184699182965,1.0,0.013948286935792087,0.1674453888423022,0.9998672742556298,1.0
"[2910, 0]",0.025394899727655358,0.99,0.18165860406839374,0.22436013603884242,0.9845595717382648,0.19999999999999996
"[1827, 1040, 844, 0]",0.03747462243129488,0.97,0.26732194407910526,0.2889088173920238,0.9715524487899836,0.19999999999999996
"[612, 0]",0.028326318395642484,0.99,0.2085288633142658,0.2254628674939333,0.9758881564394107,0.19999999999999996
"[1926, 1821, 1149, 671, 366, 352, 351, 107, 0]",0.15511512750680861,0.92,0.6271528091108582,0.4754626876838507,0.8159536344733,0.0
"[3581, 2180, 1827, 1821, 1670, 1664, 1022, 352, 351, 107, 0]",0.1586704629858876,0.9,0.634234614940902,0.41347988583089346,0.830641950183604,0.0
"[3623, 3581, 3545, 3255, 3226, 3098, 2995, 2978, 2941, 2902, 2871, 2870, 2852, 2806, 2797, 2756, 2739, 2605, 2521, 2461, 2440, 2362, 2355, 2326, 2296, 2207, 2188, 2089, 2088, 2087, 2054, 1973, 1892, 1850, 1843, 1842, 1839, 1831, 1827, 1821, 1699, 1664, 1663, 1581, 1573, 1561, 1495, 1466, 1455, 1441, 1431, 1426, 1424, 1416, 1373, 1312, 1298, 1268, 1253, 1231, 1203, 1199, 1097, 1070, 1022, 1002, 906, 876, 863, 844, 838, 712, 678, 571, 564, 556, 411, 382, 368, 366, 365, 362, 352, 351, 349, 348, 315, 304, 277, 271, 252, 170, 107, 68, 56, 26, 21, 0]",0.31031691012626883,0.03,0.7693542237398675,0.5808289581001479,0.38884218908994383,0.0
