seed_set,spread,seed,communities,fairness,budget,time
[500],0.0029710324337707352,1.0,0.15712294737054566,0.1674453888423022,0.9956200504357828,0.6
"[876, 721]",0.005758851200792276,0.99,0.21794938493107596,0.22554079231883195,0.9867274255629783,0.19999999999999996
"[3946, 2978, 2806, 2797, 2792, 2440, 2296, 1864, 1821, 1588, 1490, 1411, 1318, 1289, 1107, 1099, 1098, 721, 678, 369, 352, 348, 239, 136, 21, 0]",0.14246843278039117,0.75,0.5577521938440676,0.551750484084374,0.7940096447374243,0.0
"[3851, 3486, 2622, 2581, 2427, 2207, 1831, 1821, 1441, 1268, 1040, 877, 863, 852, 763, 721, 685, 612, 371, 352, 277, 107, 21, 0]",0.16283238425352808,0.77,0.577304114813854,0.46582706355103776,0.7733929124452507,0.0
"[2537, 1431, 1099, 590, 349, 348]",0.030143599900965587,0.95,0.3320948361338816,0.3612599142327382,0.9585010839269124,0.19999999999999996
"[3808, 2995, 2832, 2617, 2521, 2427, 2173, 2154, 2087, 1968, 1858, 1821, 1648, 1573, 1455, 1441, 1426, 1417, 1397, 1320, 1312, 1285, 1107, 1070, 1022, 958, 838, 690, 351, 348, 107, 0]",0.19234216390195594,0.69,0.6225932586672329,0.5443910948065924,0.7026058487811353,0.0
"[1490, 351]",0.03433027977222085,0.99,0.31465228266434864,0.22191636460744535,0.9519532805379817,0.19999999999999996
"[3955, 3882, 3869, 3754, 3528, 3453, 3424, 3368, 3361, 3286, 3119, 2706, 2694, 2468, 2464, 2433, 2361, 2130, 2126, 2056, 2049, 2027, 1986, 1802, 1741, 1726, 1512, 1424, 1377, 712, 692, 638, 407, 235, 234, 10]",0.042916563505818274,0.65,0.4618337000065843,0.5895230738964734,0.9356722558952352,0.0
"[3998, 3984, 3894, 3862, 3786, 3767, 3734, 3729, 3725, 3653, 3597, 3580, 3521, 3515, 3405, 3396, 3376, 3339, 3318, 3219, 3199, 3096, 3083, 3061, 3059, 2972, 2939, 2915, 2881, 2875, 2870, 2810, 2772, 2754, 2555, 2551, 2549, 2548, 2500, 2496, 2491, 2432, 2424, 2375, 2297, 2257, 2122, 2085, 2003, 1965, 1899, 1889, 1881, 1838, 1791, 1763, 1710, 1709, 1603, 1577, 1551, 1499, 1483, 1433, 1355, 1243, 1223, 1203, 1194, 1189, 1137, 834, 815, 703, 664, 638, 579, 564, 542, 412, 386, 251, 211, 201, 35, 14]",0.09282000495172071,0.15,0.6199546920585024,0.7636191350400859,0.8673184975445738,0.0
"[4038, 4023, 3979, 3851, 3813, 3774, 3771, 3755, 3751, 3697, 3681, 3680, 3671, 3662, 3583, 3555, 3479, 3439, 3399, 3381, 3317, 3227, 3134, 3096, 3092, 3039, 3006, 2985, 2965, 2924, 2869, 2840, 2735, 2566, 2526, 2517, 2516, 2477, 2444, 2415, 2374, 2312, 2305, 2265, 2232, 2228, 2225, 2156, 2102, 2080, 2063, 2043, 1946, 1894, 1874, 1859, 1857, 1786, 1784, 1783, 1731, 1695, 1652, 1643, 1546, 1536, 1501, 1323, 1309, 1303, 1292, 1186, 1149, 1124, 1043, 993, 855, 830, 792, 791, 784, 773, 762, 676, 578, 575, 524, 523, 512, 479, 322, 308, 269, 267, 226, 224, 183, 151, 108, 61, 42]",0.1175315672196088,0.0,0.6268265819849732,0.7883623259010729,0.8212184223333185,0.0
"[4033, 3872, 3692, 3668, 3538, 3413, 3125, 2779, 1942, 1602, 1538, 865, 846, 347, 231, 50]",0.02127011636543699,0.85,0.39671336762223586,0.521382345293905,0.9726142547449453,0.19999999999999996
"[3964, 3953, 3876, 3590, 3559, 3543, 3470, 3251, 3193, 3190, 3181, 3038, 2883, 2837, 2741, 2714, 2686, 2586, 2562, 2376, 2354, 1998, 1979, 1905, 1758, 1504, 1294, 1065, 1064, 1057, 986, 743, 723, 632, 623, 485, 382, 290, 199, 198]",0.04746967071057192,0.61,0.49450897803975635,0.634590625755239,0.9335928859001017,0.19999999999999996
"[3814, 3414, 3283, 3260, 3088, 2875, 2636, 2420, 2230, 1960, 1945, 1611, 1519, 1333, 1211, 799, 663, 348, 337]",0.032894280762564995,0.82,0.4083225410686796,0.5394621479426589,0.955846569039508,0.19999999999999996
"[3602, 3443, 3065, 3047, 2971, 2920, 2795, 2741, 2564, 2321, 2183, 2045, 1965, 1915, 1867, 1771, 1741, 1727, 1713, 1478, 1445, 1425, 1015, 970, 941, 919, 904, 886, 811, 349, 324, 312, 134, 83, 41, 23]",0.053988611042337216,0.65,0.47598218821676463,0.5341235014948191,0.9254081316639384,0.0
"[4038, 3973, 3916, 3784, 3715, 3556, 3497, 3401, 3394, 3320, 3309, 3228, 3184, 3052, 3017, 2985, 2966, 2795, 2740, 2660, 2634, 2548, 2510, 2387, 2338, 2330, 2318, 2300, 2155, 2136, 2114, 1983, 1968, 1907, 1859, 1788, 1669, 1624, 1608, 1554, 1540, 1503, 1500, 1485, 1450, 1332, 1305, 1069, 1050, 629, 561, 536, 532, 455, 367, 345, 329, 298, 214, 191, 189, 174, 102, 86, 0]",0.09832136667491953,0.36,0.5499462724621622,0.6675011869293922,0.871786930938371,0.0
