n_nodes,influence,obj,nodes
1.0,0.0,0.4,[362]
1.0,0.0,0.6,[1352]
1.0,0.04,0.19999999999999996,[107]
0.93,0.07,0.19999999999999996,"[0, 322, 2154, 107, 3661, 1199, 1455, 2442]"
0.99,0.06,0.19999999999999996,"[0, 107]"
1.0,0.0,0.8,[3714]
1.0,0.0,1.0,[975]
0.99,0.0,0.8,"[157, 886]"
0.95,0.15,0.0,"[0, 352, 1821, 107, 1373, 351]"
0.98,0.06,0.19999999999999996,"[0, 2774, 107]"
0.14,0.31,0.0,"[0, 9, 1045, 2073, 2594, 2088, 3634, 56, 2111, 67, 1096, 1098, 1107, 2154, 107, 1656, 122, 2188, 1710, 3774, 2241, 721, 3808, 3301, 1253, 2293, 2806, 1289, 2315, 2832, 1298, 2836, 1821, 1312, 1827, 1831, 1320, 2355, 1843, 2871, 315, 838, 2902, 348, 1373, 349, 351, 863, 352, 2403, 1892, 360, 361, 876, 877, 2925, 367, 365, 366, 371, 372, 373, 1397, 378, 2427, 1411, 2440, 1424, 1426, 403, 1428, 917, 1431, 3486, 1443, 3493, 1969, 1973, 1466, 958, 2508, 1490, 1495, 3545, 991, 500, 309]"
0.99,0.07,0.0,"[351, 107]"
0.96,0.06,0.19999999999999996,"[0, 2689, 351, 1285, 136]"
0.99,0.0,0.6,"[1352, 614]"
0.97,0.1,0.0,"[107, 2622, 1821, 351]"
0.51,0.27,0.0,"[0, 136, 2440, 2188, 1039, 2832, 403, 1428, 917, 1431, 1821, 1312, 2594, 1827, 1443, 3110, 1063, 2088, 1831, 1070, 1199, 1710, 1457, 1969, 1203, 1843, 315, 3774, 2241, 2629, 838, 2508, 721, 2130, 1490, 2902, 348, 1373, 349, 351, 352, 863, 991, 2403, 2154, 107, 366, 367, 122, 2427]"
0.96,0.13,0.0,"[0, 1582, 107, 1821, 351]"
0.99,0.0,1.0,"[2166, 3323]"
0.42,0.28,0.0,"[0, 2440, 136, 1289, 2188, 1039, 2832, 403, 1428, 917, 1431, 1821, 1312, 2594, 1827, 1443, 3110, 1063, 2088, 1831, 1070, 1199, 1710, 1457, 1969, 1203, 1843, 315, 3774, 2241, 2629, 838, 2508, 721, 2130, 1490, 2902, 348, 1373, 349, 351, 352, 863, 991, 2403, 1892, 1253, 2154, 107, 2925, 366, 367, 371, 372, 2293, 1397, 122, 2427, 742]"
0.95,0.01,0.4,"[2048, 3721, 3541, 2599, 2489, 2200]"
0.94,0.07,0.19999999999999996,"[0, 2832, 3346, 1929, 2276, 107, 1373]"
0.99,0.01,0.4,"[362, 516]"
0.36,0.28,0.0,"[0, 2188, 2832, 403, 1428, 1045, 917, 2073, 1821, 1312, 2296, 1443, 3581, 3634, 1457, 67, 2241, 2871, 721, 366, 3808, 3301, 352, 1253, 950, 351, 2293, 564, 1096, 348, 3146, 2154, 2797, 1710, 107, 368, 2677, 838, 1203, 1285, 2508, 991, 1411, 349, 2902, 1827, 2440, 1188, 1831, 1289, 1431, 3486, 1969, 863, 2403, 1843, 1373, 361, 367, 877, 371, 1466, 315, 2130, 1490]"
0.98,0.09,0.0,"[0, 107, 1821]"
0.7,0.23,0.0,"[0, 2188, 2832, 403, 1428, 1045, 917, 2503, 1821, 1312, 1827, 1831, 2088, 3634, 1843, 2871, 67, 838, 1490, 2130, 2902, 348, 349, 1373, 991, 352, 351, 107, 366, 2293, 1397]"
0.85,0.2,0.0,"[0, 352, 2594, 1827, 1831, 2154, 107, 2188, 1070, 1373, 403, 1428, 348, 349, 1821, 351]"
0.77,0.22,0.0,"[0, 1312, 2594, 1827, 2154, 1831, 352, 107, 349, 1070, 1373, 1268, 1428, 917, 348, 1821, 351, 1490, 2130, 2902, 991, 366, 2293, 1397]"
0.5,0.27,0.0,"[0, 2176, 2188, 2832, 1426, 403, 1428, 1045, 917, 1431, 2073, 411, 1821, 3486, 2465, 2978, 1827, 3493, 1831, 2088, 1455, 1969, 3634, 1843, 1973, 2871, 1466, 3522, 67, 838, 1490, 2130, 2902, 348, 349, 1373, 991, 352, 351, 2403, 741, 2154, 107, 366, 367, 371, 500, 1397, 2293, 373, 1656]"
0.65,0.24,0.0,"[0, 1411, 1285, 136, 9, 2440, 2188, 917, 1821, 1827, 1831, 2088, 3634, 1843, 2871, 56, 2111, 67, 838, 1096, 1098, 1490, 2902, 348, 1373, 349, 991, 351, 352, 2403, 2154, 107, 366, 367, 371, 3717]"
0.92,0.17,0.0,"[0, 352, 2305, 107, 349, 1199, 348, 1821, 351]"
0.29,0.29,0.0,"[0, 2188, 2832, 403, 1428, 1045, 917, 2073, 1821, 1312, 2296, 2871, 1443, 2088, 3634, 1426, 67, 1457, 1431, 721, 366, 2241, 3808, 352, 3301, 411, 1253, 2293, 2806, 1411, 2440, 351, 1289, 2154, 2315, 348, 107, 271, 1424, 1298, 2836, 2326, 1188, 838, 1827, 1831, 1320, 3045, 349, 2902, 2355, 1843, 315, 322, 1490, 2130, 1373, 863, 876, 877, 367, 365, 373, 378, 2427, 371, 372, 2925, 360, 361, 2403, 1892]"
0.83,0.2,0.0,"[0, 1821, 1312, 1827, 1831, 1457, 1843, 2871, 3402, 3117, 2902, 348, 349, 991, 352, 351, 107, 366]"
