seed_set,spread,seed,communities,fairness,budget,time
"[5124, 4623, 4573, 4423, 3470, 2801, 2450, 2362]",0.002116208922051119,0.93,0.26396891942091083,0.37528506826134767,0.9283047050037341,0.8
"[4710, 4340, 4016, 3655, 3554, 3174, 2641, 2445, 1896, 909, 885]",0.0030211144626131133,0.9,0.30588484465345833,0.4078782424028293,0.8805078416728902,0.8
"[6238, 6154, 6048, 6043, 6010, 5912, 5830, 5787, 5624, 5489, 5409, 5191, 5159, 5134, 5128, 5097, 5051, 4971, 4850, 4703, 4682, 4650, 4636, 4471, 4382, 4332, 4285, 4047, 4044, 3892, 3808, 3721, 3611, 3553, 3491, 3467, 3217, 3186, 3161, 2696, 2647, 2573, 2375, 2219, 1926, 1790, 1729, 1718, 1660, 1406, 1377, 1355, 1277, 1221, 1107, 955, 914, 748, 679, 660, 582, 529, 489, 381, 289, 221, 209]",0.013167169391966979,0.34,0.40188711785995257,0.8021753024760311,0.6818521284540702,0.6
"[6215, 5840, 5677, 5562, 5521, 5517, 5437, 5353, 5301, 5281, 5276, 5264, 5220, 5114, 5108, 5073, 4978, 4546, 4394, 4271, 4230, 4203, 4158, 4093, 4038, 3978, 3977, 3762, 3685, 3567, 3562, 3414, 3261, 3254, 3125, 3094, 2963, 2961, 2839, 2809, 2808, 2693, 2649, 2646, 2577, 2554, 2528, 2516, 2491, 2479, 2444, 2393, 2311, 2242, 2098, 1930, 1885, 1849, 1823, 1809, 1733, 1628, 1624, 1530, 1455, 1434, 1052, 1018, 974, 943, 760, 688, 673, 619, 507, 441, 419, 363, 341, 295, 233, 22]",0.015745356405778697,0.19,0.4433286604030968,0.8096504102212472,0.6430171769977595,0.6
"[6192, 6148, 5990, 5972, 5816, 5651, 5595, 5474, 5417, 5408, 5373, 5299, 5202, 5112, 5105, 5018, 4936, 4791, 4772, 4760, 4620, 4577, 4571, 4540, 4508, 4504, 4496, 4422, 4392, 4379, 4346, 4300, 4289, 4233, 4201, 3966, 3796, 3774, 3725, 3723, 3599, 3587, 3503, 3471, 3252, 3229, 3114, 3044, 3035, 2992, 2803, 2799, 2763, 2676, 2642, 2638, 2594, 2546, 2508, 2503, 2398, 2267, 2264, 2210, 2160, 2094, 2058, 1988, 1882, 1799, 1797, 1654, 1623, 1428, 1395, 1340, 1319, 1266, 1160, 892, 702, 690, 665, 613, 592, 502, 457, 411, 347, 337, 211, 146, 67, 54]",0.018285442133672013,0.07,0.44581198678650014,0.7815299184448959,0.4958924570575056,0.6
"[6290, 6258, 5856, 5760, 5602, 5533, 5460, 5394, 5291, 5087, 4985, 4915, 4911, 4841, 4761, 4595, 4317, 3878, 3784, 3598, 3582, 3355, 3234, 2932, 2904, 2563, 2418, 2358, 2231, 2166, 1709, 1706, 1106, 819, 806, 805, 683, 375, 272, 151, 50]",0.008048896650261947,0.6,0.34127858128782307,0.5840746329242471,0.8117998506348021,0.6
"[6297, 5969, 5907, 5831, 5752, 5680, 5655, 5545, 5323, 5246, 5186, 5044, 4914, 4761, 4727, 4517, 4339, 4332, 3853, 3845, 3824, 3756, 3605, 3410, 3407, 3404, 3360, 3199, 3183, 3154, 3117, 3061, 2667, 2655, 2653, 2346, 2341, 2260, 2047, 1942, 1850, 1552, 1441, 1436, 1405, 1402, 1301, 1141, 1050, 519, 465, 458, 283, 52]",0.010552468645816796,0.47,0.35374701879322745,0.674488679764215,0.7617625093353249,0.6
"[6298, 6224, 6204, 6190, 5958, 5928, 5890, 5842, 5841, 5680, 5615, 5561, 5515, 5479, 5264, 5248, 5162, 5134, 4948, 4915, 4835, 4595, 4449, 4129, 4123, 3910, 3838, 3777, 3558, 3377, 3327, 3206, 3190, 3079, 2630, 2628, 2561, 2509, 2496, 2418, 2356, 2073, 2008, 2003, 1936, 1923, 1905, 1674, 1519, 1456, 1432, 1344, 1317, 1047, 920, 625, 311, 272, 269, 258, 181, 151, 35]",0.01204953167169392,0.38,0.3894074138874529,0.7121739107169481,0.6811053024645257,0.6
"[6105, 6033, 5995, 5445, 5111, 4924, 4702, 4319, 4162, 2700, 1401, 937, 643, 460, 404, 150]",0.0030274646769328467,0.85,0.20107991148298598,0.45225431059843246,0.9342793129200896,0.8
"[6199, 6065, 5913, 5820, 5485, 5469, 5247, 5182, 5181, 5093, 5055, 4711, 4667, 4527, 4513, 4498, 4485, 4365, 4254, 4152, 3956, 3947, 3886, 3876, 3613, 3605, 3582, 3535, 3487, 3323, 3057, 2971, 2728, 2659, 2415, 2396, 2320, 2294, 2293, 2152, 2112, 2047, 2041, 1821, 1360, 1320, 1284, 1182, 944, 942, 936, 927, 847, 777, 720, 681, 635, 600, 526, 497, 372, 263, 251, 229, 165]",0.012151135100809653,0.36,0.3717797771208423,0.7594925920306985,0.7393577296489917,0.6
