n_nodes,influence,communities,nodes
92.0,150.08,0.39068685846807494,"[916, 5335, 5881, 351, 4209, 4656, 3317, 3576, 1950, 5439, 6006, 1534, 4400, 1871, 443, 1190, 260, 5283, 5868, 225, 2892, 1710, 214, 1078, 774, 4009, 3, 519, 1927, 34, 3105, 2955, 4621, 569, 1063, 2588, 978, 2840, 851, 3493, 4359, 4465, 6019, 2606, 2294, 4807, 4161, 2738, 1597, 1051, 180, 4456, 239, 4011, 2609, 5944, 4102, 6023, 381, 2362, 2753, 1171, 2378, 1431, 2481, 4, 1968, 2013, 1151, 1718, 4327, 3505, 2317, 3275, 1561, 565, 5, 1024, 2953, 5012, 4610, 2437, 6157, 2094, 4633, 1762, 3977, 6128, 1156, 474, 3087, 2540]"
20.999999999999996,34.17,0.6107732727830922,"[3968, 3709, 4041, 796, 6043, 386, 5359, 4801, 4762, 62, 116, 4478, 2110, 1489, 6114, 42, 2500, 1963, 312, 1665, 3646]"
81.0,135.34,0.41879425757647437,"[5007, 34, 2455, 119, 4401, 96, 41, 1614, 3889, 1176, 351, 4383, 4465, 4828, 1134, 1871, 816, 2715, 1260, 1314, 4327, 5864, 2842, 191, 3307, 2007, 6157, 3709, 4630, 3591, 2541, 5196, 4610, 1081, 447, 1509, 2450, 155, 1355, 2772, 54, 4485, 3284, 1171, 1105, 1415, 1225, 4027, 2374, 2481, 406, 5340, 1226, 1243, 81, 6071, 2198, 5335, 5513, 5984, 4484, 5454, 5410, 4387, 385, 2477, 2798, 6187, 4290, 3592, 3974, 1467, 5635, 3189, 1722, 2086, 6070, 2517, 474, 415, 3508]"
7.999999999999995,15.43,0.6885848968267483,"[3472, 401, 5335, 372, 4975, 581, 4653, 4722]"
91.0,116.84,0.5309424084356054,"[2562, 3077, 519, 3600, 532, 533, 1563, 2077, 2085, 1068, 2094, 5678, 52, 1589, 6200, 1595, 4669, 5694, 2624, 3651, 1612, 3151, 3673, 3679, 1634, 2661, 1125, 4722, 2674, 633, 3197, 5760, 4740, 2693, 138, 4240, 5265, 4754, 2198, 1174, 2201, 4762, 1698, 4264, 1203, 3771, 4284, 1728, 2244, 5319, 2265, 4847, 5872, 754, 3837, 5885, 3327, 5392, 2833, 4896, 4389, 3372, 2860, 2362, 3407, 2388, 4436, 5471, 1889, 4977, 1906, 4984, 3962, 6011, 3466, 5519, 409, 6043, 926, 6048, 1446, 2485, 5559, 4027, 1983, 1481, 1005, 2542, 1519, 4087, 4088]"
66.0,79.25,0.6041211615233987,"[5377, 4487, 2441, 1034, 3211, 5262, 526, 1298, 4246, 3352, 4891, 1693, 4898, 290, 2980, 3622, 6184, 3881, 2474, 297, 4652, 2093, 812, 4136, 180, 2358, 4150, 4920, 4026, 6076, 3265, 3139, 2627, 4423, 6087, 3918, 4560, 1745, 4690, 4307, 5972, 5843, 2260, 2008, 859, 1884, 3676, 4703, 4449, 4066, 4579, 2404, 3171, 3046, 4713, 1385, 3693, 1773, 1775, 1904, 4465, 1780, 2677, 3702, 3959, 3195]"
95.0,114.61,0.5871227227000562,"[5632, 3072, 2050, 3092, 6169, 6170, 2079, 3110, 4143, 5169, 2611, 5178, 6213, 2632, 2635, 3662, 1615, 2127, 4689, 78, 3158, 2137, 4193, 5731, 5220, 1125, 2155, 1645, 1651, 120, 5753, 3194, 3705, 4220, 4228, 1156, 1673, 4235, 1682, 4247, 5792, 1187, 1705, 4268, 4783, 4789, 1224, 3299, 4328, 5865, 2304, 2314, 1291, 4367, 282, 2330, 2852, 4902, 2862, 2863, 5424, 2865, 312, 317, 1353, 3412, 2388, 2394, 4959, 4451, 3434, 2928, 3959, 4473, 3973, 2441, 3986, 6036, 3480, 1960, 2985, 5547, 2993, 4034, 4554, 5582, 4048, 4051, 2515, 2005, 4566, 4073, 3564, 5100, 6136]"
41.0,49.62,0.6970063014693213,"[5115, 5652, 2198, 926, 1695, 32, 4008, 2739, 1974, 1207, 4280, 188, 3516, 3645, 2111, 5951, 2881, 4679, 3271, 455, 3916, 5584, 4433, 1748, 4310, 1625, 730, 2011, 5727, 3169, 4962, 2149, 1766, 2921, 5355, 5235, 2807, 4984, 5626, 4859, 6140]"
36.0,41.09,0.7554234527246423,"[3329, 1667, 3336, 393, 1673, 5664, 673, 1571, 1317, 4903, 1320, 4654, 4399, 561, 1461, 953, 4026, 569, 5564, 5950, 583, 4687, 1617, 5460, 601, 4058, 3419, 4956, 3164, 4711, 3948, 2540, 1267, 5236, 3958, 3578]"
50.0,59.42,0.6663301215152461,"[4866, 3208, 4235, 2834, 1814, 2583, 1048, 4636, 930, 1699, 2852, 5030, 166, 2860, 2988, 5296, 2484, 949, 6069, 5686, 5560, 2110, 3392, 5057, 324, 6213, 71, 1992, 715, 4044, 2380, 2507, 985, 2394, 989, 3296, 2665, 3434, 2155, 5998, 887, 1392, 6129, 5365, 2677, 2421, 5496, 3449, 3708, 3069]"
39.0,46.12,0.6985010728140385,"[2819, 388, 5496, 647, 4498, 5013, 5923, 2218, 3882, 3756, 5551, 179, 2878, 4799, 3905, 965, 5324, 2892, 4686, 463, 4942, 5202, 2006, 4825, 985, 4704, 4193, 2401, 4451, 5730, 1258, 363, 5877, 3960, 2425, 3963, 4604, 1533, 2174]"
81.0,96.89,0.579379577532119,"[4106, 2059, 2064, 3090, 531, 3101, 2594, 1066, 6194, 1589, 3642, 2664, 4713, 2666, 4205, 2157, 116, 6265, 126, 2175, 3202, 2691, 5257, 6281, 1166, 4252, 2731, 3244, 3265, 3778, 707, 4297, 740, 4848, 3313, 754, 1817, 1820, 4909, 3378, 4402, 5441, 5444, 4937, 329, 339, 1368, 3932, 4958, 4959, 872, 1393, 4989, 2432, 5523, 917, 4505, 3994, 5538, 3491, 932, 3499, 5547, 3506, 952, 4029, 5058, 3523, 1477, 4045, 2001, 2003, 5594, 3035, 3034, 3059, 5110, 503, 6136, 2553, 1530]"
49.0,58.6,0.6869094524478869,"[1792, 773, 2570, 6286, 4751, 2831, 3220, 6165, 5654, 4374, 410, 1178, 5021, 1950, 1954, 4644, 4391, 4904, 5162, 812, 3886, 430, 1712, 1460, 4404, 2616, 4032, 1728, 5186, 5699, 4165, 325, 839, 3272, 5322, 5450, 4683, 3668, 2517, 5084, 4578, 3556, 5093, 5094, 4584, 4589, 365, 879, 1268]"
81.0,95.15,0.63832620898676,"[2567, 2056, 4107, 546, 5157, 5682, 3639, 1599, 3649, 5185, 1097, 2638, 4687, 2138, 2139, 2652, 2658, 6256, 114, 3190, 2684, 4225, 3714, 6278, 648, 5768, 1677, 142, 1170, 6297, 4283, 5821, 2753, 3274, 3793, 1235, 2266, 1243, 4317, 1764, 1794, 3332, 5381, 3848, 5389, 4377, 3869, 2334, 1827, 3380, 5431, 1850, 5955, 840, 3913, 3927, 3416, 4957, 2398, 862, 864, 1379, 2921, 3440, 5001, 393, 6027, 1940, 2969, 2970, 3487, 1441, 937, 1452, 5039, 3536, 3027, 5080, 6115, 2043, 3070]"
8.999999999999996,11.29,0.8299251864241579,"[4230, 3815, 2409, 3245, 3958, 3255, 3417, 3869, 351]"
39.0,46.86,0.70433337079849,"[2432, 3716, 1670, 4490, 6033, 1428, 3352, 666, 4506, 2849, 2730, 4523, 5290, 1070, 3375, 4405, 5688, 953, 827, 5309, 1598, 576, 1733, 4805, 4679, 5322, 5707, 4817, 1750, 606, 3424, 3299, 2025, 746, 3819, 2284, 756, 2936, 3324]"
75.0,88.8,0.6220882282331996,"[3713, 6273, 642, 4100, 4870, 5511, 2694, 392, 6282, 5517, 6030, 3599, 1296, 1297, 3474, 1039, 4628, 2709, 2967, 1047, 792, 5018, 539, 3868, 5021, 5922, 1573, 5799, 937, 938, 1965, 5424, 2097, 4403, 2869, 5046, 2742, 2615, 2363, 3388, 3133, 2750, 1986, 2242, 4805, 2118, 1094, 5322, 843, 1100, 4044, 3534, 2511, 848, 1491, 214, 4566, 3801, 3546, 5211, 3931, 6237, 860, 6112, 3296, 3172, 2791, 872, 2921, 3182, 4463, 1394, 4979, 4599, 255]"
48.0,60.67,0.608903978420274,"[2560, 640, 258, 3716, 2695, 777, 1425, 1553, 275, 3101, 2078, 290, 4007, 2984, 5801, 2349, 1709, 1331, 4277, 310, 4791, 1339, 5440, 2115, 2380, 4685, 4429, 2252, 5335, 5463, 5849, 4088, 4059, 988, 5977, 869, 3430, 1767, 3689, 2925, 1391, 4467, 5110, 503, 5366, 886, 3578, 5756]"
22.999999999999996,28.68,0.7110288993556917,"[4744, 4105, 3347, 5790, 3614, 2463, 1697, 5282, 5675, 1074, 1463, 4281, 2881, 5698, 1742, 3153, 6099, 4056, 4319, 490, 4717, 3186, 2811]"
9.999999999999996,12.94,0.8049723833228445,"[833, 2088, 1320, 5853, 3369, 1226, 2487, 4091, 2365, 4383]"
61.0,76.89,0.569055217640923,"[6272, 3972, 5254, 4487, 4488, 2056, 1671, 1401, 269, 3086, 5904, 1425, 3473, 2323, 3352, 6045, 3361, 5922, 5154, 3233, 551, 3111, 5033, 3754, 5678, 4399, 2353, 6071, 3897, 3002, 1983, 2495, 705, 1858, 5825, 1478, 5062, 5448, 2378, 203, 716, 3660, 3279, 3666, 1494, 5854, 4319, 5344, 2145, 3040, 5605, 3942, 4846, 3442, 1906, 1523, 3703, 2553, 4218, 5883, 508]"
81.0,98.44,0.5578939790512593,"[2055, 2582, 4119, 1046, 553, 5675, 3631, 564, 4661, 5177, 2110, 4675, 5705, 5204, 3671, 2145, 4709, 5735, 1130, 2671, 1151, 5763, 2187, 1685, 2710, 1181, 4265, 4784, 691, 182, 4279, 1721, 5826, 1731, 3780, 210, 3284, 2779, 2815, 256, 5888, 2826, 3859, 3354, 4391, 4394, 1333, 2357, 3387, 2365, 837, 839, 2379, 334, 3408, 5969, 3411, 5463, 3928, 4958, 868, 879, 3447, 5501, 2950, 3986, 4500, 6055, 1460, 3510, 3010, 3016, 2004, 4565, 6106, 2531, 4075, 3057, 6134, 5623, 3062]"
4.000000000000003,5.39,0.8813940808607964,"[5137, 1585, 5190, 5695]"
7.999999999999995,9.3,0.8806328201479847,"[2021, 5289, 5578, 5004, 3502, 4148, 885, 4214]"
74.0,86.13,0.6513363320805984,"[4352, 5507, 3843, 1800, 2953, 910, 4878, 2832, 2066, 5653, 6039, 5912, 5913, 538, 3997, 4897, 1826, 2723, 5540, 4771, 1954, 4647, 3881, 5422, 4784, 2225, 3251, 950, 5943, 3383, 3129, 5179, 444, 3133, 1214, 3775, 6208, 964, 5444, 4934, 3656, 5577, 4939, 1871, 5327, 2386, 5971, 1748, 4565, 2647, 6232, 1241, 6234, 3418, 3417, 4829, 3162, 5983, 1377, 5859, 1124, 5480, 4968, 2921, 3436, 4333, 5230, 367, 238, 4337, 3443, 4857, 1018, 2299]"
33.99999999999999,39.48,0.7253092315891795,"[4865, 5378, 4356, 901, 391, 1287, 5902, 4496, 5017, 1309, 5287, 3766, 1216, 2497, 1225, 3704, 4559, 2265, 4314, 3163, 2401, 4090, 741, 360, 4072, 3946, 1001, 3701, 246, 2168, 1017, 1914, 2045, 127]"
45.99999999999999,57.73,0.657629836310325,"[1027, 4614, 1419, 12, 6156, 2831, 6288, 279, 5016, 4634, 2204, 2589, 5150, 420, 2853, 4647, 5801, 1449, 4394, 2223, 435, 2231, 4536, 3904, 4163, 966, 4424, 4426, 1611, 1356, 1752, 2779, 4315, 1885, 5982, 2277, 3685, 487, 3688, 6246, 3820, 5358, 4079, 1393, 1906, 1919]"
20.999999999999996,25.82,0.7488965716368248,"[3345, 4113, 4116, 6165, 4254, 2850, 5670, 4909, 4529, 4017, 4281, 1340, 6083, 4298, 723, 2009, 351, 97, 884, 894, 4223]"
89.0,105.28,0.5753530554044914,"[6145, 1025, 6158, 6160, 4627, 546, 3620, 37, 5163, 3629, 1070, 5178, 3642, 4158, 1093, 1607, 74, 4684, 5201, 3673, 5212, 4194, 6259, 1149, 1664, 3205, 5767, 4237, 4239, 3730, 5267, 2199, 1691, 667, 4253, 5794, 1706, 2737, 5303, 2754, 1733, 3270, 208, 5356, 1773, 1264, 757, 2811, 1788, 1790, 1284, 4879, 3351, 2847, 1315, 4903, 3368, 4394, 1834, 2347, 5934, 2373, 1357, 1374, 4969, 2925, 5488, 882, 4479, 3978, 912, 5521, 5522, 5011, 1430, 4515, 936, 2473, 5548, 1978, 4032, 5058, 6089, 2508, 4054, 2526, 2023, 1527, 3064]"
27.0,33.22,0.7407193600535561,"[4608, 3328, 513, 2048, 5248, 2439, 4104, 5391, 1682, 3219, 927, 5281, 3375, 2496, 4160, 2368, 5833, 1229, 3663, 2522, 3418, 733, 2543, 1269, 2043, 2557, 1151]"
41.0,49.09,0.7216823563977229,"[128, 513, 2434, 3074, 2181, 1161, 906, 1934, 1295, 5138, 789, 5655, 2199, 1438, 5025, 805, 4134, 4649, 559, 2739, 6073, 6076, 1608, 1870, 2384, 850, 3160, 3452, 3683, 4070, 5095, 4075, 110, 3441, 2293, 3830, 5365, 5240, 5753, 4987, 380]"
65.0,78.12,0.617594787380525,"[5888, 5377, 6276, 6022, 3719, 4359, 1289, 6153, 904, 4109, 5372, 917, 22, 5656, 3865, 3994, 5147, 2971, 5755, 3743, 1440, 6176, 1826, 34, 3108, 1572, 4262, 2591, 4908, 6061, 2098, 3251, 4020, 4920, 568, 2620, 3777, 577, 965, 711, 3272, 3657, 587, 4812, 1362, 1749, 729, 986, 5849, 5470, 2783, 4963, 2916, 3556, 4203, 5611, 1772, 5743, 3697, 3316, 5752, 2809, 4987, 124, 5245]"
80.0,97.65,0.5825819012831931,"[2048, 6146, 3079, 6160, 1555, 2076, 2077, 35, 1583, 5682, 5685, 2112, 6217, 3146, 1611, 2131, 3677, 3167, 6240, 1123, 3696, 3702, 4219, 644, 1161, 1165, 5815, 4795, 710, 5831, 4295, 4306, 211, 1239, 4314, 741, 4842, 4850, 254, 5894, 1291, 3862, 4380, 1313, 3371, 4399, 4402, 3381, 323, 3907, 326, 4423, 1354, 5452, 3917, 2394, 1901, 3438, 4980, 5503, 4996, 4998, 3977, 5518, 1942, 2970, 2459, 6046, 941, 430, 4013, 5560, 4540, 5055, 2507, 1494, 989, 1503, 2529, 3561]"
17.000000000000004,18.88,0.8443344747392341,"[4770, 5285, 1542, 5831, 40, 3465, 3722, 3942, 3468, 5806, 1969, 465, 1014, 2871, 1241, 2042, 3231]"
76.0,89.66,0.6092176564081332,"[6274, 4994, 2308, 3973, 3592, 1544, 1931, 400, 2961, 4498, 4753, 1044, 5653, 2582, 3095, 6043, 2843, 3230, 5407, 931, 5286, 4007, 936, 1961, 1323, 1963, 3757, 4015, 176, 1841, 2481, 1839, 3378, 5813, 183, 3383, 2618, 4925, 1857, 4418, 1345, 4932, 4807, 4938, 1995, 4682, 717, 3022, 3152, 5328, 3324, 342, 983, 5721, 2282, 4703, 5474, 1509, 3430, 4841, 4970, 6251, 747, 6125, 237, 4335, 1513, 1130, 6257, 5363, 3057, 3062, 6011, 4860, 3069, 1278]"
74.0,92.52,0.568515094183843,"[2944, 6016, 514, 2695, 2183, 3976, 6154, 1931, 5515, 4367, 5268, 3732, 4628, 2453, 665, 2715, 1564, 3996, 5793, 2850, 3107, 4901, 3111, 1064, 1069, 4397, 1840, 2609, 4787, 2996, 1335, 4920, 6202, 700, 5186, 6083, 2500, 69, 712, 1609, 2379, 4172, 461, 334, 2383, 3787, 4178, 4311, 2136, 5849, 4088, 4571, 4063, 5345, 2790, 1002, 4843, 1772, 2285, 4974, 5103, 624, 3819, 3186, 2419, 888, 1524, 2552, 121, 2682, 5371, 5628, 5245, 1406]"
82.0,103.0,0.5777958592810392,"[516, 4616, 522, 1547, 2065, 1055, 5668, 2596, 4656, 2098, 2103, 4668, 573, 6208, 6210, 3162, 4700, 3678, 1124, 616, 5228, 622, 4728, 123, 1148, 4222, 2698, 5773, 3216, 663, 676, 3751, 1703, 3753, 688, 1209, 1211, 1728, 713, 5835, 4302, 4816, 2257, 4826, 5339, 5338, 4842, 2290, 1780, 1784, 251, 1797, 3857, 795, 3874, 5422, 2390, 2908, 4968, 2930, 2424, 4477, 893, 2954, 415, 417, 4004, 4528, 5556, 1462, 4538, 6075, 448, 3022, 6095, 1489, 2002, 5596, 1503, 5603, 3558, 2047]"
71.0,83.97,0.6177293320609413,"[3713, 3460, 1796, 6153, 3596, 5517, 5132, 271, 1808, 2321, 1038, 1811, 149, 5118, 4247, 792, 413, 1438, 4135, 168, 297, 554, 1322, 809, 4399, 2864, 5682, 5684, 5048, 4408, 3385, 4283, 5309, 960, 5572, 1349, 1605, 1864, 5832, 4042, 584, 3658, 3278, 4816, 2132, 5077, 4054, 1367, 4442, 2655, 3809, 4834, 4578, 4196, 3301, 5348, 3944, 3692, 4333, 5997, 1519, 240, 2543, 4210, 5235, 627, 1913, 2427, 764, 893, 3070]"
76.0,95.64,0.560318655692885,"[2304, 1409, 1923, 1795, 4356, 6, 2823, 392, 4489, 904, 2949, 5133, 2830, 2575, 2832, 3983, 2200, 5145, 5273, 2843, 1948, 5920, 545, 161, 804, 4900, 4776, 425, 2728, 4777, 5934, 1970, 1330, 436, 3253, 5687, 5688, 2233, 2104, 1976, 1335, 1080, 3902, 4287, 5056, 705, 4802, 3396, 5317, 4551, 6089, 3018, 2123, 842, 972, 3537, 5716, 4309, 4826, 4316, 2653, 2526, 4067, 5860, 5222, 2151, 1896, 5607, 1001, 2920, 3306, 1517, 2798, 2674, 114, 5494]"
70.0,85.6,0.5995684485090289,"[4480, 3205, 5766, 6151, 1655, 5385, 3338, 5514, 5771, 4363, 5390, 1678, 5008, 5903, 662, 278, 6040, 3867, 1051, 4252, 3103, 673, 5412, 4777, 4267, 685, 5934, 5933, 1200, 4530, 3640, 5050, 5055, 4160, 3007, 5826, 3139, 4162, 4165, 2886, 197, 3777, 2249, 4173, 5968, 3539, 2259, 5844, 2518, 1622, 2647, 5593, 723, 92, 4956, 4319, 2913, 5602, 1123, 2660, 1765, 1641, 1002, 3949, 5231, 5109, 3702, 2550, 1400, 1147]"
64.0,78.4,0.5950387080793376,"[641, 2692, 6280, 137, 2569, 2064, 4625, 6163, 5910, 5398, 1558, 1818, 5533, 5661, 4895, 1567, 1442, 4515, 3362, 680, 6061, 3502, 431, 3893, 1589, 699, 4156, 5565, 1083, 3263, 5696, 2369, 4675, 2500, 6212, 72, 2121, 2506, 2763, 3404, 4557, 1229, 5967, 4174, 6225, 2260, 5847, 983, 2903, 3034, 350, 3166, 6114, 1892, 5349, 5478, 5353, 5356, 3949, 4210, 5748, 5750, 3319, 1405]"
60.00000000000001,74.0,0.6118812685324547,"[4097, 2056, 5513, 4490, 5897, 1292, 3721, 2830, 5393, 2578, 3093, 3990, 5525, 2200, 1049, 5785, 4760, 3870, 6047, 4512, 1057, 2479, 2351, 3249, 4147, 3764, 5430, 2998, 3384, 3512, 188, 4927, 64, 708, 326, 5318, 5707, 4174, 3152, 721, 1108, 470, 87, 4440, 4055, 983, 2011, 5469, 4062, 2656, 4323, 872, 874, 3178, 3056, 3441, 3828, 5368, 3451, 6015]"
95.0,118.52,0.5139667596841362,"[515, 2062, 4623, 527, 6158, 1553, 3095, 4633, 4646, 4147, 2099, 1593, 2108, 3647, 4161, 1094, 583, 1101, 5202, 96, 2657, 100, 4716, 3693, 109, 1154, 1668, 3718, 3215, 2708, 2203, 4252, 684, 4269, 4781, 4279, 2251, 3793, 4818, 3794, 4817, 3800, 3292, 3293, 223, 5344, 3807, 234, 3823, 1784, 1799, 3340, 4364, 271, 285, 4381, 2335, 3362, 2338, 2855, 3881, 2346, 2349, 816, 818, 4411, 3900, 4413, 2882, 839, 1352, 1865, 1366, 5469, 357, 4969, 1390, 2938, 1420, 408, 2972, 926, 2466, 2990, 1462, 956, 1986, 5063, 4561, 5592, 6106, 3038, 2533, 1015, 5116]"
47.0,54.25,0.6891436527406428,"[3201, 2, 261, 5125, 4873, 3605, 4246, 3735, 1560, 2073, 4506, 3991, 286, 2207, 1056, 3870, 4770, 1320, 3500, 3628, 563, 3124, 2997, 2487, 3128, 439, 2746, 3899, 5307, 188, 5438, 5569, 6083, 2117, 5191, 1481, 2762, 4947, 1620, 3419, 2530, 1900, 1395, 1523, 5238, 3960, 2302]"
63.0,78.41,0.6147534190627676,"[1, 3591, 5513, 4363, 3596, 4620, 6155, 5391, 5136, 6288, 2699, 403, 1940, 2962, 208, 1817, 2334, 419, 2596, 2468, 3494, 2984, 1579, 4143, 177, 4282, 5307, 1981, 3193, 6086, 200, 5322, 4427, 5707, 5452, 5200, 2385, 3793, 1107, 3536, 2517, 2390, 4818, 5464, 3670, 86, 3421, 1501, 2399, 5089, 2915, 3689, 3178, 2922, 366, 623, 2930, 3701, 5365, 5879, 4729, 5370, 3195]"
33.0,41.44,0.6883291634861621,"[2955, 6027, 654, 1784, 3472, 1438, 670, 2208, 1318, 297, 2090, 5758, 3754, 3888, 562, 4409, 3192, 1596, 5319, 1613, 3406, 5469, 1252, 2664, 5354, 748, 4590, 1265, 2036, 6263, 248, 4606, 5503]"
59.00000000000001,67.94,0.6634257472912256,"[128, 2178, 6275, 3075, 2563, 6281, 777, 5643, 2188, 5263, 785, 402, 1042, 5016, 4636, 28, 540, 2463, 551, 2985, 5163, 2988, 5296, 4020, 2106, 1212, 1214, 1345, 5442, 835, 1989, 839, 1097, 1226, 587, 4810, 4297, 3407, 5712, 1237, 86, 597, 2520, 3545, 218, 1116, 478, 4321, 3683, 4835, 2405, 1131, 365, 1007, 4719, 5238, 5110, 4987, 252]"
