seed_set,spread,seed,communities,fairness,budget,time
"[3740, 3473, 1049, 805]",0.0012621050960469917,0.97,0.2381758496280404,0.2867820979962097,0.9342793129200896,0.8
"[6048, 5512, 5483, 5459, 5454, 5357, 5265, 5169, 5045, 5022, 4919, 4678, 4531, 4395, 3826, 3671, 3616, 3430, 3422, 3381, 3337, 2995, 2967, 2935, 2849, 2820, 2611, 2482, 2436, 2435, 2383, 2308, 1929, 1920, 1448, 1436, 1412, 1391, 1370, 1368, 1336, 1326, 1283, 984, 951, 948, 524, 435, 351, 335, 330, 303, 275, 43]",0.01048261628829973,0.47,0.35388049365614194,0.8817401156244725,0.700522778192681,0.6
"[5335, 5302, 5200, 5196, 4302, 3796, 3731, 3473, 2925, 2878, 2798, 2743, 2450, 2139, 2095, 1746, 1643, 1423, 1244, 863, 847, 805, 712, 693, 146]",0.0072678202889347515,0.76,0.47525875941407225,0.6990530215000587,0.6616878267363704,0.6
"[6294, 5901, 5595, 5519, 5352, 5335, 5302, 5220, 5196, 5003, 4975, 4838, 4809, 4580, 4465, 4322, 4302, 4282, 3796, 3731, 3201, 3175, 3060, 2866, 2805, 2798, 2427, 2139, 2095, 2013, 1927, 1746, 1423, 1390, 1262, 1244, 1226, 1132, 909, 780, 712, 637, 495, 478, 386, 236, 226, 3]",0.012635338942689317,0.53,0.5470797176151265,0.8522866162695242,0.3584764749813294,0.6
"[5357, 5265, 4678, 4395, 3826, 3671, 3616, 3381, 3337, 2849, 2820, 2611, 2308, 1737, 1326, 1283, 524, 303, 275, 43]",0.0037799650738212414,0.81,0.22993388222546463,0.6550883273942403,0.8663181478715459,0.8
"[6294, 6097, 6078, 6048, 5955, 5535, 5512, 5459, 5335, 5322, 5220, 5219, 5196, 5091, 5045, 5022, 4978, 4919, 4821, 4576, 4531, 4429, 4395, 4365, 4322, 3977, 3932, 3740, 3731, 3473, 3472, 3430, 3381, 3347, 3337, 3201, 3053, 3007, 3004, 2995, 2967, 2964, 2935, 2849, 2820, 2805, 2798, 2648, 2511, 2482, 2446, 2436, 2435, 2371, 2139, 2015, 1979, 1962, 1920, 1872, 1861, 1746, 1470, 1469, 1464, 1448, 1445, 1436, 1429, 1412, 1370, 1368, 1336, 1302, 1262, 1244, 1226, 1132, 1028, 985, 978, 951, 948, 805, 637, 579, 475, 460, 459, 435, 351, 331, 303, 292, 275, 236]",0.02210827115415145,0.05,0.5769661478553003,0.895451883253668,0.16952949962658703,0.6
"[5985, 5335, 5244, 5219, 5200, 5196, 4327, 3731, 3687, 3581, 3473, 3175, 3121, 3111, 2811, 2798, 2732, 2455, 2397, 2262, 2258, 2002, 1929, 1781, 1751, 1743, 1706, 1302, 1274, 1262, 1244, 1242, 1220, 1211, 1128, 1105, 1076, 608, 570, 408, 235, 83, 9]",0.011893951420860454,0.58,0.532582007412994,0.7330056278592985,0.39283047050037345,0.6
"[5649, 5400, 5335, 4501, 3616, 3473, 3378, 3347, 3229, 2970, 2650, 1976, 1245, 984, 405]",0.00445785045245277,0.86,0.3994260983110547,0.5528607203631346,0.8117998506348021,0.6
"[6294, 6097, 6078, 6048, 5955, 5535, 5512, 5459, 5335, 5322, 5220, 5219, 5091, 5045, 5022, 4978, 4919, 4821, 4576, 4531, 4429, 4395, 4365, 4322, 3977, 3932, 3740, 3731, 3616, 3473, 3472, 3430, 3381, 3347, 3337, 3201, 3053, 3007, 3004, 2995, 2967, 2964, 2935, 2849, 2820, 2805, 2798, 2565, 2511, 2482, 2446, 2436, 2435, 2371, 2095, 2080, 2015, 1979, 1962, 1920, 1872, 1861, 1746, 1738, 1470, 1469, 1464, 1448, 1445, 1436, 1429, 1412, 1370, 1368, 1336, 1302, 1262, 1244, 1226, 1132, 985, 978, 951, 948, 805, 637, 475, 460, 459, 435, 351, 331, 303, 292, 275, 236, 140]",0.022406731227178914,0.04,0.5743619560131783,0.8977591153922868,0.10828976848394323,0.6
"[3473, 3081, 1065]",0.0010509604699158598,0.98,0.22048711328183745,0.2514278288580447,0.9484690067214339,0.8
