n_nodes,influence,obj,nodes
0.95,0.0,0.34510571569302373,"[6143, 2723, 4613, 9, 3473, 3341]"
0.89,0.0,0.5164926188295464,"[5122, 516, 3845, 5512, 6152, 1165, 1807, 3218, 21, 5526, 2042, 3355]"
0.97,0.0,0.28580689931808856,"[3017, 2668, 5, 6157]"
0.99,0.0,0.2120763733550335,"[530, 2285]"
0.96,0.0,0.3192408004157762,"[2866, 3340, 2565, 5843, 987]"
0.98,0.0,0.24916422999153387,"[6157, 5124, 4613]"
0.99,0.0,0.2123695010720229,"[4219, 260]"
0.98,0.0,0.24958521557989977,"[1024, 6157, 5]"
0.56,0.01,0.8670762722741334,"[5122, 5124, 4102, 267, 6157, 1038, 3473, 1941, 5015, 2455, 2969, 2458, 4507, 6043, 5882, 2463, 544, 2721, 3242, 2860, 2483, 4042, 463, 3451, 1368, 1371, 1378, 867, 5988, 6117, 871, 2541, 2415, 5359, 2932, 4599, 504, 3065, 122, 507, 1916, 5117, 510, 383, 3799]"
0.98,0.0,0.24927234598212156,"[5333, 6157, 5]"
0.96,0.0,0.31859149368231654,"[1024, 5, 663, 1841, 3473]"
0.96,0.0,0.31441109940835343,"[4219, 3443, 43, 3473, 5882]"
0.96,0.0,0.3202320178145355,"[3616, 1314, 2565, 1392, 987]"
0.95,0.0,0.343863453335452,"[530, 4219, 863, 43, 5882, 3473]"
0.05,0.03,0.8587331691527829,"[1024, 2455, 1167, 5124, 1719, 4613, 6157, 3473, 5882, 2715, 1941, 2461, 6087, 4168, 4055, 569, 6207, 2721, 5304, 1211, 3773, 1249, 1773, 267, 780, 4374, 1314, 4916, 2872, 4409, 1855, 1343, 835, 323, 3397, 5451, 1368, 1371, 1890, 867, 1378, 4965, 1916, 3967, 3456, 385, 383, 387, 4996, 3459, 393, 911, 4501, 1431, 5018, 4507, 5535, 1952, 3488, 1445, 425, 5545, 1963, 5035, 2477, 1966, 1965, 429, 945, 2481, 2483, 2484, 440, 6080, 5569, 4034, 963, 3012, 4042, 3018, 463, 5587, 5590, 475, 2019, 3045, 5605, 3557, 4071, 2028, 4078, 4651, 2032, 504, 4607, 690]"
0.53,0.01,0.8437348237801624,"[1024, 2455, 5124, 4613, 5, 4807, 4104, 6157, 3473, 1719, 5882, 1787, 2481, 945, 440, 4409, 569, 6207, 5304, 5253, 2721, 1211, 3773, 1249, 1773, 3845, 267, 780, 4374, 4916, 2872, 1855, 1366, 835, 323, 3397, 1890, 1916, 3967, 3456, 385, 383, 387, 3459, 393, 4080, 561, 4501]"
0.2,0.02,0.8790034673580779,"[1024, 4613, 749, 6157, 2455, 2715, 5, 38, 5731, 2664, 1672, 2264, 281, 2798, 2821, 5882, 1246, 776, 3473, 2721, 1805, 805, 4393, 2349, 2875, 1314, 2368, 2883, 2888, 4916, 4374, 1343, 4429, 835, 5974, 3397, 1368, 3928, 349, 350, 1445, 1963, 867, 2481, 463, 6117, 6020, 4465, 1915, 2428, 5501, 383, 5497, 5512, 2441, 4607, 3981, 5117, 3967, 4499, 1952, 934, 1452, 429, 945, 6067, 2491, 6080, 4034, 452, 6087, 4042, 4055, 4574, 4578, 5605, 3045, 4599, 3058, 4595, 3574]"
0.01,0.03,0.8496047609271626,"[1024, 5124, 4102, 6157, 1038, 3601, 37, 2139, 96, 5731, 3684, 1639, 665, 2715, 2721, 5292, 5304, 1211, 3773, 4809, 1246, 5866, 2798, 5882, 1787, 776, 4374, 1314, 814, 323, 835, 3397, 3911, 5451, 1368, 1371, 1884, 1890, 1378, 867, 4965, 1916, 3967, 3456, 385, 383, 3459, 4996, 387, 393, 911, 2960, 3473, 4501, 2455, 5018, 4507, 2459, 2461, 5535, 3488, 1445, 425, 5545, 5035, 1452, 1963, 2477, 1966, 1965, 429, 2481, 945, 2484, 440, 6080, 4034, 963, 3012, 6087, 3018, 4042, 463, 5587, 5590, 475, 476, 2019, 3557, 3045, 4071, 5605, 2025, 2028, 4078, 495, 2032, 504, 4607, 2125]"
