n_nodes,influence,nodes
0.00015875535799333228,0.0,[5882]
0.007620257183679949,0.02,"[772, 1169, 2875, 3525, 2319, 6157, 2445, 3473, 157, 2831, 2455, 2975, 2450, 5288, 2719, 4009, 300, 447, 5335, 4929, 2392, 3347, 1349, 2798, 1896, 2295, 4866, 3, 4484, 1040, 2808, 912, 3616, 2721, 420, 4517, 2984, 2472, 4027, 5882, 2377, 5974, 1368, 2278, 4967, 3439, 239, 4465]"
0.0031751071598666455,0.01,"[4866, 4484, 6157, 2319, 2831, 3473, 1423, 4372, 2455, 154, 2721, 5335, 2392, 231, 1896, 2798, 4465, 2295, 2808, 5882]"
0.008572789331639942,0.02,"[4484, 6157, 3473, 530, 2455, 2842, 1563, 3538, 2975, 3616, 1058, 6179, 2739, 1698, 2719, 286, 1141, 1193, 3576, 2296, 2721, 5535, 2392, 4613, 3018, 1242, 6093, 5335, 3608, 2798, 407, 6040, 5882, 233, 2295, 2808, 2377, 5974, 4465, 4359, 4967, 2445, 420, 4517, 2984, 2472, 2831, 3505, 1349, 1896, 1368, 2278, 3439, 239]"
0.0030163518018733134,0.01,"[2455, 3616, 2721, 4484, 9, 233, 75, 6157, 2798, 2319, 1040, 3473, 4465, 2831, 5335, 2392, 5882, 2295, 4682]"
0.0026988410858866485,0.01,"[2721, 1058, 4866, 4484, 2455, 5882, 233, 6157, 4206, 2798, 1040, 2319, 3473, 2831, 2295, 2392, 5335]"
0.002857596443879981,0.01,"[4484, 6157, 2319, 1040, 3473, 2831, 2455, 3616, 2721, 1058, 4682, 75, 5335, 2392, 2798, 4465, 2295, 5882]"
0.0020638196539133195,0.01,"[4484, 6157, 3473, 530, 569, 2390, 3115, 2455, 2721, 2798, 5335, 2392, 5882]"
0.0006350214319733291,0.0,"[2721, 6157, 3473, 5882]"
0.0025400857278933165,0.01,"[2721, 4866, 772, 4484, 5882, 6157, 4206, 2319, 2831, 3473, 2798, 1040, 2455, 2392, 5335, 2295]"
0.007302746467693285,0.01,"[4866, 4484, 6157, 2445, 1040, 1169, 3473, 2450, 912, 407, 1561, 3608, 2455, 4122, 2842, 157, 286, 2719, 3616, 32, 2721, 2723, 420, 4517, 2984, 2472, 429, 2550, 50, 2483, 2875, 4027, 443, 3906, 579, 5955, 3397, 4977, 5335, 2392, 1896, 2798, 239, 3439, 4465, 5882]"
0.0012700428639466582,0.0,"[5335, 6157, 2798, 3473, 2455, 2392, 1561, 5882]"
0.005080171455786633,0.01,"[4484, 9, 6157, 2319, 3473, 2831, 2455, 286, 5535, 3616, 2721, 2977, 2975, 2723, 1698, 2984, 2472, 43, 3505, 4682, 75, 5335, 2392, 231, 1896, 233, 2798, 3439, 239, 4465, 2295, 5882]"
0.003333862517859978,0.01,"[17, 6157, 2319, 1040, 233, 4206, 239, 1058, 2295, 1280, 2721, 4484, 5882, 2798, 2831, 3439, 3473, 5335, 4465, 2455, 2392]"
0.007143991109699952,0.01,"[2721, 4866, 772, 4484, 5882, 2450, 6157, 912, 2319, 407, 3473, 3608, 1561, 1040, 2392, 2798, 5335, 4122, 2842, 157, 286, 2719, 2455, 3616, 35, 2723, 420, 2984, 2472, 429, 50, 2483, 2875, 4027, 443, 3906, 579, 5955, 3397, 1896, 239, 3439, 4465, 4977, 2550]"
0.012859183997459915,0.02,"[4613, 6157, 530, 3608, 1563, 3616, 1058, 6179, 579, 6254, 4207, 2719, 2721, 1698, 1193, 2739, 5335, 1242, 225, 2278, 2798, 239, 241, 2295, 5882, 762, 4866, 2831, 2842, 286, 1343, 3906, 5955, 3397, 1349, 2377, 2390, 5974, 2392, 1368, 3425, 4967, 1896, 3439, 1903, 4465, 4467, 4484, 5513, 2445, 1423, 3473, 2450, 2455, 407, 6040, 2459, 1443, 420, 3493, 4517, 5031, 5032, 4009, 1962, 2472, 2984, 429, 4016, 3505, 2483, 1460, 1973, 1462, 3514, 443, 4027, 447, 6087, 968, 4045]"
0.002222575011906652,0.01,"[4866, 4484, 4613, 26, 6157, 2445, 2721, 5335, 3473, 530, 2798, 2455, 2392, 5882]"
0.0004762660739799968,0.0,"[5882, 1585, 3473]"
0.008255278615653278,0.02,"[4866, 4484, 772, 5513, 6157, 2445, 2831, 1040, 3473, 530, 2455, 407, 6040, 154, 157, 286, 2719, 3616, 2721, 5535, 2977, 420, 2975, 2984, 1193, 554, 2472, 3505, 50, 2739, 695, 1349, 2377, 4682, 5974, 5335, 1368, 2392, 2390, 3680, 225, 3425, 1893, 2278, 4967, 1896, 2798, 239, 3439, 4465, 4980, 5882]"
0.006826480393713288,0.01,"[4484, 9, 6157, 2319, 1040, 3473, 2831, 2455, 2975, 3616, 2721, 4512, 420, 2984, 2472, 3505, 1349, 2375, 2377, 4682, 75, 2390, 5335, 2392, 5974, 1242, 1368, 3680, 225, 3425, 1893, 2278, 4967, 1896, 233, 2798, 3439, 239, 4465, 4980, 2295, 5882, 4340]"
0.005238926813779965,0.01,"[4484, 6157, 3473, 530, 2455, 2842, 1563, 3538, 2975, 3621, 1058, 6179, 2739, 1698, 2719, 1141, 1193, 2295, 2953, 407, 286, 2721, 2392, 2984, 2472, 3505, 5335, 1896, 2798, 239, 3439, 4465, 5882]"
0.013335450071439912,0.02,"[6157, 1040, 3608, 1561, 4122, 5725, 6254, 4207, 1649, 157, 2721, 1698, 5288, 695, 1725, 5335, 1242, 2278, 2280, 2798, 239, 241, 5882, 762, 4866, 2319, 2831, 4372, 2842, 286, 300, 307, 4918, 4410, 2875, 3906, 5955, 3397, 1349, 2377, 5974, 2390, 2392, 1368, 3425, 1893, 4967, 1896, 3439, 4465, 4467, 4484, 912, 3473, 2450, 2455, 6040, 2975, 4512, 2977, 2467, 1443, 4517, 3493, 5031, 2984, 4009, 2472, 5032, 1962, 420, 4016, 3505, 2483, 1460, 1973, 1462, 3514, 4027, 6087, 968, 5622, 3579, 4387]"
0.007937767899666614,0.02,"[4484, 9, 6157, 2319, 1040, 3473, 2831, 2455, 2975, 3616, 2721, 4512, 420, 2984, 2472, 3505, 5955, 1349, 2375, 2377, 4682, 75, 2390, 5335, 1368, 2392, 1242, 5974, 3680, 225, 3425, 1893, 2278, 4967, 1896, 233, 2798, 3439, 239, 4465, 6254, 4207, 4980, 4340, 1649, 2295, 241, 4467, 5882, 1195]"
0.013494205429433243,0.02,"[6157, 530, 579, 3680, 1641, 6254, 4207, 1649, 154, 157, 2719, 2721, 1698, 2723, 1193, 2739, 1747, 2772, 5335, 1242, 225, 2278, 2798, 239, 5882, 762, 4866, 2831, 2832, 4372, 1816, 2842, 286, 2848, 1343, 5955, 3397, 1349, 5974, 2390, 1368, 2392, 3425, 1896, 3439, 4465, 4467, 4980, 3960, 4478, 4484, 1423, 3473, 2450, 2455, 6040, 4507, 5535, 4512, 420, 4517, 2984, 2472, 429, 3505, 2483, 1973, 1462, 3514, 443, 4027, 6087, 968, 3018, 6093, 1485, 976, 3538, 3030, 986, 5595, 478, 1518, 3576, 3579]"
