n_nodes,influence,communities,nodes
1.0,42.59,12,[4071]
2.000000000000001,9.46,4,"[5685, 3413]"
2.000000000000001,50.54,12,"[4940, 2726]"
1.0,1.0,1,[250]
2.000000000000001,2.0,2,"[250, 5486]"
2.000000000000001,2.0,2,"[250, 6223]"
15.000000000000002,791.87,170,"[2018, 3587, 4839, 5352, 3755, 1998, 3600, 5265, 6261, 2805, 4727, 248, 4474, 3579, 5564]"
2.000000000000001,44.47,10,"[250, 4474]"
95.0,2597.51,1414,"[3587, 516, 1556, 3108, 2084, 1575, 3115, 560, 5695, 5703, 1103, 5205, 3579, 3168, 1639, 5737, 6261, 4727, 121, 2173, 1157, 2697, 3212, 5265, 1171, 4761, 4250, 2721, 2726, 3755, 694, 695, 4287, 714, 216, 4839, 5352, 2793, 233, 3306, 2798, 3313, 246, 248, 5882, 2811, 766, 1821, 2341, 1834, 5418, 5935, 834, 3397, 2377, 5962, 2892, 1872, 2392, 5978, 5984, 3425, 5987, 3428, 4465, 4467, 6010, 3459, 4484, 4485, 1414, 2439, 3473, 5012, 5526, 2455, 6040, 5017, 2458, 408, 412, 926, 1443, 2984, 2985, 5562, 5564, 2500, 3012, 459, 4056, 5595, 4071, 2555, 3582]"
4.000000000000003,320.44,43,"[5801, 3755, 5265, 5564]"
90.0,2557.72,1345,"[3587, 3600, 530, 1556, 2084, 1575, 3116, 560, 5695, 5703, 1103, 5205, 3168, 1639, 5737, 6261, 4727, 121, 2173, 1157, 2697, 5265, 1171, 1175, 4761, 2721, 2726, 3755, 694, 695, 3774, 714, 216, 4839, 5352, 233, 3306, 2798, 3313, 248, 2808, 5882, 2811, 766, 2341, 1834, 5418, 2350, 5935, 1340, 834, 3397, 2377, 5962, 2892, 1872, 2392, 5984, 3425, 5987, 3428, 4465, 4467, 6010, 3459, 4484, 4485, 1414, 2439, 3473, 5012, 5526, 2455, 408, 5017, 2458, 6040, 412, 926, 3487, 1443, 2984, 2985, 5562, 3012, 459, 5595, 4071, 3579, 962]"
87.0,2533.2,1334,"[3587, 3090, 1556, 1055, 2080, 2084, 3108, 1575, 560, 5695, 5703, 1103, 5205, 3579, 3168, 1639, 5737, 6261, 4727, 121, 2173, 1157, 3212, 3112, 4405, 4921, 1216, 835, 3117, 1821, 1244, 4911, 3459, 4484, 2697, 4485, 5265, 2439, 1171, 3473, 4250, 4839, 216, 233, 3306, 5882, 2811, 766, 248, 2798, 3313, 694, 4287, 714, 2726, 2721, 5012, 2455, 408, 5017, 6040, 412, 6010, 926, 1443, 2341, 2984, 2985, 1834, 5418, 4465, 4467, 5935, 5562, 5984, 3425, 5987, 3428, 3397, 3349, 1872, 2892, 2377, 3012, 459, 5595, 4071]"
2.000000000000001,2.0,2,"[250, 6248]"
1.0,35.42,9,[3587]
86.0,2529.32,1323,"[3587, 3090, 530, 1556, 2080, 2084, 3108, 1575, 3112, 3117, 560, 5695, 5703, 1103, 5205, 3168, 1639, 5737, 6261, 4727, 121, 2173, 1157, 2697, 3212, 5265, 1171, 4250, 2721, 2726, 694, 4287, 1216, 714, 216, 1244, 4839, 233, 3306, 2798, 3313, 248, 5882, 2811, 766, 3349, 1821, 2341, 1834, 5418, 4911, 5935, 4405, 4921, 835, 3397, 2377, 2892, 1872, 5984, 3425, 3428, 4465, 4467, 6010, 3459, 4484, 4485, 2439, 3473, 5012, 2455, 408, 5017, 6040, 412, 926, 1443, 2984, 2985, 5562, 3012, 459, 5595, 4071, 3579]"
1.0,72.17,14,[3090]
2.000000000000001,2.0,2,"[250, 4321]"
87.0,2528.49,1294,"[3587, 2439, 2697, 5265, 530, 1556, 926, 3115, 3755, 2350, 4912, 1575, 2341, 2985, 1834, 2984, 2726, 560, 4287, 5695, 5703, 1103, 5205, 1872, 6261, 4727, 3313, 3579, 3168, 1639, 5737, 121, 2173, 1157, 3212, 3112, 4405, 4921, 1875, 835, 3117, 1821, 1244, 4911, 3459, 4484, 4485, 1171, 3473, 4250, 4839, 216, 233, 3306, 5882, 2811, 766, 248, 2798, 694, 714, 2721, 5012, 2455, 408, 5017, 6040, 412, 6010, 1443, 5418, 4465, 4467, 5935, 5562, 5984, 3425, 5987, 3428, 3397, 3349, 2892, 2377, 3012, 459, 5595, 4071]"
86.0,2528.4,1284,"[3587, 2439, 2697, 5265, 530, 177, 926, 3115, 3755, 2350, 4912, 560, 3168, 2173, 1575, 1157, 2985, 1834, 4287, 5695, 5703, 1103, 5205, 2341, 6261, 4727, 1872, 3579, 3212, 3313, 2984, 3112, 121, 4405, 1639, 5737, 2726, 4921, 1875, 835, 3117, 1821, 1244, 4911, 2811, 2721, 6010, 3459, 4484, 4485, 3473, 1171, 5012, 2455, 6040, 5882, 766, 408, 5017, 233, 3306, 248, 4839, 4250, 216, 412, 2798, 1443, 5418, 5935, 694, 5562, 3012, 3397, 2377, 714, 459, 2892, 4465, 4467, 5595, 5984, 3425, 5987, 3428, 4071]"
92.0,2596.36,1304,"[3587, 3090, 4627, 530, 1556, 2084, 1575, 3115, 1103, 5205, 1639, 5737, 6261, 4727, 121, 1157, 3212, 5265, 1171, 1175, 4761, 2721, 2726, 3755, 694, 4287, 714, 216, 5703, 4839, 5352, 233, 3306, 2798, 3313, 3168, 248, 2811, 766, 2173, 2697, 2341, 5418, 1834, 5935, 834, 3397, 2377, 5962, 2892, 1872, 2392, 5978, 4250, 5984, 3425, 5987, 3428, 4467, 1944, 246, 4127, 3459, 4484, 4485, 1414, 2439, 3473, 5012, 5526, 2455, 408, 6040, 695, 2458, 5564, 412, 926, 5882, 1443, 2984, 2985, 5562, 1821, 4465, 3012, 459, 5017, 4056, 5595, 4071, 3579]"
85.0,2504.85,1170,"[3587, 3090, 4627, 530, 1556, 2084, 1575, 3115, 1103, 5205, 1639, 5737, 6261, 4727, 121, 1157, 3212, 1175, 5352, 3168, 2173, 5418, 2392, 1944, 246, 4127, 3459, 1171, 4761, 2721, 3755, 694, 216, 4839, 233, 3306, 2798, 2811, 766, 248, 3313, 4287, 714, 2726, 5265, 5703, 1414, 3473, 5012, 2455, 408, 4484, 4485, 2439, 3839, 5526, 4250, 1821, 926, 1443, 2341, 2984, 2985, 834, 4467, 5962, 5978, 1872, 5984, 3425, 5987, 3428, 2892, 2377, 3397, 1834, 5935, 5562, 5564, 3012, 3579, 4056, 5595, 4071, 4465]"
63.0,2199.99,946,"[3587, 530, 1556, 3108, 1575, 5695, 5703, 1103, 5205, 1639, 5737, 6261, 4727, 121, 1157, 2697, 1171, 2721, 2763, 2018, 236, 3212, 5265, 3473, 4761, 926, 2341, 2726, 2984, 2985, 3755, 694, 216, 222, 714, 4839, 5352, 695, 3306, 2798, 5882, 248, 766, 2805, 3313, 4287, 233, 1834, 5935, 3397, 5962, 2892, 1872, 2385, 5595, 5984, 3425, 5987, 3428, 4071, 4465, 4467, 3579]"
57.00000000000001,2043.47,705,"[3587, 2697, 5265, 926, 2341, 2726, 1575, 2984, 1834, 3115, 3755, 5935, 2097, 694, 5562, 1083, 5564, 5695, 6079, 4287, 3012, 3397, 5703, 714, 2892, 1103, 1872, 4561, 5205, 216, 4056, 5595, 222, 5984, 3425, 2018, 5987, 3428, 4839, 5352, 5737, 3306, 233, 236, 4601, 2798, 4071, 3313, 4465, 4467, 6261, 2805, 4727, 248, 121, 4474, 3579]"
91.0,2583.27,1289,"[3587, 3090, 4627, 530, 1556, 2084, 1575, 3115, 1103, 5205, 1639, 5737, 6261, 4727, 121, 1157, 4164, 5265, 1171, 6010, 4761, 2721, 2726, 3755, 694, 4287, 714, 216, 5703, 4839, 5352, 233, 3306, 2798, 3313, 3168, 248, 2811, 766, 2173, 2697, 2341, 5418, 1834, 5935, 834, 3397, 2377, 5962, 2892, 1872, 2392, 5978, 4250, 5984, 3425, 5987, 3428, 4467, 1944, 695, 246, 5882, 3459, 4484, 4485, 1414, 2439, 3473, 5012, 5526, 2455, 6040, 408, 2458, 5564, 1821, 412, 926, 4465, 1443, 2984, 2985, 5562, 5017, 3012, 459, 4056, 5595, 4071, 3579]"
7.999999999999995,462.11,83,"[5352, 3755, 5265, 1556, 6261, 2805, 4137, 5564]"
22.999999999999996,1123.37,264,"[3587, 5265, 1556, 4761, 926, 1706, 3755, 5564, 2892, 1872, 216, 5984, 3425, 5987, 4839, 5352, 5737, 3306, 2805, 6261, 4727, 4474, 3579]"
44.99999999999999,1798.45,581,"[3587, 2697, 5265, 530, 1556, 926, 2341, 2732, 2984, 2985, 3115, 5935, 4912, 2097, 694, 3755, 695, 1083, 4287, 5564, 3397, 2892, 1872, 5205, 4056, 216, 5595, 222, 5984, 3425, 5987, 3428, 4839, 5352, 5737, 233, 3306, 2798, 4465, 4467, 2805, 6261, 4727, 4474, 3579]"
11.999999999999998,683.19,134,"[3587, 4839, 2697, 5265, 3090, 1556, 2805, 6261, 4727, 4474, 5564, 5165]"
57.00000000000001,2075.6,734,"[3587, 5265, 3090, 1171, 4761, 926, 2341, 2726, 1575, 2984, 2985, 1834, 3755, 3115, 5935, 4912, 2097, 694, 695, 1083, 5564, 4287, 5695, 3012, 3397, 5962, 714, 2892, 1103, 1872, 4561, 5205, 3579, 4056, 216, 5595, 222, 5984, 3425, 5987, 3428, 4839, 5352, 5737, 3306, 2798, 3313, 4465, 4467, 6261, 2805, 4727, 248, 121, 4474, 2811, 766]"
14.0,757.33,160,"[5801, 2018, 5796, 5564, 4839, 5352, 1556, 6261, 2805, 4727, 4761, 4474, 3579, 926]"
4.000000000000003,249.27,35,"[2802, 3755, 5265, 5564]"
29.000000000000004,1396.34,394,"[3587, 2697, 5265, 530, 1556, 926, 2341, 2726, 2984, 2985, 3115, 3755, 5935, 4071, 3313, 694, 1083, 5882, 222, 5984, 3425, 3428, 4839, 3306, 2805, 6261, 4727, 4474, 3579]"
28.0,1313.77,333,"[4485, 2697, 5265, 3090, 1171, 1556, 4761, 926, 2341, 2726, 3755, 3116, 1083, 5564, 1103, 222, 5984, 3425, 3428, 4839, 4071, 3306, 3313, 2805, 6261, 4727, 4474, 3579]"
59.00000000000001,2141.12,767,"[3587, 2697, 5265, 3090, 1556, 4761, 926, 2341, 2726, 1575, 2984, 2985, 1834, 3115, 3755, 5935, 4912, 2097, 694, 695, 1083, 4287, 5695, 3012, 3397, 5962, 714, 2892, 1103, 1872, 4561, 5205, 3579, 4056, 216, 5595, 222, 5984, 3425, 5987, 3428, 4839, 5352, 5737, 233, 3306, 2798, 3313, 4465, 4467, 2805, 6261, 4727, 248, 121, 4474, 2811, 766, 2890]"
7.000000000000005,416.94,83,"[5984, 3425, 5987, 3755, 5265, 3090, 926]"
73.0,2274.93,851,"[3587, 4485, 2439, 2697, 5775, 5265, 530, 3090, 4627, 1171, 5526, 4761, 4250, 1821, 926, 1443, 2084, 2341, 2726, 1575, 2984, 2985, 1834, 3115, 3755, 2350, 5935, 4912, 3507, 694, 5562, 1083, 5564, 4287, 5695, 834, 3012, 3397, 5703, 2377, 5962, 714, 2892, 1872, 5205, 3579, 4056, 216, 5978, 5595, 5979, 222, 5984, 3425, 5987, 3428, 4839, 1639, 233, 3306, 4474, 4465, 3313, 4467, 6004, 6261, 2805, 4727, 248, 121, 6010, 2811, 766]"
7.000000000000005,425.31,94,"[2793, 3755, 3090, 2805, 408, 5564, 766]"
62.0,2182.53,838,"[3587, 1157, 4485, 2439, 2697, 3212, 5265, 530, 4627, 1556, 4250, 1819, 926, 2721, 2341, 2726, 1575, 2984, 2985, 5418, 3115, 3755, 1834, 5935, 2097, 694, 5562, 5564, 5695, 4287, 3012, 3397, 5703, 5962, 714, 2892, 1103, 1872, 5205, 3579, 216, 4056, 5595, 3168, 5984, 3425, 5987, 1639, 5737, 233, 2798, 3313, 4465, 4467, 6261, 2805, 4727, 248, 121, 2811, 2173, 766]"
7.999999999999995,531.05,96,"[4839, 2697, 5265, 3090, 2805, 4727, 248, 5564]"
3.0000000000000018,247.6,31,"[5265, 3755, 5564]"
14.0,785.61,172,"[3755, 2719, 248, 5265, 3090, 3313, 5564, 926, 4727, 6261, 2805, 4761, 3579, 4474]"
16.0,841.76,176,"[3587, 2341, 2726, 4839, 2697, 3115, 3755, 5265, 530, 1556, 6261, 4727, 5479, 5564, 926, 3579]"
