seed_set,spread,seed,communities,fairness,budget,time
"[6178, 6157, 6097, 6070, 6010, 5987, 5984, 5962, 5955, 5935, 5882, 5855, 5801, 5737, 5595, 5564, 5562, 5461, 5418, 5340, 5335, 5292, 5205, 5099, 4965, 4944, 4912, 4761, 4562, 4484, 4465, 4405, 4350, 4183, 4168, 4071, 4056, 3677, 3594, 3582, 3473, 3459, 3454, 3428, 3425, 3397, 3306, 3212, 3168, 3108, 3012, 2984, 2955, 2892, 2805, 2798, 2732, 2726, 2721, 2561, 2472, 2378, 2084, 2080, 2019, 2018, 1896, 1834, 1639, 1575, 1556, 1442, 1414, 1157, 1062, 1055, 695, 560, 449, 412, 153, 87]",0.3574376885219876,0.19,0.9278787688531409,0.7032948847646496,0.012696041822255366,0.0
"[6261, 6070, 5962, 5955, 5882, 5595, 5454, 5352, 5335, 5216, 5099, 4627, 4548, 4484, 4405, 4384, 4168, 4142, 3985, 3616, 3594, 3473, 3454, 3428, 3397, 3115, 2955, 2798, 2697, 2455, 2097, 1896, 1443, 1385, 1062, 694, 560, 530, 236, 179]",0.2197190030163518,0.61,0.8989784519010027,0.6838731856954157,0.4563106796116505,0.0
"[6179, 6159, 6157, 6097, 6010, 5955, 5564, 5526, 5335, 4761, 4484, 4465, 4350, 3985, 3313, 2985, 2805, 2721, 2561, 2472, 2455, 1962, 1896, 1654, 1575, 1556, 1385, 1244, 1216, 1175, 766, 714, 694, 459, 383, 236, 222, 216]",0.22310525480234958,0.63,0.888653415371481,0.5935024380750755,0.5011202389843167,0.0
"[6249, 6179, 6178, 6157, 6128, 6097, 6040, 5984, 5962, 5915, 5882, 5855, 5703, 5595, 5335, 5265, 5017, 4965, 4751, 4738, 4653, 4627, 4562, 4492, 4465, 4405, 4269, 4183, 4168, 4142, 3594, 3587, 3473, 3454, 3428, 3397, 3212, 3168, 3108, 3090, 3012, 2984, 2955, 2892, 2864, 2811, 2805, 2798, 2726, 2721, 2697, 2561, 2555, 2455, 2439, 2392, 2378, 2350, 2080, 1998, 1962, 1834, 1556, 1522, 1443, 1442, 1385, 1175, 1171, 1163, 1103, 1055, 926, 694, 560, 530, 459, 449, 412, 408, 248, 233, 121, 87]",0.3707048737894904,0.17,0.931358083275722,0.740091688511632,-0.0246452576549665,0.0
"[6040, 5783, 5695, 5461, 5335, 4562, 4465, 4250, 3168, 3116, 2798, 2726, 2084, 2018, 1834, 1175, 766, 449, 412, 408, 233]",0.12254484838863311,0.8,0.8715349036324909,0.5406194836256093,0.7505601194921583,0.0
"[6178, 5882, 5335, 4287, 4238, 4071, 3473, 3090, 2992, 2726, 2697, 2602, 2439, 1083, 1062, 695, 383, 233]",0.11622321003333863,0.83,0.8591849222295598,0.42883533191409307,0.7453323375653473,0.0
"[6070, 6067, 6040, 6019, 5984, 5955, 5882, 5855, 5801, 5410, 5352, 5340, 5335, 5216, 5017, 5012, 4912, 4839, 4761, 4548, 4484, 4465, 4384, 4269, 4168, 4142, 4071, 3459, 3425, 3108, 2984, 2955, 2798, 2726, 2721, 2561, 2472, 2378, 1998, 1414, 1175, 835, 766, 714, 694, 560, 449, 236, 216]",0.2630592157485315,0.52,0.9082788759212767,0.7756092587898826,0.36370425690814046,0.0
"[6249, 6157, 6128, 6070, 6040, 6031, 6010, 5984, 5962, 5955, 5935, 5855, 5783, 5595, 5352, 5265, 4944, 4921, 4912, 4653, 4484, 4465, 4405, 4269, 4071, 3677, 3616, 3313, 3168, 3115, 3112, 3108, 3012, 2985, 2864, 2851, 2726, 2721, 2710, 2561, 2555, 2455, 2392, 2341, 2173, 1962, 1896, 1639, 1575, 1522, 1443, 1442, 1385, 1171, 1163, 1083, 1062, 1055, 926, 766, 714, 694, 560, 530, 459, 408, 248, 233, 222, 216, 153, 121]",0.34150817590093663,0.29,0.9304446254280875,0.7385984835731796,0.15832710978342046,0.0
"[6179, 6067, 6031, 5882, 5335, 5292, 5265, 5216, 5205, 5012, 4738, 4562, 4492, 4484, 4287, 4269, 4183, 3677, 3473, 3459, 3313, 3108, 2992, 2985, 2984, 2864, 2798, 2721, 2561, 2455, 2018, 1962, 1896, 1821, 1639, 1443, 1414, 1175, 985, 766, 694, 560, 248, 153, 87]",0.2489712652802032,0.56,0.9129748107720514,0.6978037401392362,0.35324869305451834,0.0
"[5292, 5205, 4492, 4467, 4183, 3677, 2602, 2555, 2450, 2018, 1062, 835]",0.06905540561993967,0.89,0.7967982968910446,0.4018169372289687,0.8857356235997013,0.0
