n_nodes,influence,obj,nodes
0.88,0.09,0.8194431442905497,"[1639, 694, 2721, 1083, 449, 2798, 5962, 5335, 4965, 1522, 3473, 1896, 1163]"
0.55,0.24,0.8940594387678469,"[985, 408, 5987, 3579, 6179, 2721, 5882, 4350, 5205, 4738, 3090, 560, 1522, 5695, 5867, 5984, 2392, 4364, 5265, 4238, 5335, 3306, 4250, 4465, 1840, 6010, 6128, 459, 6157, 6040, 4142, 236, 5595, 926, 6067, 4071, 383, 1175, 3616, 3425, 4517, 5801, 1556, 87, 5783, 153]"
0.01,0.39,0.9357784497714211,"[5801, 714, 5335, 5017, 5855, 3428, 5783, 1385, 4364, 2350, 5882, 4761, 2864, 3115, 216, 236, 3582, 2984, 5564, 3677, 926, 2439, 4751, 3116, 121, 5418, 5352, 560, 3425, 2561, 4965, 2084, 1669, 3012, 6157, 695, 1055, 4071, 5703, 3112, 2798, 5526, 4738, 449, 5695, 1442, 2080, 5340, 2721, 5012, 1175, 5737, 1216, 1157, 3212, 2392, 3473, 5984, 4484, 87, 2019, 3579, 3090, 4517, 2992, 459, 1834, 5562, 2455, 4921, 6249, 4250, 4465, 4142, 1962, 6010, 2892, 5987, 1896, 5686, 4944, 4056, 2805, 985, 4839, 2378, 4350, 835, 412, 1083, 5292, 1244, 6019, 2602, 3681, 2450, 4238, 530, 2732, 6070]"
0.46,0.28,0.9050663523249938,"[2808, 1163, 179, 5882, 6010, 1896, 4839, 2721, 4183, 5454, 2173, 4142, 1669, 3212, 233, 1840, 2018, 5962, 766, 4944, 560, 6179, 1216, 695, 1639, 6031, 4484, 5801, 3313, 926, 2555, 3090, 6249, 1244, 1998, 5461, 985, 6157, 2392, 3616, 4405, 5783, 449, 5352, 1442, 4627, 216, 4965, 1443, 1654, 236, 2561, 2697, 6159, 4168]"
0.52,0.25,0.9041739290104583,"[2455, 6179, 1163, 1443, 6070, 6040, 4484, 6157, 408, 5855, 4485, 4287, 5418, 694, 1385, 926, 2985, 3428, 3397, 2450, 4761, 5410, 4912, 233, 1083, 1575, 1821, 3473, 1244, 4142, 2392, 2561, 4627, 5987, 1216, 2439, 6159, 1522, 179, 1414, 5352, 4751, 5955, 3108, 248, 2097, 4653, 2726, 835]"
0.72,0.17,0.8765720664649542,"[2561, 2984, 2450, 2851, 835, 222, 5292, 4761, 2798, 695, 2018, 3594, 5882, 3108, 6157, 3425, 1171, 4168, 3985, 3755, 4627, 179, 2732, 5335, 926, 383, 1216, 1962, 2808]"
1.0,0.0,0.3766182322084449,[87]
0.02,0.4,0.9322676872242239,"[3397, 5595, 5526, 459, 2798, 560, 2811, 5955, 2019, 5564, 6097, 5340, 1443, 5962, 5984, 6261, 121, 87, 2084, 3425, 2851, 766, 4350, 4467, 4250, 3313, 3473, 4517, 449, 2808, 1103, 926, 5099, 2392, 2455, 1998, 4168, 1062, 4474, 530, 6128, 1244, 5265, 3616, 2955, 2341, 2697, 5216, 3582, 3594, 1840, 4465, 1385, 3116, 4492, 3681, 4183, 4071, 1522, 6157, 4727, 4921, 6040, 2892, 2350, 2080, 2173, 2018, 2378, 1442, 3168, 1962, 2721, 4738, 2439, 5855, 5418, 2472, 5695, 1163, 694, 6249, 222, 153, 5801, 179, 4627, 4238, 1639, 1834, 6070, 2992, 1821, 3212, 5292, 2450, 695, 5410, 835]"
0.08,0.38,0.93614605718887,"[5410, 5017, 1062, 5352, 5526, 3473, 1896, 408, 449, 2808, 4653, 4287, 1522, 5335, 459, 4071, 1171, 87, 1414, 5292, 1639, 179, 3012, 2455, 3616, 3677, 4562, 5987, 2392, 4350, 766, 1872, 694, 5867, 2555, 4727, 5882, 2721, 1442, 1840, 3116, 2798, 560, 5737, 4465, 5915, 5695, 4761, 5562, 4517, 2955, 5461, 6040, 926, 1163, 1244, 3108, 5855, 3454, 5783, 2602, 3681, 1962, 4384, 2080, 121, 2864, 3985, 5984, 2173, 6097, 5418, 1175, 5099, 6157, 6159, 4484, 2710, 3425, 4250, 4056, 1216, 5801, 3313, 383, 2341, 695, 2992, 714, 3459, 2097, 5454, 4944]"
0.74,0.16,0.8712356608909708,"[5099, 766, 408, 4738, 2798, 2555, 2439, 2472, 3677, 2721, 835, 3112, 6179, 5216, 4727, 5987, 2984, 2392, 5335, 560, 5017, 1157, 4269, 3454, 5265, 412, 4484]"
0.08,0.38,0.9333500487652663,"[5418, 236, 4484, 1962, 4912, 6157, 87, 2721, 3112, 6159, 5935, 233, 926, 2726, 5335, 5017, 3454, 5915, 5340, 5703, 4056, 1654, 4517, 4467, 5962, 1103, 216, 2350, 1669, 2472, 459, 3616, 2798, 1834, 694, 3473, 560, 5695, 2018, 5882, 1062, 2602, 4944, 3212, 2892, 5686, 1216, 5461, 3116, 2019, 2439, 1896, 4238, 2955, 3313, 4287, 5564, 4485, 2080, 4384, 4474, 5984, 2555, 3397, 4761, 2341, 2173, 4142, 2455, 5562, 2378, 1385, 4071, 3755, 6249, 6040, 2808, 2864, 4350, 3108, 3677, 2561, 5595, 5855, 5099, 4738, 5801, 1414, 6067, 1157, 530, 2992, 835]"
0.97,0.03,0.5867376102207013,"[1834, 4056, 1055, 2721]"
0.53,0.24,0.9097717990880726,"[2472, 6040, 560, 3313, 2992, 1171, 2455, 2697, 2561, 3616, 3594, 3090, 2955, 4269, 3168, 926, 4484, 2798, 5737, 985, 3582, 2019, 4465, 5526, 4485, 3985, 6019, 1556, 6261, 2851, 4384, 766, 216, 1163, 3579, 1821, 5410, 1157, 4562, 5935, 4751, 5987, 5461, 5783, 233, 3397, 2080, 2864]"
0.17,0.35,0.9366796577712975,"[4738, 4727, 1414, 1157, 459, 4912, 5454, 560, 1083, 1103, 6179, 530, 3616, 5855, 1442, 4484, 2455, 4287, 3012, 1171, 5915, 3212, 6159, 3985, 6097, 4384, 383, 87, 6249, 4465, 5335, 5564, 2561, 4517, 4183, 412, 3397, 5987, 3459, 5265, 694, 2798, 3115, 3473, 5695, 2984, 3582, 3112, 4474, 3594, 2602, 1998, 5801, 2392, 4761, 1896, 6178, 1575, 2726, 2472, 5882, 4839, 1834, 1654, 4944, 2808, 1216, 766, 4653, 4364, 5410, 408, 2985, 1062, 3677, 1821, 1840, 3587, 1244, 5418, 1385, 2080, 5205, 2019]"
0.78,0.15,0.8668161380358654,"[3012, 5882, 2018, 2450, 1216, 1175, 3108, 4727, 1244, 3090, 2798, 6178, 3116, 5335, 1556, 5867, 179, 926, 4238, 3454, 3425, 4168, 2392]"
0.41,0.3,0.9209511888607483,"[5216, 3115, 4467, 6019, 6067, 5882, 4364, 2984, 2721, 2455, 6070, 4350, 5265, 4287, 560, 2851, 2378, 6157, 4474, 2392, 3212, 5703, 3397, 4492, 2341, 2798, 4921, 1175, 4465, 5418, 6261, 3313, 3681, 6179, 5017, 5526, 3112, 766, 5335, 459, 4484, 1669, 5099, 3755, 2992, 2808, 1821, 6249, 3425, 6010, 695, 179, 1157, 1896, 6128, 835, 3108, 5461, 1840, 1654]"
0.77,0.14,0.8766421340227677,"[2864, 2798, 1639, 1896, 2472, 449, 3012, 5292, 5801, 766, 2555, 5783, 6097, 2341, 1171, 5526, 2080, 4465, 5987, 1669, 2084, 3677, 560, 3454]"
0.7,0.19,0.8888762761379452,"[1654, 3582, 2984, 2561, 714, 1522, 4183, 2721, 1171, 5454, 3473, 2392, 6157, 3454, 985, 3090, 1834, 5564, 5265, 449, 766, 4485, 3212, 2080, 3116, 835, 3012, 4071, 5987, 4350, 4056]"
0.67,0.18,0.897429850131257,"[2455, 2811, 2378, 1103, 5461, 3454, 2602, 4269, 560, 2080, 2561, 3168, 5783, 2984, 2798, 4238, 5292, 2173, 4517, 2555, 179, 459, 383, 2805, 1575, 4056, 5012, 3112, 4944, 2084, 1385, 5595, 3681, 1556]"
0.64,0.04,0.692747627820758,"[3456, 1038, 4111, 3600, 4113, 4495, 3349, 5271, 3479, 2462, 4513, 1187, 932, 1833, 3755, 5547, 1579, 556, 1711, 1848, 1595, 454, 2502, 1606, 77, 4949, 1879, 3672, 92, 3036, 5858, 2413, 4083, 1785, 1658, 5113, 1023]"
0.52,0.03,0.7173954610214354,"[3, 4355, 5639, 6154, 3341, 2703, 2453, 3607, 5534, 3233, 5925, 5287, 4264, 5547, 3891, 3381, 2174, 3771, 1340, 6205, 3899, 2879, 1606, 1607, 2888, 1481, 3018, 5066, 4430, 5201, 4307, 214, 2266, 4188, 2270, 1374, 4194, 5730, 613, 4197, 4200, 1390, 753, 1649, 1142, 2425, 1659, 1277, 5374]"
