seed_set,spread,seed,communities,fairness,budget,time
[2955],0.008358469598348944,1.0,0.418284138970089,0.1674453888423023,0.9887976101568334,0.4
[5882],0.019180822352754406,1.0,0.6294677885690592,0.1674453888423023,0.9634055265123226,0.19999999999999996
"[6157, 5882, 4492, 2955]",0.038007620257183676,0.97,0.6628429847862078,0.2498703854187585,0.912621359223301,0.19999999999999996
[6157],0.005975551674869027,1.0,0.2029024183794792,0.1674453888423023,0.9686333084391336,0.8
"[6157, 5210, 5057, 479, 183]",0.007355135735831084,0.96,0.2406960581727161,0.3128698543104397,0.9387602688573562,0.8
[5778],0.00028258453722813145,1.0,0.0975396270043547,0.1674453888423023,0.9985063480209111,1.0
"[5882, 4465, 2805]",0.0353595808858549,0.98,0.7349786189720686,0.21073655117220047,0.9410007468259896,0.19999999999999996
"[5882, 4492, 4467, 4465, 3313, 3090, 2984, 2805, 766]",0.08722495634227655,0.92,0.8173360547941635,0.31514219148184075,0.864824495892457,0.0
"[6157, 717, 334, 183]",0.00931735196062867,0.97,0.29974012197098443,0.28211988005381294,0.9410007468259896,0.6
"[6157, 5882, 5855, 5801, 5526, 5418, 5352, 5292, 4727, 4517, 4467, 4465, 4168, 4142, 3313, 3112, 3090, 2984, 2805, 2721, 2341, 2097, 1556, 1120, 1083, 926, 766, 695, 694, 560, 248, 179, 121]",0.23668518812509923,0.68,0.9032471101963239,0.645452263355414,0.549663928304705,0.0
"[6157, 183]",0.006997936180346087,0.99,0.2460733362358638,0.20819277588976526,0.9551904406273338,0.6
"[6157, 5057, 183]",0.006948722019368154,0.98,0.23815399663290648,0.2468965722978702,0.9544436146377894,0.8
"[6157, 5057, 3004, 2733, 2437, 2407, 2252, 172]",0.009806318463248136,0.93,0.3285026893767248,0.381236561782321,0.9208364451082898,0.6
"[5882, 5855, 5801, 5783, 5526, 5352, 5292, 5017, 4727, 4168, 4142, 3473, 3313, 3112, 3090, 2805, 2721, 2455, 2341, 2097, 2084, 1575, 1556, 1443, 1083, 695, 694, 560, 408, 179]",0.2208287029687252,0.71,0.8943664034830928,0.6542471423383966,0.5810306198655713,0.0
"[6157, 2955]",0.013349738053659311,0.99,0.402178645520619,0.20819277588976526,0.9574309185959672,0.4
"[6157, 5882, 5801, 5526, 5265, 5012, 4727, 4517, 3313, 3112, 3090, 2984, 2805, 2721, 2341, 2084, 1556, 1443, 926, 408]",0.16775837434513416,0.81,0.8650136877409443,0.4599824634110101,0.731142643764003,0.0
"[6157, 5882, 5265, 4727, 4465, 3313, 3090, 2984, 2721, 1556, 1443, 408]",0.1149738053659311,0.89,0.8285522430935243,0.4346963231441521,0.7946228528752801,0.0
"[5882, 4492]",0.026426416891570093,0.99,0.6706157380390434,0.20598835675976523,0.9551904406273338,0.0
"[6157, 4315, 3222, 2839, 1741, 183, 33]",0.008306080330211145,0.94,0.2831226745053367,0.36111129101958583,0.9021657953696789,0.8
"[6070, 6067, 5984, 5882, 5855, 5801, 5737, 5562, 5418, 5410, 5352, 5335, 5265, 5216, 5099, 5017, 5012, 4944, 4921, 4727, 4562, 4517, 4467, 4465, 4269, 4168, 4142, 3428, 3313, 3212, 3112, 3090, 3012, 2992, 2985, 2984, 2892, 2805, 2798, 2721, 2710, 2455, 2341, 2097, 2084, 2019, 1962, 1896, 1872, 1834, 1575, 1556, 1443, 1244, 1083, 985, 835, 766, 695, 694, 560, 408, 383, 248, 222, 179, 154, 46]",0.3614319733290998,0.33,0.9276697538645546,0.7372831303921661,0.16803584764749813,0.0
"[5882, 5801, 5783, 5762, 5526, 5410, 5292, 5265, 5017, 4727, 4517, 4467, 4465, 4168, 3313, 3265, 3112, 3090, 2984, 2805, 2721, 2341, 2097, 1556, 1443, 1083, 926, 766, 695, 694, 560, 248, 179, 121]",0.24369106207334498,0.67,0.9064028477900715,0.5889922241996022,0.5660941000746826,0.0
"[675, 334]",0.0014795999364978568,0.99,0.10358872801010155,0.2105460121989523,0.9895444361463779,1.0
"[5882, 5801, 5265, 4727, 4467, 4168, 3313, 3212, 3112, 3090, 2805, 2721, 2561, 2341, 1962, 1556, 766, 695, 694, 408, 248]",0.17776789966661374,0.8,0.8734618472496827,0.48606967953565383,0.7199402539208364,0.0
"[5882, 3090, 2805]",0.040165105572313065,0.98,0.7218182694202551,0.1674453888423023,0.9454817027632562,0.0
"[6157, 5882, 5526, 4727, 3677, 3313, 3090, 2984, 2805, 1556, 766]",0.10897444038736306,0.9,0.838723476323712,0.4052132038100914,0.8297236743838685,0.0
"[5984, 5882, 5801, 5526, 5352, 5292, 5265, 5099, 5012, 4727, 4517, 4467, 4465, 4168, 4142, 3602, 3313, 3112, 3090, 2984, 2805, 2798, 2721, 2097, 2084, 1896, 1834, 1639, 1575, 1556, 1443, 1244, 1083, 926, 695, 694, 560, 408, 383, 248, 222, 179, 121]",0.28079536434354657,0.58,0.912600609039964,0.6878309814769885,0.45407020164301715,0.0
"[6070, 6067, 6031, 5984, 5962, 5882, 5855, 5801, 5737, 5562, 5526, 5461, 5454, 5418, 5335, 5265, 5216, 5099, 5012, 4965, 4921, 4912, 4727, 4562, 4548, 4517, 4492, 4485, 4467, 4465, 4405, 4269, 4168, 4142, 4071, 3473, 3459, 3454, 3428, 3397, 3313, 3212, 3112, 3090, 3012, 2992, 2985, 2984, 2892, 2864, 2805, 2798, 2721, 2472, 2378, 2341, 2097, 2084, 2019, 1962, 1896, 1872, 1840, 1836, 1575, 1556, 1443, 1442, 1244, 1083, 985, 968, 835, 766, 695, 694, 560, 459, 408, 383, 248, 222, 179, 121]",0.39722178123511664,0.17,0.9380023077336634,0.7923507143412118,0.0,0.0
"[5984, 5882, 5801, 5526, 5352, 5292, 5265, 5099, 4727, 4517, 4467, 4465, 4168, 4142, 3313, 3112, 3090, 2984, 2805, 2798, 2721, 2677, 2097, 2084, 1896, 1834, 1639, 1575, 1556, 1443, 1244, 1083, 926, 695, 694, 560, 408, 383, 248, 222, 179, 121]",0.27660104778536276,0.59,0.9083556917495701,0.6637841193656869,0.46004480955937266,0.0
"[6157, 5882, 5526, 5265, 4727, 4465, 3313, 3090, 2984, 2805]",0.10621844737259883,0.91,0.8280281340433557,0.34977477078716945,0.8431665421956684,0.0
"[6095, 6070, 6067, 5962, 5882, 5855, 5801, 5737, 5562, 5526, 5461, 5418, 5352, 5335, 5265, 5216, 5099, 5012, 4944, 4921, 4727, 4562, 4517, 4467, 4465, 4269, 4183, 4168, 4142, 4071, 3473, 3428, 3397, 3313, 3112, 3090, 3059, 3012, 2992, 2985, 2984, 2892, 2805, 2798, 2721, 2710, 2476, 2472, 2341, 2097, 2084, 1962, 1896, 1872, 1639, 1575, 1556, 1461, 1443, 1244, 1083, 835, 766, 695, 694, 560, 408, 383, 248, 222, 179, 121]",0.3715177012224163,0.29,0.9324472687337697,0.7803575103853619,0.12621359223300976,0.0
"[6070, 6067, 6031, 5984, 5962, 5882, 5855, 5801, 5562, 5461, 5418, 5352, 5335, 5265, 5216, 5099, 5012, 4944, 4921, 4727, 4517, 4492, 4467, 4465, 4183, 4168, 3473, 3428, 3397, 3313, 3212, 3112, 3090, 2985, 2984, 2892, 2851, 2805, 2798, 2721, 2679, 2476, 2341, 2097, 2084, 1896, 1872, 1639, 1575, 1556, 1461, 1443, 1244, 1083, 835, 766, 695, 694, 408, 383, 248, 222, 179, 121]",0.35122241625654865,0.37,0.9284950523424748,0.7603029232778457,0.2419716206123973,0.0
"[6157, 5882, 5265, 5216, 4727, 4467, 3313, 3090, 2984, 2805, 2721, 1556, 1443, 1083, 694, 560, 408, 248, 121]",0.16537228131449438,0.82,0.85665380947939,0.5198883921381225,0.6878267363704257,0.0
"[6070, 6067, 6031, 5984, 5962, 5882, 5855, 5801, 5562, 5526, 5461, 5454, 5418, 5352, 5335, 5265, 5216, 5099, 5012, 4987, 4921, 4912, 4727, 4562, 4548, 4517, 4492, 4485, 4467, 4465, 4405, 4269, 4168, 4142, 4071, 3473, 3459, 3454, 3428, 3397, 3313, 3212, 3112, 3090, 3012, 2992, 2985, 2984, 2892, 2864, 2805, 2798, 2721, 2710, 2476, 2472, 2378, 2341, 2097, 2084, 2019, 1962, 1933, 1896, 1872, 1840, 1834, 1575, 1556, 1443, 1442, 1244, 1083, 985, 968, 926, 835, 766, 695, 694, 560, 459, 408, 383, 268, 248, 222, 179, 121]",0.41053659311001744,0.12,0.9394764828751758,0.8521489803552724,-0.05078416728902169,0.0
"[5882, 4727, 2805, 2721, 1556]",0.06182886172408318,0.96,0.7823383054187416,0.2503765856755452,0.9021657953696789,0.0
"[5882, 5801, 5526, 5265, 5012, 4727, 4517, 4467, 4168, 3512, 3313, 3112, 3090, 2984, 2805, 2721, 2084, 1575, 1556, 1443, 926, 695, 694, 408, 248]",0.19750277821876489,0.76,0.8824200494091298,0.5626133398693182,0.7012696041822255,0.0
"[5882, 5855, 5801, 5526, 5461, 5418, 5352, 5335, 5292, 5265, 5012, 4944, 4921, 4727, 4467, 4465, 4269, 4168, 4142, 3397, 3313, 3212, 3112, 3090, 3057, 2985, 2984, 2892, 2805, 2798, 2721, 2710, 2476, 2341, 2084, 1962, 1834, 1639, 1556, 1443, 1244, 1083, 926, 835, 766, 695, 694, 560, 248, 222, 179, 121]",0.31167328147324974,0.49,0.9234773916907866,0.7473736283396115,0.34204630321135177,0.0
"[5882, 4727, 2984, 1556]",0.05235592951262105,0.97,0.7919045334451473,0.24945341376181784,0.9245705750560119,0.0
"[6211, 6157, 4079, 2733, 2252, 1738, 183, 172, 144, 34]",0.01058739482457533,0.91,0.3718932507845686,0.37511036417687804,0.8536221060492906,0.6
"[6157, 5331]",0.00826480393713288,0.99,0.2831888079133784,0.21207802099213202,0.9604182225541449,0.6
"[6157, 3485, 3222, 2936, 2665, 1336]",0.007586918558501349,0.95,0.25734996676301247,0.3178385111009625,0.9536967886482449,0.8
