seed_set,spread,seed,communities,fairness,budget,time
"[5882, 5855, 4727, 2721]",0.051390696936021586,0.97,0.7506595513527407,0.24824042832519477,0.9133681852128455,0.0
"[5984, 4727]",0.026067629782505156,0.99,0.6857120028531816,0.1674453888423023,0.9820761762509336,0.0
"[5984, 5882, 5855, 4727, 3090, 2253]",0.06750436577234481,0.95,0.8008347387480101,0.25142070467189903,0.9215832710978342,0.0
"[5882, 4727, 3588]",0.03653754564216542,0.98,0.7315445896388848,0.21235562088698068,0.9447348767737117,0.0
[5984],0.010371487537704397,1.0,0.536225438923153,0.1674453888423023,0.9917849141150112,0.0
"[5882, 5855, 5801, 4727, 3755, 3587, 3212, 3090, 2721, 1654, 1522]",0.11449753929195111,0.9,0.829739164869949,0.4099801943617416,0.8513816280806572,0.0
"[6070, 5984, 5882, 5855, 5801, 5410, 5273, 4727, 4467, 4465, 4238, 4168, 4071, 3755, 3616, 3473, 3212, 3168, 3090, 2992, 2984, 2892, 2805, 2798, 2721, 2710, 2392, 2173, 2097, 1962, 1556, 1385, 1171, 985, 926, 694, 236, 222, 153, 121]",0.2782124146689951,0.61,0.9098928647616407,0.6631241992822035,0.4958924570575056,0.0
"[5984, 5882, 5855, 5801, 4727, 4492, 4465, 4238, 4168, 3755, 3473, 3212, 3090, 2984, 2805, 2732, 2721, 926, 694]",0.18163359263375137,0.82,0.8809272758689732,0.5097184277160575,0.731142643764003,0.0
"[6157, 5882, 5855, 5801, 4727, 3755, 3212, 3090, 2721, 1654]",0.10700428639466582,0.91,0.8160965586814275,0.4113180035618662,0.8379387602688574,0.0
"[5882, 5855, 4727, 3755, 3473, 3212, 3090, 2721, 2097, 1556, 1157, 926, 694]",0.12873789490395302,0.88,0.8638805258362977,0.4606267679291618,0.7923823749066468,0.0
"[5984, 5882, 5855, 5801, 5410, 4727, 4467, 4465, 4238, 4168, 4071, 3755, 3616, 3473, 3212, 3108, 3090, 2984, 2805, 2732, 2721, 2710, 2173, 2097, 2019, 1962, 1556, 1171, 926, 694, 560, 222, 153, 121]",0.25627242419431656,0.67,0.9033118522455599,0.6561979223137813,0.5362210604929052,0.0
"[5984, 5882, 5855, 5801, 5410, 4839, 4727, 4465, 4238, 4168, 3755, 3473, 3090, 2984, 2805, 2727, 2721, 2710, 2173, 1556, 1443, 1103, 926, 694, 222]",0.21669471344657884,0.76,0.8887956241816525,0.5523318481430524,0.672890216579537,0.0
"[6178, 5984, 5882, 5855, 5801, 5410, 4727, 4467, 4465, 4238, 4168, 3755, 3616, 3473, 3212, 3090, 2984, 2805, 2732, 2721, 2710, 2477, 2341, 1556, 1522, 1171, 926, 694, 222]",0.23174948404508652,0.72,0.8903564678469019,0.6718019962236659,0.6295743091859597,0.0
"[5882, 5855, 4727, 4465, 694]",0.06233529131608191,0.96,0.8125473611206785,0.2833222088705578,0.9148618371919343,0.0
