n_nodes,influence,obj,nodes
0.98,0.01,0.9754344701424278,"[2104, 2040, 101]"
1.0,0.01,0.9869332287991637,[239]
1.0,0.0,0.989938586175356,[1167]
0.96,0.02,0.967594407421926,"[998, 2741, 145, 1194, 250]"
0.03,0.04,0.9039592316738534,"[4608, 6144, 1027, 4617, 6166, 3096, 7205, 2088, 1579, 3116, 55, 2622, 4680, 7241, 3667, 88, 1115, 3176, 1139, 628, 5761, 3726, 1679, 4759, 2205, 4769, 3235, 6831, 5810, 6143, 2748, 7364, 4292, 5320, 3788, 7379, 2259, 5338, 1762, 7406, 4336, 1269, 7414, 7418, 3325, 3842, 3345, 4370, 6423, 4377, 5916, 5928, 6443, 1835, 4910, 3380, 5429, 4415, 2886, 843, 2383, 6991, 2907, 6501, 5993, 4977, 2418, 7539, 3961, 2430, 390, 7562, 3466, 3467, 3979, 4494, 7080, 430, 945, 7607, 6072, 7100, 1468, 5056, 6084, 2510, 4560, 983, 6115, 6630, 999, 6122, 2546, 505, 6139, 6141, 6142, 1023]"
0.04,0.04,0.9199006925388736,"[4115, 1568, 4138, 7211, 3629, 7215, 3126, 1080, 2106, 2619, 5191, 2640, 1617, 594, 6231, 6239, 1124, 3688, 4713, 4205, 6253, 4722, 3706, 1160, 5259, 152, 6306, 6820, 7332, 2214, 5799, 2733, 2221, 1717, 1718, 3257, 699, 5308, 3262, 3774, 5310, 2244, 7369, 2255, 723, 6364, 3292, 3813, 2793, 5356, 3829, 3835, 765, 6403, 2311, 1807, 1297, 1300, 3862, 2843, 6940, 5406, 5920, 824, 3384, 3899, 6464, 1857, 3905, 4432, 6993, 4435, 7010, 3944, 5993, 5485, 1905, 2424, 5521, 3996, 415, 1440, 6559, 6575, 1986, 5577, 3537, 3542, 993, 5605, 486, 3048, 5609, 2538, 7151, 7161, 4091]"
0.5,0.03,0.9372794982359859,"[7427, 5893, 2697, 4233, 1674, 5772, 4617, 4112, 6290, 6930, 663, 4888, 925, 1950, 6176, 2472, 1962, 1709, 4527, 2482, 179, 308, 58, 4539, 2109, 7108, 1094, 6471, 4812, 4557, 6093, 3663, 2768, 6990, 853, 727, 344, 7259, 1248, 7013, 1514, 4731, 4078, 3184, 4593, 6770, 6642, 5619, 4211, 1147, 4604]"
0.0,0.05,0.894812491833268,"[5632, 1026, 6658, 6660, 3589, 4102, 3591, 4617, 4620, 2573, 2577, 4627, 7197, 1055, 33, 1573, 4146, 3635, 6196, 6201, 1105, 5202, 6739, 3166, 6241, 2661, 6245, 4214, 1656, 4732, 2686, 4737, 130, 5771, 5778, 6301, 1695, 4768, 678, 1707, 4781, 7354, 700, 6858, 208, 2778, 4833, 751, 3824, 3314, 759, 6908, 255, 5383, 1293, 1304, 1818, 6940, 806, 1832, 6443, 4404, 7486, 5440, 5954, 7495, 6989, 3925, 7510, 1373, 3936, 6499, 4969, 1394, 3447, 3963, 1407, 383, 5505, 2963, 7082, 5547, 5553, 2496, 4034, 5578, 7114, 1999, 465, 4567, 472, 6622, 1506, 2019, 7140, 6627, 1001, 5618, 5622, 508, 6141]"
0.94,0.0,0.9964719717757742,"[5256, 4811, 4780, 6610, 4979, 6613, 3993]"
0.13,0.04,0.8975565137854437,"[2561, 1030, 1040, 6677, 5145, 32, 3110, 5672, 2602, 2605, 2116, 6214, 1095, 2119, 593, 1632, 614, 4211, 7295, 7302, 135, 7304, 6794, 139, 5267, 2711, 162, 6325, 2745, 701, 5310, 3263, 4289, 4807, 3786, 5325, 5839, 5336, 7394, 1260, 6381, 3315, 1785, 6406, 7432, 2825, 785, 6423, 2329, 6426, 4380, 1313, 6433, 2342, 807, 305, 5937, 4922, 3398, 2894, 2387, 349, 861, 2398, 1887, 7016, 4460, 878, 4468, 5494, 3968, 7568, 4518, 4535, 957, 5566, 5056, 6598, 5076, 5589, 3047, 1004, 1007, 7153, 6134, 2038, 2556, 6654]"
