seed_set,spread,seed,communities,fairness,budget,time
"[2104, 2040, 101]",0.013908709338929697,0.98,0.26830398086446794,0.21091904685664664,0.9754344701424278,0.19999999999999996
[239],0.00844569779643232,1.0,0.23687743385274151,0.1674453888423023,0.9869332287991637,0.19999999999999996
[1167],0.0024226128016789084,1.0,0.1865253805164222,0.1674453888423023,0.989938586175356,0.4
"[2741, 1194, 998, 250, 145]",0.016392969569779644,0.96,0.3081685880074513,0.2489807874548814,0.967594407421926,0.19999999999999996
"[7607, 7562, 7539, 7418, 7414, 7406, 7379, 7364, 7241, 7205, 7100, 7080, 6991, 6831, 6630, 6501, 6443, 6423, 6166, 6144, 6143, 6142, 6141, 6139, 6122, 6115, 6084, 6072, 5993, 5928, 5916, 5810, 5761, 5429, 5338, 5320, 5056, 4977, 4910, 4769, 4759, 4680, 4617, 4608, 4560, 4494, 4415, 4377, 4370, 4336, 4292, 3979, 3961, 3842, 3788, 3726, 3667, 3467, 3466, 3380, 3345, 3325, 3235, 3176, 3116, 3096, 2907, 2886, 2748, 2622, 2546, 2510, 2430, 2418, 2383, 2259, 2205, 2088, 1835, 1762, 1679, 1579, 1468, 1269, 1139, 1115, 1027, 1023, 999, 983, 945, 843, 628, 505, 430, 390, 88, 55]",0.042683630640083944,0.03,0.42270061353551613,0.6261308666733678,0.9039592316738534,0.0
"[7369, 7332, 7215, 7211, 7161, 7151, 7010, 6993, 6940, 6820, 6575, 6559, 6464, 6403, 6364, 6306, 6253, 6239, 6231, 5993, 5920, 5799, 5609, 5605, 5577, 5521, 5485, 5406, 5356, 5310, 5308, 5259, 5191, 4722, 4713, 4435, 4432, 4205, 4138, 4115, 4091, 3996, 3944, 3905, 3899, 3862, 3835, 3829, 3813, 3774, 3706, 3688, 3629, 3542, 3537, 3384, 3292, 3262, 3257, 3126, 3048, 2843, 2793, 2733, 2640, 2619, 2538, 2424, 2311, 2255, 2244, 2221, 2214, 2106, 1986, 1905, 1857, 1807, 1718, 1717, 1617, 1568, 1440, 1300, 1297, 1160, 1124, 1080, 993, 824, 765, 723, 699, 594, 486, 415, 152]",0.03777938090241343,0.04,0.46873948891241046,0.688013339010364,0.9199006925388736,0.0
"[7427, 7259, 7108, 7013, 6990, 6930, 6770, 6642, 6471, 6290, 6176, 6093, 5893, 5772, 5619, 4888, 4812, 4731, 4617, 4604, 4593, 4557, 4539, 4527, 4233, 4211, 4112, 4078, 3663, 3184, 2768, 2697, 2482, 2472, 2109, 1962, 1950, 1709, 1674, 1514, 1248, 1147, 1094, 925, 853, 727, 663, 344, 308, 179, 58]",0.0288588667366212,0.5,0.39525734115965105,0.5369084182583641,0.9372794982359859,0.0
"[7510, 7495, 7486, 7354, 7197, 7140, 7114, 7082, 6989, 6940, 6908, 6858, 6739, 6660, 6658, 6627, 6622, 6499, 6443, 6301, 6245, 6241, 6201, 6196, 6141, 5954, 5778, 5771, 5632, 5622, 5618, 5578, 5553, 5547, 5505, 5440, 5383, 5202, 4969, 4833, 4781, 4768, 4737, 4732, 4627, 4620, 4617, 4567, 4404, 4214, 4146, 4102, 4034, 3963, 3936, 3925, 3824, 3635, 3591, 3589, 3447, 3314, 3166, 2963, 2778, 2686, 2661, 2577, 2573, 2496, 2019, 1999, 1832, 1818, 1707, 1695, 1656, 1573, 1506, 1407, 1394, 1373, 1304, 1293, 1105, 1055, 1026, 1001, 806, 759, 751, 700, 678, 508, 472, 465, 383, 255, 208, 130, 33]",0.04519674711437566,0.0,0.4883902396389196,0.62023782196086,0.894812491833268,0.0
"[6613, 6610, 5256, 4979, 4811, 4780, 3993]",0.002990556138509969,0.94,0.14988719119094862,0.31350373301597734,0.9964719717757742,0.6
"[7568, 7432, 7394, 7304, 7302, 7295, 7153, 7016, 6794, 6677, 6654, 6598, 6433, 6426, 6423, 6406, 6381, 6325, 6214, 6134, 5937, 5839, 5672, 5589, 5566, 5494, 5336, 5325, 5310, 5267, 5145, 5076, 5056, 4922, 4807, 4535, 4518, 4468, 4460, 4380, 4289, 4211, 3968, 3786, 3398, 3315, 3263, 3110, 3047, 2894, 2825, 2745, 2711, 2605, 2602, 2561, 2556, 2398, 2387, 2342, 2329, 2119, 2116, 2038, 1887, 1785, 1632, 1313, 1260, 1095, 1040, 1030, 1007, 1004, 957, 878, 861, 807, 785, 701, 614, 593, 349, 305, 162, 139, 135, 32]",0.0422284889821616,0.13,0.48527370178856954,0.6700466226172368,0.8975565137854437,0.0
"[7544, 7466, 7230, 6874, 6860, 6846, 6756, 6657, 6642, 6583, 6574, 6330, 6311, 6301, 6101, 6059, 5577, 5462, 5433, 5139, 5134, 5115, 4935, 4644, 4494, 4366, 4114, 4113, 4021, 3909, 3855, 3845, 3808, 3710, 3566, 3514, 3509, 3448, 3239, 3210, 3130, 3116, 2856, 2794, 2792, 2727, 2281, 2105, 2025, 1892, 1824, 1730, 1721, 1598, 1581, 1398, 1389, 1314, 1280, 1214, 1194, 935, 823, 515, 19]",0.02895068205666317,0.36,0.4129631274590192,0.5597949383418237,0.9430288775643538,0.0
"[7549, 7489, 7156, 7115, 6999, 6831, 6756, 6681, 6680, 6647, 6504, 6160, 5936, 5894, 5870, 5836, 5794, 5711, 5652, 5540, 5481, 5474, 5472, 5148, 5108, 5056, 4979, 4828, 4762, 4705, 4590, 4555, 4518, 4485, 4366, 4252, 4246, 4105, 4099, 4084, 4041, 3973, 3920, 3915, 3825, 3683, 3670, 3525, 3519, 3517, 3512, 3018, 2984, 2950, 2782, 2709, 2591, 2515, 2480, 2342, 2242, 2216, 2186, 2078, 2066, 2012, 1897, 1846, 1671, 1595, 1408, 1171, 1113, 1105, 1021, 995, 973, 920, 910, 780, 749, 593, 505, 476, 386, 276, 252, 204]",0.033238457502623296,0.13,0.43118563278012634,0.6893802216885492,0.9308767803475761,0.0
"[7567, 7425, 7420, 7352, 7292, 6790, 6749, 6720, 6638, 6294, 6278, 6200, 6181, 6134, 6036, 5706, 5630, 5583, 5463, 5379, 5353, 5133, 5045, 5030, 5004, 4854, 4635, 4517, 4133, 3507, 3430, 3413, 3287, 2984, 2871, 2599, 2553, 2477, 2462, 2442, 2136, 2098, 2069, 1943, 1905, 1839, 1629, 1579, 1367, 1338, 1309, 1298, 1254, 1217, 1079, 1054, 923, 909, 793, 787, 711, 662, 642, 577, 477, 405, 345, 285, 172, 126, 0]",0.03184548793284365,0.3,0.4280029281026887,0.5727142176608611,0.9342741408597935,0.0
"[7597, 7334, 7284, 7186, 7178, 7151, 7066, 7039, 6749, 6723, 6631, 6540, 6455, 6420, 6366, 6339, 6267, 6264, 6205, 6190, 6163, 6061, 6035, 6020, 5905, 5837, 5736, 5415, 5252, 5199, 5168, 5098, 5066, 4988, 4881, 4817, 4684, 4661, 4503, 4360, 4343, 4182, 4102, 4092, 3883, 3863, 3843, 3679, 3661, 3654, 3552, 3408, 3350, 3205, 3093, 3039, 2916, 2850, 2830, 2762, 2697, 2616, 2576, 2563, 2552, 2523, 2432, 2322, 2284, 2226, 2213, 2112, 2075, 2068, 2056, 1947, 1824, 1761, 1718, 1223, 1201, 1093, 1053, 1002, 931, 779, 752, 642, 609, 586, 535, 468, 414, 358, 247, 190, 88, 87, 10]",0.040842077649527804,0.02,0.4728754917639324,0.5893390920340436,0.9065725859140207,0.0
"[7211, 6717, 6447, 6242, 6092, 5926, 5715, 5643, 5628, 5539, 5485, 5216, 4843, 4823, 4607, 4530, 4415, 3545, 3331, 3089, 3060, 2818, 2757, 2560, 2335, 1763, 1263, 958, 930, 253, 160, 63]",0.012959076600209863,0.69,0.3246194984195572,0.45921065359523394,0.9789624983666536,0.19999999999999996
"[7607, 7601, 7483, 7460, 7430, 7428, 7286, 7197, 7188, 7164, 7103, 7066, 6963, 6942, 6901, 6847, 6828, 6719, 6694, 6610, 6573, 6549, 6491, 6478, 6442, 6428, 6249, 6242, 6053, 5505, 5502, 5478, 5450, 5343, 5309, 5256, 5223, 5222, 5197, 5196, 5089, 4624, 4456, 4177, 4111, 4013, 3998, 3940, 3782, 3755, 3741, 3692, 3535, 3502, 3491, 3414, 3402, 3394, 3307, 3228, 3188, 3141, 2922, 2816, 2777, 2713, 2592, 2580, 2386, 2379, 2117, 2089, 2033, 2000, 1938, 1775, 1754, 1697, 1689, 1669, 1655, 1416, 1411, 997, 962, 949, 898, 896, 877, 869, 868, 619, 449, 399, 391, 300]",0.0400590241343127,0.05,0.4505462822145673,0.7010288398054444,0.9023912191297531,0.19999999999999996
"[7572, 7528, 7400, 7397, 7396, 7360, 7320, 7319, 7317, 7179, 7173, 7121, 7051, 7035, 7029, 7022, 6996, 6896, 6883, 6490, 6475, 6447, 6260, 6065, 6050, 6030, 5895, 5628, 5571, 5464, 5324, 5224, 5206, 5022, 4850, 4828, 4793, 4726, 4674, 4638, 4511, 4332, 4199, 4155, 4089, 4043, 3940, 3863, 3794, 3744, 3727, 3645, 3605, 3559, 3523, 3460, 3458, 3382, 3301, 3248, 3176, 2841, 2598, 2527, 2380, 2327, 2297, 2221, 2194, 2082, 1915, 1806, 1734, 1611, 1301, 1287, 1284, 1283, 1276, 1237, 1233, 1177, 1136, 1099, 1063, 970, 920, 885, 846, 738, 622, 539, 279, 256, 234, 181, 93, 33, 14]",0.03805613850996852,0.02,0.4557912520322599,0.6673986488158353,0.9154579903305893,0.0
"[6791, 4926, 4267, 3492, 1540, 1497, 1067]",0.003907397691500524,0.94,0.19976465854214032,0.2799861129416822,0.9946426238076571,0.4
"[7610, 7217, 6996, 6961, 6780, 6746, 6631, 6583, 6083, 5852, 5666, 5627, 5486, 5353, 5341, 5224, 5209, 5106, 5051, 4976, 4901, 4851, 4790, 4747, 4320, 4244, 4138, 3837, 3819, 3766, 3715, 3491, 3483, 3478, 3443, 3210, 3197, 3073, 3054, 2946, 2937, 2883, 2834, 2828, 2785, 2613, 2571, 2370, 2179, 2057, 1671, 1626, 1545, 1421, 1304, 1288, 1125, 1042, 891, 752, 570, 548, 471, 427, 155, 98, 92, 27, 0]",0.03155692549842602,0.32,0.41717418404023,0.6574822594165308,0.9282634261074089,0.19999999999999996
"[7623, 7563, 7474, 7452, 7408, 7028, 6985, 6971, 6768, 6753, 6562, 6207, 6157, 6149, 6145, 5995, 5952, 5927, 5360, 5145, 5064, 4958, 4934, 4800, 4677, 4521, 4515, 4292, 4235, 4213, 3878, 3527, 3524, 3519, 3513, 3484, 3410, 3326, 3140, 3059, 3043, 2717, 2619, 2484, 2429, 2343, 2306, 2235, 2101, 1849, 1804, 1750, 1706, 1240, 1237, 1124, 1111, 1084, 1074, 1051, 1021, 981, 932, 877, 810, 809, 691, 601, 588, 471, 465, 262, 220, 219, 205, 164, 127, 16]",0.034479275970619096,0.23,0.4410635658093821,0.6122953060532321,0.9235593884751078,0.0
"[7418, 7255, 7253, 7213, 7210, 7195, 6871, 6822, 6785, 6497, 6345, 6203, 6106, 6084, 5962, 5928, 5696, 5646, 5643, 5638, 5576, 5562, 5543, 5402, 5342, 5245, 5227, 5206, 5188, 5133, 4926, 4839, 4814, 4808, 4740, 4550, 4528, 4525, 4509, 4502, 4391, 4329, 4238, 4201, 4190, 4173, 4122, 3985, 3969, 3964, 3929, 3821, 3712, 3691, 3586, 3483, 3259, 3200, 3188, 3064, 2805, 2772, 2713, 2678, 2304, 2270, 2203, 1890, 1883, 1851, 1751, 1693, 1691, 1661, 1656, 1570, 1547, 1258, 1177, 1040, 1029, 833, 798, 597, 497, 444, 388, 333, 319, 77, 73]",0.03619753410283316,0.1,0.4177349289194452,0.6197660588233909,0.9290474323794591,0.0
"[7508, 6813, 6577, 6570, 6522, 6499, 6480, 6467, 6386, 6052, 5923, 5764, 5538, 5339, 5227, 5098, 5035, 4868, 4801, 4719, 4666, 4488, 4202, 4123, 3880, 3241, 3203, 3171, 2834, 2178, 2174, 2150, 2140, 1612, 1365, 1262, 920, 808, 644, 559, 283, 255]",0.01909233997901364,0.59,0.3686364827032741,0.5670665297232527,0.9656343917418007,0.19999999999999996
"[7011, 3756, 2764, 1886, 1303, 1210]",0.0013273871983210913,0.95,0.10812462261640998,0.28587671405057635,0.9980399843198745,0.8
"[7586, 7547, 7496, 7461, 7459, 7430, 7417, 7300, 7146, 7113, 7098, 7056, 7029, 6798, 6669, 6560, 6331, 6249, 6002, 5812, 5804, 5568, 5478, 5468, 5368, 5361, 5311, 5130, 5088, 4846, 4790, 4776, 4709, 4697, 4685, 4607, 4533, 4524, 4494, 4439, 4412, 4372, 4312, 4283, 4198, 4179, 4045, 4031, 3998, 3927, 3878, 3783, 3564, 3475, 3387, 3280, 3253, 3195, 3142, 3067, 2995, 2907, 2860, 2836, 2700, 2685, 2676, 2651, 2608, 2445, 2360, 2350, 2224, 2212, 2134, 2041, 1777, 1755, 1655, 1618, 1544, 1541, 1535, 1444, 1429, 1320, 1283, 1279, 1234, 1205, 797, 525, 383, 369, 282, 205]",0.03787644281217208,0.05,0.4537928017020907,0.6156009992007913,0.9132366392264472,0.0
