seed_set,spread,seed,communities,fairness,budget,time
"[3467, 2109, 1725, 1654, 1323, 1269, 984, 888, 853, 845, 753, 669, 632, 566, 564, 449, 166, 141, 139]",321.26,19.000000000000004,0.5839351254245544,0.6882769866330758,1290.0000000000002,0.0
"[3467, 2741, 2040, 2027, 1747, 1332, 1145, 1003, 888, 864, 841, 654, 648, 643, 638, 415, 346, 239, 215, 147, 138]",336.1,20.999999999999996,0.5490532184949868,0.6839376935178759,1464.0000000000005,0.0
"[1194, 396, 365, 295, 171, 128, 99, 43]",222.84,7.999999999999995,0.5875828174548412,0.6635920834000866,730.0000000000001,0.0
"[2463, 2208, 2105, 2055, 2040, 1747, 1740, 1609, 1593, 1416, 1330, 1323, 1275, 1167, 1145, 984, 973, 867, 865, 864, 859, 846, 845, 778, 759, 756, 753, 669, 643, 638, 637, 564, 555, 530, 511, 449, 427, 415, 401, 398, 369, 365, 344, 296, 295, 257, 237, 215, 171, 170, 166, 158, 141, 138, 128, 119, 115, 99, 90, 43]",546.95,60.00000000000001,0.4947046941038966,0.6179351965153811,4185.0,0.0
"[7542, 7336, 7206, 7168, 7029, 6827, 6629, 6565, 6432, 6230, 6054, 6028, 5997, 5978, 5958, 5767, 5336, 5265, 5099, 4935, 4801, 4732, 4651, 4566, 4538, 4160, 4071, 3798, 3643, 3612, 3608, 3603, 3511, 3454, 3176, 3175, 3020, 2828, 2786, 2733, 2321, 2287, 2060, 1923, 1804, 1479, 1437, 1380, 1377, 1201, 659, 510, 469, 312, 272, 202, 136, 26]",158.1,58.00000000000001,0.5932222558605926,0.37721034625874394,369.0000000000003,0.9999999999999998
"[7230, 5192, 3746, 3273, 3171, 2191, 2091, 1534]",20.83,7.999999999999995,0.7940378770279007,0.6530613859879436,48.000000000000085,3.0
"[7469, 7302, 7247, 7238, 7019, 6829, 6717, 6655, 6647, 6554, 6393, 6385, 6239, 6156, 6097, 6096, 6047, 6026, 5931, 5792, 5734, 5720, 5433, 5404, 5221, 5145, 5012, 5010, 4905, 4904, 4886, 4444, 4374, 4343, 4181, 3932, 3868, 3651, 3600, 3549, 3467, 3355, 3346, 3161, 3036, 2993, 2795, 2740, 2607, 2500, 2479, 2343, 2320, 2248, 2079, 1825, 1824, 1561, 1488, 1457, 1191, 1127, 969, 933, 706, 694, 339, 195, 143, 103, 28]",211.54,71.0,0.5618207469238663,0.45642918132677734,493.0000000000003,0.0
"[7622, 7583, 7416, 7412, 7374, 7244, 7209, 6882, 6755, 6746, 6476, 6470, 6417, 6340, 6334, 6282, 6239, 6167, 6146, 5890, 5689, 5660, 5581, 5579, 5190, 5099, 4852, 4849, 4796, 4775, 4712, 4646, 4644, 4537, 4308, 4253, 4039, 3961, 3721, 3540, 3512, 3509, 3356, 3327, 2974, 2922, 2858, 2828, 2539, 2407, 2261, 2145, 2107, 1964, 1850, 1807, 1804, 1701, 1602, 1577, 1410, 1348, 640, 466, 458, 414, 259, 238, 102, 28]",232.62,70.0,0.584286016181736,0.46240175586771437,427.9999999999997,0.9999999999999998
"[7601, 7466, 7464, 7384, 7357, 7350, 7346, 7278, 7092, 6970, 6927, 6642, 6573, 6466, 6391, 6351, 6240, 6183, 6017, 6013, 5618, 5397, 5388, 5381, 5157, 4966, 4868, 4787, 4712, 4627, 4498, 4311, 4236, 4180, 4028, 4020, 3794, 3602, 3583, 3469, 3263, 3254, 3194, 2998, 2807, 2680, 2462, 2232, 2122, 1907, 1877, 1751, 1723, 1645, 1542, 1390, 1243, 904, 745, 697, 636, 567, 495, 440, 371, 251, 228, 14]",251.88000000000002,68.0,0.5838482435170195,0.4760438358882708,533.9999999999995,0.0
"[7548, 7543, 7407, 7210, 7143, 7013, 6944, 6843, 6828, 6815, 6798, 6691, 6403, 6355, 6339, 6012, 6005, 5987, 5668, 5661, 5423, 5169, 5063, 4878, 4766, 4733, 4556, 4458, 4189, 4020, 3764, 3661, 3635, 3631, 3598, 3517, 3379, 3121, 3044, 3028, 3002, 2904, 2836, 2723, 2620, 2547, 2533, 2183, 2126, 1936, 1760, 1634, 1600, 1519, 1349, 1144, 1098, 1085, 1054, 846, 796, 794, 696, 353, 333, 315, 275, 264, 27]",206.88,69.0,0.5928027510533233,0.33687418020869764,402.9999999999996,0.0
"[7506, 7484, 7474, 7458, 7284, 7129, 6957, 6954, 6896, 6760, 6640, 6617, 6551, 6524, 6516, 6495, 6489, 6473, 6449, 6393, 6262, 6072, 6050, 5887, 5821, 5624, 5608, 5492, 5460, 5409, 5349, 5333, 5271, 5183, 5154, 5132, 5036, 5002, 4804, 4800, 4725, 4600, 4341, 4296, 4009, 3932, 3888, 3872, 3650, 3530, 3452, 3409, 3360, 3341, 3036, 2935, 2865, 2839, 2668, 2617, 2452, 2362, 2178, 2121, 2082, 1766, 1739, 1670, 1400, 1348, 1246, 1149, 944, 828, 819, 277, 250, 179]",262.6,78.0,0.5668098393031784,0.32779847220775693,482.9999999999998,0.0
"[7622, 7565, 7458, 7274, 7027, 6912, 6712, 6083, 6018, 5934, 5853, 5411, 5388, 5216, 5102, 5074, 4988, 4807, 4671, 4661, 4488, 4468, 4192, 3926, 3833, 3652, 3529, 3301, 3188, 2959, 2876, 2848, 2696, 2663, 2558, 2200, 2065, 2058, 2021, 1693, 1527, 1345, 1204, 698, 275, 210, 145, 131]",144.76,48.0,0.6253181553752959,0.4709655366765295,305.99999999999983,0.0
"[7545, 7500, 7432, 7375, 7168, 6939, 6519, 6434, 6329, 6278, 6273, 6144, 6085, 5873, 5866, 5556, 5438, 5294, 5278, 5273, 5251, 5244, 5240, 5192, 5069, 5067, 5049, 4546, 4259, 4172, 4054, 4051, 3732, 3692, 3589, 3491, 3438, 3402, 3360, 3312, 3005, 2834, 2810, 2639, 2638, 2523, 2453, 2450, 2250, 1910, 1555, 1519, 1471, 1385, 1214, 1087, 837, 725, 473, 427, 8]",207.51,61.0,0.6221976822903192,0.47746097108498065,385.99999999999994,0.0
"[7524, 7248, 7131, 6967, 6582, 6451, 6073, 6038, 5956, 5886, 5394, 5248, 5222, 4938, 4755, 4377, 4211, 4103, 3882, 3728, 3687, 3562, 3414, 3320, 3114, 2968, 2806, 2605, 2474, 2451, 1891, 1884, 1814, 1786, 1505, 1495, 1006, 477, 386, 194]",124.02,40.0,0.6414634792826938,0.5065493481369162,216.9999999999996,0.9999999999999998
"[7561, 7555, 7461, 7443, 7292, 7192, 7125, 7066, 7037, 6978, 6956, 6673, 6630, 6316, 6248, 6047, 5876, 5675, 5256, 5180, 5094, 4945, 4819, 4345, 4272, 4105, 4043, 3880, 3828, 3793, 3537, 3389, 3243, 3005, 2935, 2879, 2769, 2540, 2489, 2329, 2320, 2159, 2122, 2032, 1668, 1556, 1533, 1190, 1186, 1154, 1053, 1048, 850, 845, 752, 528, 448, 415, 94, 71, 55, 49, 19]",244.97999999999996,63.0,0.5921227499538539,0.43086581328689877,495.0000000000004,0.0
"[7589, 7500, 7269, 7118, 6725, 6450, 6340, 6306, 6206, 6189, 6161, 6130, 6054, 5926, 5825, 5804, 5549, 4874, 4696, 4669, 4602, 4598, 4561, 4496, 4142, 4068, 4054, 3941, 3594, 3469, 3309, 3016, 2970, 2904, 2799, 2537, 2519, 2316, 2293, 2284, 1951, 1860, 1747, 1725, 1602, 1450, 1256, 1247, 1172, 1085, 1023, 976, 767, 442, 427, 392, 90, 20]",275.33,58.00000000000001,0.5975109626559086,0.46511868590974037,629.9999999999998,0.0
"[7586, 7546, 7535, 7531, 7489, 7364, 7092, 6969, 6925, 6913, 6850, 6762, 6722, 6589, 6480, 6304, 6276, 6207, 6191, 6176, 6165, 6068, 5791, 5772, 5717, 5610, 5605, 5369, 5307, 5236, 5088, 5010, 4973, 4424, 4285, 4197, 3909, 3860, 3472, 3460, 3075, 2817, 2721, 2656, 2611, 2444, 2119, 2102, 2020, 1945, 1870, 1817, 1769, 1686, 1624, 1604, 1565, 1429, 1181, 1170, 1103, 888, 872, 853, 776, 751, 692, 453, 440, 426, 184, 174, 122, 87, 4]",283.48,75.0,0.5736623119951848,0.41911408971463227,564.0000000000003,0.0
