n_nodes,influence,obj,nodes
0.85,0.05,0.45986849869268775,"[128, 392, 138, 139, 398, 1167, 1553, 582, 669, 802, 166, 847, 638, 288, 546, 170]"
0.98,0.02,0.34870811837957105,"[170, 138, 128]"
0.58,0.07,0.5051424970148277,"[128, 392, 138, 3467, 780, 398, 1167, 401, 530, 154, 669, 157, 415, 158, 802, 2596, 546, 286, 288, 166, 1194, 555, 43, 847, 174, 1332, 171, 427, 147, 1954, 170, 945, 822, 65, 845, 846, 853, 1003, 90, 99, 101, 365, 638]"
0.98,0.02,0.3551845604466767,"[288, 170, 638]"
0.99,0.01,0.3064368009799857,"[128, 1145]"
0.92,0.03,0.44861439315777063,"[128, 65, 166, 582, 349, 248, 170, 669, 638]"
0.99,0.02,0.30284796979205286,"[170, 638]"
0.93,0.03,0.4292787955292683,"[128, 166, 391, 582, 170, 43, 669, 638]"
0.92,0.03,0.4506520169266267,"[128, 170, 138, 65, 638, 888, 3467, 116, 1145]"
0.92,0.03,0.45420487936865517,"[128, 65, 170, 3467, 139, 530, 116, 1145, 638]"
0.96,0.03,0.3915501610068355,"[128, 582, 166, 391, 170]"
0.93,0.04,0.42014772046915505,"[128, 257, 166, 391, 170, 530, 116, 638]"
0.6,0.07,0.5231105025600253,"[128, 392, 138, 139, 780, 398, 1167, 401, 530, 154, 157, 669, 415, 288, 546, 166, 170, 555, 43, 171, 3063, 2741, 65, 1740, 846, 2646, 215, 90, 225, 1382, 365, 115, 116, 119, 248, 1145, 378, 1275, 638, 895, 5583]"
0.67,0.06,0.5197020163886898,"[128, 392, 3593, 138, 139, 398, 1167, 401, 530, 154, 157, 669, 546, 3876, 166, 170, 555, 43, 65, 1740, 846, 213, 2646, 215, 90, 225, 365, 115, 116, 757, 119, 248, 638, 4352]"
0.63,0.07,0.5280417141141405,"[128, 391, 138, 398, 1167, 145, 530, 555, 1145, 6417, 401, 415, 154, 157, 1275, 669, 116, 546, 171, 2741, 638, 248, 1740, 846, 1382, 2646, 288, 215, 90, 225, 170, 43, 365, 65, 166, 115, 1654, 378]"
