seed_set,spread,seed,communities,fairness,budget,time
"[2699, 2105, 2055, 2027, 1609, 1608, 1167, 1006, 1001, 984, 865, 864, 862, 857, 788, 669, 643, 638, 564, 546, 530, 511, 449, 398, 396, 391, 378, 349, 345, 296, 282, 257, 239, 215, 171, 170, 157, 147, 141, 140, 139, 128, 119, 116, 99, 90, 43]",0.06694779643231899,0.54,0.485842229046362,0.34476592807774376,0.5247615314255847,0.0
"[2027, 1761, 1747, 1332, 1006, 973, 945, 888, 853, 847, 845, 780, 762, 743, 669, 654, 648, 643, 638, 564, 555, 530, 449, 401, 398, 369, 344, 295, 257, 251, 250, 239, 237, 215, 172, 154, 148, 145, 128, 118, 116, 99, 90, 65]",0.06504328436516264,0.57,0.4886977987515234,0.39000031272645364,0.5770286162289298,0.0
"[6897, 6603, 6379, 5929, 5698, 5496, 4654, 1324, 170, 99, 90]",0.022119622245540396,0.9,0.34415539170829934,0.44471819570542914,0.9328367960277015,0.0
"[4736, 1490, 1340, 1270, 392, 90]",0.01493704092339979,0.95,0.3227306926030412,0.3373577497828395,0.9648503854697504,0.19999999999999996
"[1654, 1145, 654, 638, 511, 495, 401, 369, 257, 239, 171, 170, 139, 128, 115]",0.044594700944386154,0.86,0.45712476372878985,0.3705192372014555,0.8037370965634392,0.0
"[5397, 5095, 855]",0.007447534102833158,0.98,0.2020309517755986,0.2514997192580519,0.9926826081275317,0.19999999999999996
"[1553, 1344, 847, 669, 638, 171, 170, 141, 99]",0.03369753410283316,0.92,0.39267676179258326,0.3364866283047647,0.8654122566313864,0.0
"[6881, 5397, 392, 170]",0.016070304302203568,0.97,0.26754923107115314,0.2859970491861368,0.9611916895335163,0.0
"[945, 643, 555, 549, 511, 43]",0.014083158447009445,0.95,0.37994573925809005,0.34958988235941724,0.9543969685090814,0.19999999999999996
"[7304, 7043, 4736, 3607, 2946, 945, 530, 392, 171, 170, 136, 128, 65]",0.031891395592864635,0.88,0.43260139579356083,0.43399436846412165,0.8847510780086241,0.0
"[945, 856, 669, 643, 638, 530, 511, 495, 392, 391, 365, 349, 326, 257, 239, 171, 170, 140, 139, 128, 101, 65]",0.05313221406086044,0.79,0.4773295977713653,0.40099071333828606,0.718672416045995,0.0
"[847, 669, 638, 511, 257, 171, 170, 128, 99]",0.036290661070304306,0.92,0.4089190999077321,0.30792759050417184,0.839670717365739,0.0
"[643, 564, 555, 550, 511]",0.016694648478488984,0.96,0.34718955440794674,0.3194828514401761,0.9649810531817588,0.19999999999999996
"[4097, 1228, 643, 555, 549, 170, 105, 43]",0.021333945435466947,0.93,0.37747253862427643,0.3906896815026907,0.9371488305239776,0.0
"[3266, 638, 511, 392, 188, 170, 99]",0.02781479538300105,0.94,0.3780329022205239,0.3413955066056016,0.9091859401541879,0.0
"[4229, 3497, 2151, 1228, 795, 170, 43]",0.01914087093389297,0.94,0.3551457160023177,0.37144836892547906,0.9502156017248138,0.19999999999999996
"[7313, 7160, 5287, 3761, 2741, 2680, 2230, 2218, 2138, 1927, 1654, 1167, 1145, 945, 847, 822, 674, 670, 669, 654, 648, 643, 638, 511, 495, 398, 396, 392, 346, 257, 215, 172, 171, 170, 166, 158, 154, 147, 141, 140, 139, 128, 111, 99, 65]",0.0650865687303253,0.56,0.5267229600892527,0.5411547585382956,0.5866980269175487,0.0
"[1744, 945, 643, 555, 549, 235, 43]",0.01709470094438615,0.94,0.38839828379748187,0.37967065652289234,0.9532209591010061,0.0
"[6915, 6285, 6043, 5893, 5131, 4748, 4229, 2948, 2308, 945, 654, 518, 510]",0.014510755508919202,0.88,0.33268326910077395,0.4729016231688091,0.9703384293741016,0.19999999999999996
"[5241, 2107, 1744, 1654, 1510, 1275, 1270, 1269, 984, 859, 847, 822, 797, 756, 669, 654, 643, 638, 546, 530, 511, 495, 449, 398, 396, 392, 391, 378, 348, 257, 230, 225, 215, 187, 166, 154, 147, 141, 140, 139, 132, 128, 119, 118, 65, 39]",0.06649265477439664,0.55,0.4914111445601915,0.38414112258977273,0.571671240036587,0.0
"[1654, 1609, 1608, 1275, 1001, 865, 864, 862, 857, 847, 797, 638, 546, 530, 511, 495, 398, 378, 365, 349, 257, 239, 170, 147, 141, 140, 128, 119, 101, 99, 90, 65]",0.05921169989506821,0.69,0.4876940579156366,0.3632855579433888,0.6406637919770024,0.0
"[6285, 6043, 5893, 5131, 4748, 4229, 2948, 2625, 2308, 945, 654, 518, 510, 128]",0.018516526757607555,0.87,0.3781721905426746,0.4638138040444456,0.9455115640925127,0.19999999999999996
"[4481, 638, 511, 392, 257, 170, 99]",0.029572402938090242,0.94,0.38410839434003596,0.3266504001289372,0.8978178492094604,0.0
"[5877, 4351, 4229, 2948, 2308, 1145, 945, 759, 638, 564, 550, 511]",0.025350209863588668,0.89,0.4038022745372538,0.4371601161944829,0.9341434731477852,0.0
"[4229, 2948, 2308, 669, 638, 564, 166, 128, 99]",0.029740293809024137,0.92,0.40376206148228466,0.40005868353379637,0.8851430811446491,0.0
"[7341, 5287, 3716, 2948, 1167, 945, 788, 669, 654, 638, 511, 396, 392, 365, 171, 170, 147, 139, 137, 136, 128, 99]",0.05196353620146905,0.79,0.46713235800815445,0.4525283337949636,0.7599634130406376,0.0
"[6285, 5893, 4876, 4748, 945, 654, 638, 518, 511, 398, 392, 257, 128, 43]",0.031512329485834205,0.87,0.43456208737566415,0.4581850832739659,0.8729909839278714,0.0
"[7609, 7313, 6169, 5267, 5184, 5095, 2680, 2533, 2138, 1654, 1242, 1145, 945, 643, 638, 555, 549, 145, 99, 65, 43]",0.030598111227701993,0.8,0.46270072921657546,0.5437298254151077,0.8676336077355286,0.0
"[7609, 6169, 5267, 5184, 5095, 3763, 2680, 2533, 2138, 1654, 1242, 1145, 945, 847, 555, 549, 99, 65, 43]",0.03145724029380902,0.82,0.4472829197738637,0.5361702293557845,0.891937802169084,0.0
"[7341, 7275, 5287, 1929, 1554, 1167, 945, 654, 638, 566, 564, 555, 511, 396, 365, 171, 147, 139, 137, 128, 111, 99]",0.04938352570828961,0.79,0.4794343559010019,0.47242207941012326,0.7908009930746113,0.0
"[4970, 2055, 1654, 1416, 1167, 1001, 945, 847, 669, 654, 643, 638, 511, 510, 495, 398, 395, 378, 365, 349, 140, 139, 128, 119, 99, 65]",0.056583158447009445,0.75,0.4812791284448773,0.39857402536503905,0.7107016856134849,0.0
"[1167, 945, 853, 797, 669, 654, 643, 546, 530, 398, 396, 257, 170, 147, 141, 140, 139, 128, 99]",0.05040267576075551,0.82,0.45244879166485996,0.3719675513330647,0.7540833660002613,0.0
"[7160, 5783, 5287, 4970, 3786, 3761, 2741, 2230, 2218, 2055, 1654, 1416, 1167, 945, 864, 852, 847, 674, 670, 669, 654, 643, 638, 510, 495, 449, 398, 395, 378, 369, 365, 349, 172, 171, 166, 158, 154, 148, 141, 140, 139, 128, 119, 99, 65]",0.06519412381951732,0.56,0.5063077528045581,0.4936105171012788,0.6137462433032798,0.0
"[7313, 7160, 6339, 5287, 4530, 3761, 3482, 2774, 2741, 2680, 2264, 2230, 2218, 2138, 1744, 1654, 1275, 1167, 1145, 945, 847, 811, 802, 788, 743, 674, 670, 669, 654, 648, 643, 638, 566, 555, 530, 495, 449, 398, 396, 392, 391, 369, 365, 296, 282, 257, 250, 225, 172, 171, 170, 166, 154, 147, 140, 139, 128, 111, 99, 65]",0.07271511017838404,0.41,0.5353932137084515,0.5474690684653263,0.5113027570887234,0.0
"[6364, 4452, 2948, 2680, 2055, 1654, 1554, 1275, 1269, 1167, 1145, 945, 853, 824, 669, 654, 648, 638, 623, 619, 530, 511, 495, 398, 396, 365, 141, 139, 128, 111, 99]",0.058445697796432314,0.7,0.48764303147669663,0.4222132975811618,0.6920162027962891,0.0
"[7179, 7160, 7152, 6055, 5664, 5287, 4478, 4448, 3761, 3600, 3467, 2741, 2680, 2230, 2218, 2138, 2055, 1954, 1927, 1744, 1654, 1554, 1550, 1433, 1416, 1269, 1209, 1167, 1145, 945, 888, 802, 674, 670, 669, 654, 643, 638, 619, 566, 555, 549, 511, 449, 401, 398, 395, 392, 365, 288, 166, 141, 140, 139, 128, 111, 99, 65, 15]",0.07092602308499475,0.42,0.5405677241638739,0.5821203824732784,0.5818633215732393,0.0
"[7609, 6169, 5184, 2533, 2138, 1242, 1167, 945, 847, 669, 654, 643, 555, 549, 139, 99, 65, 43]",0.03906610703043022,0.83,0.46987805014142403,0.4936915958785034,0.8426760747419313,0.0
"[6364, 4452, 2680, 1654, 1554, 1275, 1269, 1167, 1145, 945, 853, 824, 808, 669, 654, 648, 643, 623, 619, 530, 511, 495, 398, 396, 391, 365, 141, 139, 128, 111, 99]",0.0584601259181532,0.7,0.48503873567550404,0.41629058817563835,0.6990722592447407,0.0
"[638, 511, 392, 349, 170, 99]",0.031054564533053514,0.95,0.38275198068928284,0.30949212248918656,0.8945511564092513,0.0
"[7504, 7313, 7160, 7043, 6483, 6292, 5783, 5664, 5287, 5269, 3851, 3761, 3600, 3467, 2946, 2741, 2680, 2230, 2218, 2138, 2048, 1958, 1927, 1744, 1654, 1554, 1550, 1416, 1344, 1167, 1145, 1112, 1085, 1001, 984, 945, 864, 857, 856, 852, 849, 845, 842, 818, 802, 780, 674, 670, 669, 654, 648, 643, 638, 619, 566, 555, 549, 511, 495, 449, 427, 398, 396, 392, 391, 378, 369, 365, 344, 288, 215, 166, 158, 157, 154, 148, 147, 139, 128, 111, 99, 65]",0.0790897166841553,0.19,0.5503430870011267,0.6721410594913496,0.45589964719717757,0.0
"[7313, 7160, 6804, 5287, 3786, 3761, 3600, 2741, 2680, 2230, 2138, 2055, 1554, 1550, 1167, 1109, 945, 864, 788, 759, 674, 669, 638, 566, 561, 555, 549, 547, 530, 511, 449, 398, 396, 392, 369, 365, 171, 166, 158, 154, 148, 141, 128, 111, 99, 65]",0.06593913955928647,0.55,0.5122757421629289,0.5229688542143487,0.6353064157846596,0.0
"[7341, 5287, 2096, 1167, 945, 788, 669, 654, 638, 511, 396, 392, 391, 365, 171, 170, 147, 139, 137, 136, 128, 99]",0.052797743966421826,0.79,0.46938067576344344,0.4311248785594901,0.7487259898079185,0.0
"[7609, 7313, 6169, 5184, 4545, 2138, 1167, 1145, 945, 847, 670, 669, 654, 650, 643, 638, 555, 549, 171, 154, 148, 147, 145, 139, 128, 99, 65, 43]",0.052827911857292756,0.73,0.5083163214447726,0.5400688585586344,0.7437606167516007,0.0
"[7313, 7160, 5287, 5115, 3786, 3761, 3600, 2741, 2680, 2230, 2138, 2055, 1654, 1554, 1550, 1167, 1145, 1109, 945, 864, 788, 669, 638, 566, 561, 555, 530, 511, 449, 398, 396, 392, 171, 141, 128, 99, 65]",0.05964716684155299,0.64,0.5120854838614086,0.5492779759388837,0.6968509081405985,0.0
"[7341, 5893, 5287, 4229, 2308, 1167, 945, 788, 669, 654, 638, 518, 396, 365, 171, 170, 147, 139, 128, 99]",0.048067943336831065,0.81,0.4636832607139658,0.459089808945473,0.7897556513785444,0.0
"[7455, 6399, 4132, 2107, 1654, 1593, 984, 945, 859, 853, 847, 841, 822, 797, 669, 656, 643, 638, 549, 546, 530, 511, 449, 398, 396, 187, 170, 166, 154, 147, 145, 141, 128, 99, 65, 43, 39]",0.06218126967471144,0.64,0.5011688016578151,0.45036837100593996,0.6445838233372534,0.0
"[7341, 5287, 4188, 2218, 1167, 945, 788, 669, 654, 638, 398, 396, 392, 365, 257, 171, 170, 147, 139, 128, 99]",0.05130115424973767,0.8,0.4626767309707094,0.42464840313938734,0.7475499803998432,0.0
"[7609, 7341, 6169, 5287, 1167, 945, 788, 674, 670, 669, 654, 643, 638, 555, 549, 511, 449, 396, 369, 171, 170, 147, 139, 99, 65, 43]",0.05335650577124869,0.75,0.49217491586632145,0.4937241499429037,0.7512086763360774,0.0
"[4530, 669, 643, 530, 392, 391, 257, 172, 171, 170, 166, 140, 139, 138, 128, 99]",0.04576600209863589,0.85,0.44082977405985746,0.34815858060967286,0.7909316607866197,0.0
"[7341, 7313, 7160, 6292, 5783, 5664, 5287, 5269, 3761, 3600, 2741, 2680, 2230, 2218, 2138, 2048, 1554, 1550, 1167, 1145, 1085, 802, 674, 670, 669, 654, 638, 619, 566, 555, 549, 398, 396, 392, 365, 288, 171, 158, 157, 154, 148, 147, 139, 128, 111, 99, 65]",0.06355194123819517,0.54,0.5285016388165789,0.6778405060074956,0.6669280020906834,0.0
"[7504, 7313, 7160, 7119, 3851, 2680, 2218, 2138, 2047, 2040, 1744, 1654, 1593, 1433, 1344, 1332, 1270, 1269, 1167, 1145, 1035, 847, 845, 841, 837, 822, 818, 811, 802, 788, 780, 674, 670, 669, 654, 648, 643, 638, 619, 566, 555, 530, 511, 495, 449, 398, 396, 395, 392, 391, 296, 282, 257, 225, 215, 170, 168, 166, 158, 154, 148, 147, 140, 139, 128, 119, 111, 99, 98, 65, 43]",0.07639690451206717,0.3,0.535720775590368,0.518218749533514,0.4186593492747942,0.0
"[5896, 1167, 847, 643, 396, 172, 139, 99]",0.030222980062959075,0.93,0.38565088427623984,0.37142303355811945,0.9125833006664054,0.0
"[7609, 7521, 6169, 5184, 4448, 2533, 2138, 2055, 2047, 2040, 1744, 1654, 1269, 1242, 1167, 1145, 945, 847, 669, 654, 638, 619, 555, 549, 511, 495, 449, 398, 395, 392, 215, 140, 139, 111, 99, 65, 43]",0.060198058761804826,0.64,0.5099794722527353,0.5386622920367486,0.6886188422840716,0.0
"[7179, 7160, 6292, 5783, 5287, 5269, 5115, 3851, 3761, 3600, 3467, 2230, 2218, 2138, 2055, 1927, 1654, 1550, 1167, 1145, 1085, 802, 669, 654, 648, 638, 619, 566, 555, 396, 391, 365, 215, 154, 148, 128, 116, 99, 65, 15]",0.057185204616998955,0.61,0.5203553187239773,0.6696278479593507,0.7207630994381289,0.0
