n_nodes,influence,nodes
0.0007869884575026233,0.03,"[99, 392, 170, 139, 1269, 638]"
0.00236096537250787,0.05,"[128, 99, 1330, 2055, 392, 139, 225, 141, 288, 1551, 101, 170, 398, 530, 215, 349, 669, 638]"
0.003541448058761805,0.06,"[128, 392, 139, 141, 1550, 1551, 398, 1167, 530, 1554, 654, 401, 147, 669, 157, 288, 546, 166, 170, 65, 1608, 215, 99, 101, 365, 369, 638]"
0.0043284365162644285,0.07,"[128, 392, 139, 141, 398, 1167, 654, 401, 530, 1554, 147, 669, 288, 546, 166, 170, 555, 172, 7224, 65, 1608, 215, 344, 90, 349, 99, 101, 365, 495, 369, 115, 118, 638]"
0.0013116474291710388,0.04,"[128, 99, 170, 139, 141, 398, 864, 392, 530, 1550]"
0.0014428121720881427,0.04,"[128, 99, 392, 170, 139, 141, 654, 365, 398, 369, 638]"
0.012722980062959077,0.08,"[128, 1416, 392, 139, 396, 141, 654, 1551, 1550, 398, 1167, 152, 530, 147, 1554, 401, 1194, 669, 157, 415, 288, 1954, 546, 3467, 166, 168, 395, 555, 171, 43, 172, 1330, 818, 1719, 1593, 2122, 65, 1608, 107, 215, 345, 90, 346, 286, 867, 99, 869, 101, 743, 103, 237, 365, 750, 495, 3486, 369, 623, 115, 118, 802, 21, 1145, 638, 511, 296, 170, 811, 945, 2741, 822, 145, 5306, 2328, 6216, 855, 225, 1510, 1002, 2027, 841, 1654, 845, 344, 863, 3426, 3463, 3979, 4517, 1448, 427, 954, 449, 4554, 977, 995, 998, 2984]"
0.0031479538300104933,0.06,"[128, 392, 139, 396, 141, 398, 654, 401, 530, 1554, 147, 669, 288, 546, 170, 215, 349, 225, 99, 101, 365, 495, 369, 638]"
0.00026232948583420777,0.02,"[128, 170]"
0.0028856243441762854,0.06,"[128, 2055, 392, 139, 141, 398, 1167, 1551, 530, 669, 288, 170, 65, 1608, 215, 349, 99, 101, 365, 369, 638, 1493]"
0.0005246589716684155,0.02,"[99, 170, 139, 1269]"
