n_nodes,influence,obj,nodes
0.67,0.02,0.9728211159022605,"[4864, 3717, 6534, 2570, 4878, 2322, 787, 2452, 3861, 6035, 1430, 284, 3357, 6174, 4383, 1450, 3887, 5296, 6705, 6576, 2360, 2756, 3023, 720, 1619, 602, 1377, 4198, 5744, 1782, 3832, 7162, 5885, 6526]"
0.26,0.04,0.9349274794198353,"[5506, 7557, 1029, 3848, 3465, 4105, 907, 3723, 2063, 1426, 6165, 5531, 283, 2170, 6055, 7464, 3753, 2602, 4009, 4780, 557, 1329, 2554, 1459, 1204, 3634, 6838, 3386, 317, 61, 2883, 7364, 2373, 4037, 1478, 1480, 7368, 454, 7366, 5068, 1101, 1741, 334, 7244, 4561, 7246, 1868, 5974, 6488, 1241, 6746, 7128, 92, 6621, 223, 1632, 5217, 6623, 5731, 4090, 2021, 2919, 7272, 2281, 3178, 4858, 6892, 2665, 3697, 883, 2678, 2041, 2042, 4347, 6397]"
0.93,0.0,0.9954266300797073,"[2696, 7528, 3178, 11, 1007, 7119, 4701, 7327]"
0.96,0.0,0.9986933228799164,"[3392, 5348, 5864, 7380, 3545]"
0.36,0.03,0.9529596236769894,"[2304, 5252, 7173, 2185, 4106, 4875, 5516, 5775, 7312, 6416, 402, 3987, 6676, 3989, 279, 25, 6938, 4507, 924, 7322, 5534, 1442, 6691, 3111, 4273, 3633, 2102, 4535, 3256, 1081, 954, 568, 3003, 3128, 6206, 6974, 3903, 2497, 1089, 5827, 5444, 3652, 4166, 2896, 2385, 1874, 5206, 6871, 6493, 7389, 7135, 6369, 2148, 3045, 4710, 2665, 7018, 3823, 4720, 371, 3444, 4211, 4856, 5628, 6526]"
0.08,0.04,0.9398928524761532,"[3075, 2058, 4618, 1035, 2574, 6161, 7193, 5152, 2612, 3636, 3657, 588, 1108, 1621, 5215, 5731, 618, 7275, 2166, 1661, 641, 5766, 6284, 4751, 1684, 1690, 5792, 167, 4268, 3756, 6834, 3765, 4279, 700, 6338, 4292, 3781, 3275, 5331, 1245, 5858, 5346, 6381, 3312, 3826, 2807, 6392, 6402, 4868, 4359, 2829, 3865, 4386, 3365, 7463, 3893, 6978, 1349, 837, 6982, 7494, 3404, 6487, 2911, 1895, 6002, 4470, 7546, 5499, 904, 6027, 7568, 4510, 7583, 414, 1951, 6057, 3498, 3501, 941, 434, 5559, 7613, 455, 3527, 1997, 478, 485, 3046, 5606, 1010, 504, 6140]"
0.86,0.01,0.9853652162550633,"[384, 1635, 5571, 2438, 6891, 6539, 2317, 5966, 175, 5104, 5100, 2613, 6807, 2138, 3037]"
0.38,0.04,0.9404155233241865,"[517, 3974, 1287, 5129, 3466, 2699, 6028, 1929, 3346, 407, 5912, 6297, 3098, 1180, 5149, 3358, 7196, 2849, 7586, 5923, 3361, 1701, 5798, 3877, 297, 6826, 6065, 51, 2613, 5687, 4154, 4283, 6587, 5831, 6861, 1230, 4688, 465, 720, 723, 6999, 5721, 1500, 1758, 6495, 6627, 6756, 612, 7396, 2279, 739, 489, 3299, 2412, 2284, 6640, 370, 4084, 7542, 6008, 6521, 4094, 2559]"
0.13,0.05,0.9183326799947733,"[1537, 1544, 8, 4109, 525, 1530, 3092, 5659, 6173, 5154, 3110, 4655, 4146, 2616, 7230, 5186, 578, 2116, 6732, 6234, 6237, 3695, 6256, 4211, 5749, 5259, 1165, 4754, 663, 1691, 5788, 3747, 4264, 5803, 5294, 5824, 197, 3270, 3784, 205, 4305, 3283, 5846, 6362, 3296, 4324, 6374, 3825, 6909, 2303, 3840, 1284, 3846, 5899, 4380, 3357, 2847, 288, 5921, 6948, 2343, 7469, 3384, 7482, 2903, 7011, 3432, 4458, 6509, 6004, 1909, 5499, 3458, 5000, 5518, 6544, 5528, 5589, 4057, 2014, 3555, 1508, 3045, 6121, 491, 3057, 3575, 4090]"
0.7,0.02,0.9726904481902522,"[3974, 2439, 4876, 5909, 7445, 4119, 1175, 153, 26, 5662, 2081, 5282, 7075, 5926, 4008, 6568, 1707, 951, 4153, 2497, 5064, 718, 6608, 1365, 2005, 6106, 2149, 3561, 6384, 6516, 2046]"
0.79,0.01,0.9844505422710048,"[7178, 3092, 6296, 2458, 1313, 552, 4401, 6581, 4286, 7617, 6980, 2119, 6865, 4178, 84, 6620, 3549, 4063, 4204, 6515, 2165, 3837]"
0.9,0.01,0.9891545799033059,"[1250, 7205, 1511, 1042, 4181, 119, 6425, 2969, 7358, 4734, 1663]"
0.08,0.05,0.9106232849862799,"[6656, 0, 2059, 6160, 3610, 3611, 6180, 1063, 4138, 7211, 4655, 2096, 4657, 6706, 6708, 1590, 3639, 7224, 5195, 2638, 4186, 610, 6250, 619, 1644, 5757, 1153, 5251, 4743, 4233, 5264, 2195, 149, 2725, 6317, 687, 1201, 5302, 4285, 194, 3779, 202, 717, 7378, 3800, 7388, 3297, 6380, 241, 6397, 2311, 5901, 5389, 2319, 1298, 5908, 3349, 4375, 6428, 4381, 6429, 802, 6439, 3379, 834, 2394, 3421, 353, 4968, 3946, 6531, 1943, 7065, 922, 422, 4522, 1966, 436, 948, 2486, 6088, 7127, 983, 4059, 5083, 4585, 3051, 1006, 5617, 498, 2546, 1010, 4088]"
0.42,0.03,0.9513916111328891,"[7043, 5, 2566, 2825, 3599, 1940, 2455, 4120, 3609, 4504, 6300, 2335, 2975, 6945, 6309, 5414, 2728, 681, 5675, 1965, 942, 7215, 2609, 5556, 6837, 6073, 1213, 2237, 2367, 3011, 1094, 72, 7374, 846, 7120, 2517, 1751, 3928, 1879, 2010, 2651, 4573, 3936, 4324, 3172, 6118, 6759, 6120, 3304, 2026, 1385, 3431, 4326, 4093, 2802, 7537, 6779, 7421, 7167]"
0.55,0.02,0.9594930092774075,"[1793, 4226, 5893, 3078, 2309, 3720, 7435, 6287, 7312, 400, 1426, 4111, 2842, 6683, 1308, 2973, 4001, 6564, 3108, 2470, 1320, 5672, 4270, 692, 7359, 6976, 6653, 5317, 3910, 5576, 4810, 716, 4559, 3155, 7125, 4314, 735, 3942, 5995, 6125, 5236, 3190, 3706, 7548, 2429, 2559]"
0.04,0.05,0.9244740624591663,"[6656, 6659, 1567, 5664, 2080, 2596, 3623, 6192, 58, 6720, 2626, 3666, 2649, 6748, 7269, 3175, 3692, 120, 5244, 1149, 4237, 3215, 4752, 3730, 6297, 6814, 5797, 2730, 2228, 5301, 7348, 2744, 7358, 2241, 2247, 1223, 2760, 2258, 3293, 5855, 1762, 7405, 2803, 1780, 4341, 5880, 2809, 5882, 7425, 1281, 4865, 4356, 2309, 6918, 3349, 6424, 3355, 1821, 6944, 803, 3880, 812, 303, 5950, 1857, 1862, 5452, 1877, 3927, 2904, 7001, 3420, 354, 5995, 3949, 877, 1903, 3956, 2425, 3452, 4476, 7050, 5517, 7065, 1946, 6043, 4003, 933, 6064, 7089, 4045, 5071, 3542, 7140, 4069, 3053, 4095]"
0.28,0.04,0.9387168430680779,"[5760, 896, 4995, 905, 2698, 2185, 4493, 1422, 6031, 5905, 5265, 5651, 5523, 1298, 3862, 7192, 4121, 665, 6811, 5149, 4509, 927, 802, 931, 2982, 7334, 2600, 41, 559, 2992, 7089, 5425, 3249, 2868, 1970, 6579, 689, 3897, 7613, 2238, 1727, 2623, 2496, 4418, 4035, 3651, 3653, 2115, 2247, 3911, 456, 7492, 2118, 4685, 3023, 6736, 4945, 6610, 4087, 7248, 469, 5725, 1373, 4447, 4063, 5857, 1514, 1519, 2800, 7543, 3064, 5371, 1021]"
0.11,0.05,0.9121912975303802,"[3075, 2055, 7177, 5143, 2076, 1055, 6181, 41, 3626, 3627, 4668, 579, 1611, 2123, 4172, 3156, 6758, 6770, 5235, 5256, 2698, 1166, 5263, 3220, 6300, 164, 5300, 4278, 1209, 5311, 4287, 1220, 7379, 1239, 4317, 3816, 5354, 6900, 6912, 5889, 3332, 3847, 3850, 5392, 5906, 4378, 7454, 3879, 823, 4409, 4930, 1861, 7494, 6986, 1359, 7000, 5468, 7007, 5472, 3428, 1391, 7538, 370, 6005, 7030, 890, 6011, 4989, 391, 6537, 909, 6543, 5007, 3477, 4509, 1959, 7597, 5556, 1469, 7102, 7108, 1989, 7623, 1992, 1492, 2007, 3543, 5613, 493, 501]"
0.87,0.01,0.9871945642231804,"[1824, 5317, 5766, 229, 1928, 1417, 4461, 113, 4435, 5975, 7576, 89, 2427, 2620]"
0.3,0.04,0.9363648242519274,"[2946, 5890, 6020, 2693, 1930, 4876, 2064, 5265, 2453, 1178, 282, 2461, 1824, 5153, 547, 7460, 295, 2729, 685, 6191, 6069, 1461, 5688, 4153, 6970, 5432, 5181, 3134, 6976, 707, 7110, 4680, 2506, 4555, 1610, 3915, 1870, 2384, 3669, 2134, 728, 2009, 4603, 4060, 4829, 7004, 6495, 1378, 2538, 4326, 3303, 105, 5226, 1897, 2796, 6893, 6382, 2287, 1391, 3569, 1137, 3187, 7156, 884, 2925, 3441, 6521, 1914, 6139, 5501, 4734]"
0.7,0.02,0.9773944858225533,"[2177, 7298, 3075, 5000, 2699, 3852, 2837, 6553, 5915, 7072, 1696, 1316, 4646, 1452, 48, 2865, 3122, 2744, 3523, 2501, 4045, 6911, 2266, 1504, 5346, 4199, 3687, 1648, 7160, 2940, 2303]"
0.85,0.01,0.9903305893113812,"[6818, 4610, 2756, 3589, 2590, 1384, 2376, 5066, 5262, 5586, 916, 2841, 5974, 1689, 4030, 3199]"
0.35,0.04,0.9359728211159023,"[2307, 2312, 4745, 4363, 5387, 6539, 3854, 5391, 7183, 5904, 1805, 1047, 7192, 409, 2461, 2719, 1184, 4641, 5156, 806, 6182, 3881, 3882, 4269, 3886, 7600, 6192, 308, 6710, 1465, 5434, 825, 702, 4030, 4929, 2628, 7111, 7112, 1225, 968, 2505, 2384, 1109, 4059, 6236, 3071, 7005, 1246, 1116, 3810, 2534, 6507, 3821, 4205, 5615, 2543, 3953, 1522, 500, 630, 6137, 1786, 7547, 2428, 6013, 5247]"
0.96,0.0,0.9967333071997909,"[1831, 715, 314, 4562, 6426]"
0.17,0.04,0.9313994511956095,"[4101, 4105, 1563, 7205, 5691, 5180, 580, 1612, 3661, 6738, 7251, 2135, 4700, 1647, 1146, 634, 5244, 4741, 2697, 5772, 2700, 3212, 5261, 6295, 162, 3243, 2221, 3764, 712, 5323, 3276, 6865, 734, 2271, 7392, 5346, 3298, 4840, 6900, 6905, 5899, 7436, 6931, 1300, 4369, 4370, 3873, 276, 3363, 3876, 3896, 1339, 1852, 5445, 4423, 7495, 4938, 1867, 690, 7502, 2896, 4944, 4949, 874, 2925, 4485, 7051, 1421, 1938, 918, 3991, 3487, 1444, 5543, 5565, 450, 3528, 6090, 3543, 473, 2521, 5599, 6625, 1532]"
0.49,0.03,0.9550503070691232,"[5506, 7557, 1029, 3848, 3465, 4105, 907, 3723, 2063, 1426, 4499, 5531, 283, 2170, 6055, 7464, 3753, 2602, 4009, 4780, 557, 1329, 2554, 1459, 1204, 3634, 6838, 3386, 317, 61, 2883, 7364, 2373, 4037, 1478, 1480, 7368, 454, 7366, 5068, 1101, 1741, 334, 7244, 4561, 7246, 1868, 5974, 6488, 1241, 6746, 7128]"
0.63,0.02,0.9623676989415916,"[258, 1795, 1293, 6542, 2062, 7311, 7054, 6286, 3859, 1045, 4503, 6168, 279, 2971, 3489, 1314, 3745, 5154, 2465, 6563, 3116, 4141, 2092, 2477, 1072, 7474, 1075, 1845, 4792, 3130, 2666, 4035, 4932, 963, 967, 5756, 3966, 5119]"
0.38,0.03,0.9474715797726382,"[4610, 3589, 5262, 6673, 2835, 2201, 26, 1307, 2845, 925, 2590, 2848, 545, 6818, 3875, 163, 7589, 6822, 3236, 4275, 5300, 1589, 4790, 4664, 7097, 7355, 3004, 5437, 2877, 5824, 7488, 4163, 2756, 4932, 710, 2375, 2376, 6470, 5066, 6987, 5966, 3535, 4302, 5586, 5715, 4952, 4698, 4954, 3165, 1248, 1378, 4963, 6372, 996, 2151, 5483, 2542, 4335, 2802, 4085, 4597, 1142, 4344]"
0.43,0.03,0.9545276362210897,"[7043, 5, 2566, 3599, 1940, 7444, 2455, 4120, 3609, 4504, 6300, 2975, 2335, 6945, 6309, 5414, 2728, 681, 5675, 1965, 942, 7215, 2609, 5556, 6837, 6073, 1213, 2367, 3011, 1094, 7374, 846, 7120, 2517, 1751, 3928, 1879, 2010, 2651, 7421, 4573, 3936, 4324, 3941, 3172, 6118, 6759, 6120, 3304, 2026, 1385, 3431, 4326, 3440, 7537, 2802, 4093, 7167]"
0.88,0.01,0.9920292695674898,"[1313, 7617, 6980, 2119, 552, 7178, 4401, 6865, 3092, 6581, 6296, 2458, 4286]"
0.27,0.04,0.9300927740755259,"[2432, 2694, 1158, 5126, 4105, 2697, 4232, 5517, 6157, 4749, 912, 1402, 5271, 7579, 796, 4253, 5662, 6432, 1188, 3367, 6441, 4013, 4142, 2224, 1969, 1458, 4661, 5047, 3000, 1337, 4665, 1082, 2875, 314, 5947, 5567, 5824, 5441, 1730, 832, 3923, 6976, 5698, 4683, 975, 215, 6353, 5201, 723, 3159, 6874, 219, 5468, 92, 1502, 7135, 6112, 993, 4194, 6628, 2404, 1768, 4586, 4589, 5231, 3440, 1009, 7541, 7159, 6008, 2937, 4986, 5499, 2684]"
0.11,0.06,0.8984711877695022,"[7555, 4108, 398, 1039, 7185, 1055, 6181, 41, 3626, 3627, 4668, 579, 1611, 2123, 4172, 3156, 6758, 6770, 5235, 5256, 2698, 1166, 5263, 3220, 6300, 164, 370, 5300, 4278, 1209, 5311, 4287, 1220, 7379, 1239, 4317, 3816, 5354, 6900, 6912, 5889, 3332, 3847, 3850, 5392, 5906, 4378, 7454, 3879, 823, 4409, 4930, 1861, 7494, 6986, 1359, 7000, 5468, 7007, 5472, 3428, 1391, 7538, 6005, 7030, 890, 6011, 4989, 391, 6537, 906, 6543, 5007, 3477, 4509, 1959, 7597, 5556, 1469, 7102, 7108, 1989, 7623, 1992, 1492, 2007, 3543, 5613, 493, 501]"
0.44,0.02,0.9641970469097086,"[1186, 1833, 3242, 3245, 557, 47, 6064, 1199, 6706, 5555, 308, 5557, 3512, 2876, 5820, 1598, 3392, 5057, 6978, 6854, 7369, 3658, 3021, 4688, 4816, 6098, 4947, 7380, 4561, 2256, 4434, 4694, 3545, 4695, 5976, 3415, 4314, 1755, 6233, 478, 3936, 2785, 3682, 5348, 5864, 3817, 4716, 877, 1390, 7022, 3823, 7153, 6129, 4981, 6012, 2430, 2881]"
0.88,0.01,0.9930746112635568,"[3392, 5348, 5130, 6697, 3308, 4343, 5358, 6319, 23, 5467, 4732, 6077, 4638]"
0.67,0.02,0.9749117992943943,"[7043, 5, 2566, 3599, 1940, 7444, 2455, 4120, 3609, 4504, 6300, 2975, 2335, 6945, 6309, 5414, 2728, 681, 5675, 1965, 942, 7215, 2609, 5556, 1375, 6073, 1213, 2367, 3011, 1094, 7374, 846, 7120, 2517]"
0.64,0.02,0.9695544231020515,"[6656, 6659, 1567, 5664, 2080, 2596, 3623, 6192, 58, 6720, 2626, 6865, 3666, 4178, 1955, 6564, 804, 3123, 3635, 6453, 6196, 5597, 703, 3396, 4175, 4691, 6741, 5463, 3930, 6234, 990, 1633, 104, 7535, 1779, 1146, 3967]"
0.69,0.01,0.9779171566705867,"[2304, 5252, 7173, 2185, 4106, 4875, 5516, 5775, 7312, 6416, 402, 3987, 6676, 3989, 279, 25, 6938, 4507, 924, 7322, 5534, 1442, 4942, 3111, 4273, 3633, 2102, 4535, 3256, 1081, 954, 568]"
0.99,0.0,0.9956879655037241,"[1109, 1448]"
0.93,0.0,0.9956879655037241,"[6784, 1026, 6914, 4355, 1669, 3874, 4701, 7327]"
0.97,0.0,0.9988239905919247,"[5348, 5864, 7380, 3545]"
1.0,0.01,0.9771331503985365,[128]
