n_nodes,influence,obj,nodes
0.08,0.26,0.7097002548593586,"[1145, 326, 237, 118, 3097, 391, 168, 99, 101, 165, 818, 148, 90, 546, 225, 4411, 141, 620, 1220, 396, 3236, 530, 215, 398, 74, 415, 239, 1712, 1510, 619, 65, 257, 246, 172, 245, 1622, 154, 115, 2042, 669, 3463, 426, 1747, 847, 1275, 1002, 579, 138, 189, 1608, 1929, 2001, 365, 841, 1270, 753, 1330, 623, 759, 869, 263, 2130, 2469, 128, 2584, 2289, 802, 107, 1593, 157, 2583, 736, 137, 170, 714, 643, 1001, 1954, 288, 3, 1806, 43, 1551, 166, 1269, 1022, 1544, 632, 1554, 281, 710, 371, 1653]"
0.63,0.14,0.6385555726557295,"[398, 1747, 239, 1551, 1100, 650, 391, 138, 1001, 308, 714, 137, 101, 145, 1270, 165, 1712, 346, 623, 296, 669, 115, 369, 2194, 157, 753, 263, 245, 65, 45, 2289, 1332, 1269, 1275, 2469, 152, 632, 449]"
0.63,0.16,0.611332605407204,"[623, 2042, 984, 2583, 128, 706, 753, 905, 650, 1330, 239, 1954, 365, 638, 1653, 847, 237, 170, 281, 669, 3467, 1654, 349, 369, 1275, 215, 378, 43, 147, 546, 864, 654, 308, 2270, 690, 139, 99, 2741]"
0.76,0.1,0.5540318049387651,"[1654, 638, 90, 669, 189, 1544, 736, 239, 1712, 654, 281, 1330, 1622, 1653, 1554, 710, 841, 608, 426, 3463, 278, 107, 852, 398, 511]"
0.17,0.25,0.6978083456226629,"[638, 184, 166, 101, 1167, 1747, 841, 136, 2977, 1323, 449, 3, 1503, 669, 650, 65, 903, 90, 398, 147, 337, 1654, 977, 1305, 246, 349, 643, 99, 380, 2741, 1001, 1554, 248, 847, 1269, 818, 391, 165, 45, 1712, 2130, 225, 945, 365, 654, 1510, 257, 623, 189, 495, 98, 215, 239, 2042, 141, 1022, 128, 3467, 168, 139, 190, 2194, 802, 1653, 546, 148, 360, 427, 3463, 170, 281, 1551, 145, 2583, 344, 690, 852, 1939, 118, 1544, 206, 905, 74, 1145]"
0.04,0.26,0.7134697942248787,"[2277, 145, 1001, 564, 378, 245, 326, 984, 546, 555, 172, 669, 147, 401, 736, 579, 638, 623, 157, 2469, 852, 945, 2289, 380, 246, 225, 239, 215, 257, 154, 426, 230, 349, 847, 248, 1608, 1330, 278, 1544, 138, 101, 3467, 65, 24, 1622, 3, 818, 632, 170, 189, 2584, 392, 171, 415, 1145, 288, 107, 1323, 115, 98, 43, 3463, 449, 1220, 690, 2741, 369, 371, 905, 31, 391, 1270, 710, 566, 2042, 427, 1167, 395, 128, 398, 168, 90, 337, 141, 643, 1305, 1418, 1929, 363, 977, 1939, 495, 2001, 137, 2130, 1712, 3097]"
0.75,0.11,0.5675914655274445,"[1593, 669, 753, 170, 152, 401, 1608, 326, 378, 374, 1418, 128, 1551, 43, 852, 1002, 415, 945, 237, 139, 346, 225, 888, 623, 759, 2977]"
0.9,0.04,0.4561864328953402,"[903, 295, 495, 984, 1167, 1654, 869, 710, 172, 643, 152]"
0.65,0.15,0.6179451875893021,"[690, 152, 45, 2277, 1551, 245, 98, 1270, 1001, 145, 1275, 1332, 608, 225, 99, 107, 396, 864, 669, 172, 1220, 115, 643, 166, 24, 170, 1269, 215, 43, 495, 363, 638, 623, 898, 2042, 346]"
0.35,0.21,0.6802209510162973,"[215, 392, 847, 90, 753, 99, 1653, 168, 1330, 74, 495, 230, 1145, 1022, 139, 107, 905, 395, 365, 344, 360, 638, 371, 145, 511, 3463, 1220, 931, 2042, 401, 346, 1275, 136, 1167, 154, 690, 564, 1269, 115, 818, 1544, 65, 852, 246, 984, 3097, 3, 380, 546, 3229, 2130, 98, 157, 391, 1418, 1323, 623, 2001, 1510, 1654, 669, 225, 903, 869, 2194, 166]"
