seed_set,spread,seed,communities,fairness,budget,time
"[2977, 2277, 1593, 1503, 753, 710, 654, 564, 530, 398, 396, 391, 346, 260, 215, 154, 141, 139, 128, 101, 99, 98, 90]",0.09301416579223505,0.78,0.5428968023718396,0.40940590452957093,0.7577420619364955,0.0
"[3463, 3236, 2977, 2289, 2270, 2130, 1929, 1747, 1551, 1510, 1418, 1305, 1275, 1270, 1269, 1167, 1100, 1022, 1002, 1001, 903, 864, 818, 802, 735, 714, 669, 555, 546, 495, 428, 415, 398, 349, 337, 326, 308, 257, 239, 225, 190, 172, 170, 168, 166, 157, 152, 145, 141, 107, 90, 65]",0.1689323189926548,0.49,0.6734858977426863,0.5299433742773442,0.5250228668496015,0.0
"[3463, 2270, 2130, 2001, 1554, 1551, 1544, 1510, 1418, 1269, 1145, 1017, 1001, 905, 898, 818, 802, 669, 643, 632, 620, 566, 564, 555, 546, 449, 401, 398, 396, 380, 369, 365, 363, 308, 296, 288, 263, 248, 225, 215, 189, 171, 170, 157, 152, 145, 141, 138, 128, 118, 115, 101, 99, 90, 65, 43]",0.18983604407135363,0.45,0.6618825142867529,0.48426032463021074,0.4655690578857964,0.0
"[1554, 1418, 736, 398, 246, 237, 190, 184, 147, 107]",0.037505246589716684,0.91,0.45937022387965876,0.3290790057070426,0.9189860185548151,0.0
"[3467, 2977, 2741, 2584, 2469, 2270, 2151, 2130, 2042, 2001, 1929, 1806, 1747, 1712, 1622, 1608, 1554, 1551, 1544, 1332, 1275, 1269, 1167, 1017, 1002, 1001, 984, 977, 905, 898, 864, 852, 847, 841, 818, 759, 753, 735, 701, 690, 669, 654, 643, 638, 623, 620, 579, 566, 555, 546, 511, 449, 427, 415, 401, 398, 396, 392, 391, 371, 363, 349, 344, 326, 295, 288, 281, 263, 257, 246, 245, 239, 237, 230, 225, 215, 206, 189, 172, 170, 166, 154, 152, 148, 145, 141, 139, 138, 137, 136, 128, 118, 115, 101, 99, 98, 90, 65, 43, 3]",0.27374344176285414,0.01,0.7111463561852691,0.5431888991618792,0.09564876519012155,0.0
"[2741, 365, 170, 141]",0.023204354669464848,0.97,0.3722193721667294,0.284182820944072,0.9443355546844374,0.0
"[2289, 2270, 2151, 1929, 669, 401, 349, 189, 171, 65]",0.049474029380902416,0.91,0.44152214544109547,0.3357314305248881,0.8993858617535607,0.0
"[3467, 2130, 1939, 1653, 1622, 1593, 1167, 818, 706, 643, 623, 579, 511, 449, 349, 263, 215, 168, 157, 148, 147, 128, 118, 90]",0.09223242392444911,0.77,0.5700801970857022,0.42173906635801683,0.7841369397621848,0.0
"[1747, 1622, 1593, 530, 415, 365, 237, 190, 170, 115, 65]",0.051097848898216155,0.9,0.4926213853939093,0.36424616230118334,0.8783483601202143,0.0
"[1510, 1145, 977, 945, 903, 735, 690, 623, 546, 392, 288, 257, 147, 141, 128]",0.07352046169989507,0.86,0.5576391551816005,0.4427112648044419,0.8524761531425584,0.0
"[7486, 7188, 7104, 6942, 6785, 6576, 6205, 6155, 6079, 6015, 5924, 5772, 5504, 5468, 5444, 5398, 4875, 4702, 4628, 4192, 3885, 3771, 3761, 3692, 3411, 3361, 3360, 3341, 3331, 3243, 3229, 3100, 2911, 2877, 2796, 2792, 2786, 2676, 2385, 2358, 2343, 2093, 2034, 2010, 1541, 1366, 1329, 1251, 1241, 1225, 1174, 1169, 1093, 762, 661, 636, 610, 537, 321, 121]",0.03931007345225603,0.41,0.5129181081554604,0.5696152949295201,0.9283940938194172,0.19999999999999996
"[7431, 7345, 7221, 7195, 7118, 7081, 6958, 6941, 6933, 6864, 6627, 6508, 6472, 6432, 6397, 6158, 6083, 6080, 6013, 5949, 5891, 5722, 5407, 5303, 5040, 4844, 4780, 4744, 4674, 4633, 4618, 4431, 4353, 4303, 4226, 4165, 4039, 3944, 3824, 3802, 3729, 3257, 3190, 3066, 2978, 2565, 2326, 2129, 2126, 1741, 1580, 1563, 1441, 1386, 1324, 1319, 1116, 1097, 958, 269, 207, 206, 195, 55]",0.031243441762854145,0.37,0.5012979221853673,0.5816908208201148,0.9517836142689141,0.19999999999999996
"[7559, 7498, 7469, 7386, 7371, 7337, 7117, 7059, 6910, 6841, 6759, 6655, 6494, 6405, 6318, 6311, 6156, 6121, 6044, 6014, 5944, 5867, 5663, 5359, 5216, 5123, 5088, 5082, 4962, 4460, 4404, 4348, 4315, 4254, 4250, 3973, 3969, 3749, 3722, 3643, 3558, 3534, 3422, 3417, 3338, 3229, 3018, 3013, 2898, 2824, 2759, 2737, 2732, 2622, 2601, 2546, 2545, 2537, 2462, 2302, 1931, 1928, 1881, 1758, 1723, 1706, 1442, 1403, 1339, 1318, 1297, 1279, 1277, 1190, 1152, 997, 964, 845, 806, 735, 537, 499, 323, 141, 117]",0.05046694648478489,0.16,0.5466313362729092,0.6305323563364142,0.9116686266823468,0.0
"[4073, 3286, 2379, 1970, 1937, 1281, 1111, 1059, 917]",0.0055207240293809025,0.92,0.29830939453227245,0.30998839083605245,0.9911145955834313,0.19999999999999996
"[7233, 6602, 5960, 5315, 5005, 4898, 4735, 4701, 4402, 3253, 3044, 2907, 2738, 2642, 1298, 741, 622, 451, 435]",0.006117523609653725,0.82,0.31595449502156026,0.450223259772528,0.9922906049915066,0.19999999999999996
"[7597, 7376, 7314, 7186, 6944, 6526, 6102, 6033, 5882, 5576, 5065, 4787, 4601, 4335, 3950, 3144, 2773, 2444, 2128, 1806, 1789, 1483, 1295, 1212, 1046, 956, 529, 463, 390, 377]",0.017922350472193073,0.71,0.3956333551525276,0.5054170418734533,0.9689010845420096,0.19999999999999996
"[7599, 7206, 7151, 6946, 6669, 6547, 6008, 5857, 5819, 5757, 5621, 5525, 5499, 4400, 4170, 3965, 3853, 3504, 3462, 2901, 2749, 2407, 2161, 2121, 2041, 2004, 1538, 1504, 1454, 1408, 1386, 1337, 1124, 1095, 868, 838, 512, 353, 120]",0.024968520461699898,0.62,0.4494612456823811,0.5627245847577518,0.9550503070691232,0.19999999999999996
"[7460, 7433, 7373, 7347, 7343, 7327, 7293, 7212, 7133, 6763, 6744, 6726, 6397, 6333, 6240, 5957, 5896, 5738, 5549, 5538, 5345, 5328, 5321, 5306, 5123, 4907, 4891, 4879, 4873, 4831, 4822, 4590, 4561, 4519, 4362, 4276, 4196, 4097, 3953, 3674, 3549, 3536, 3531, 3420, 3400, 3398, 3397, 3305, 3278, 3271, 3243, 3022, 2852, 2816, 2734, 2615, 2609, 2424, 2146, 2116, 2017, 2009, 1960, 1947, 1836, 1772, 1760, 1697, 1599, 1568, 1564, 1536, 1320, 1288, 1271, 958, 841, 543, 454, 395, 333, 133]",0.044655036726128014,0.19,0.5577251691207101,0.6487092519493631,0.9238207238991245,0.0
"[7528, 7455, 4619, 2581, 112]",0.0017982686253934944,0.96,0.21170241456344163,0.2495124514601359,0.9972559780478244,0.6
