seed_set,spread,seed,communities,fairness,budget,time
"[2977, 2741, 2584, 2469, 2289, 2042, 2001, 1971, 1622, 1608, 1551, 1503, 1496, 1418, 1332, 1305, 1275, 1269, 1167, 1145, 1100, 1022, 977, 945, 931, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 650, 643, 638, 623, 579, 546, 530, 511, 495, 428, 427, 401, 398, 396, 395, 392, 380, 374, 365, 349, 346, 344, 326, 295, 288, 278, 263, 246, 239, 230, 225, 215, 190, 189, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 136, 128, 115, 107, 99, 90, 74, 65, 45, 43, 24, 3]",2072.28,96.0,0.27724999557318775,0.4626869212743866,6490.0,0.0
[65],77.42,1.0,0.7170189057819125,0.8325546111576977,119.00000000000016,0.9999999999999998
"[2977, 2741, 2584, 2469, 2289, 2042, 2001, 1971, 1622, 1608, 1551, 1503, 1496, 1332, 1330, 1305, 1275, 1269, 1167, 1145, 1100, 1022, 977, 945, 931, 905, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 648, 643, 638, 623, 579, 546, 530, 511, 495, 428, 427, 401, 398, 396, 395, 392, 380, 374, 371, 365, 346, 344, 326, 295, 288, 278, 263, 257, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43, 24, 3]",2046.3500000000001,95.0,0.2685617633517031,0.44122975651356233,6378.0,0.0
"[170, 128]",178.69,2.000000000000001,0.6485640955865952,0.7877081905607556,390.9999999999998,0.9999999999999998
"[4325, 2977, 2741, 2584, 2469, 2289, 2001, 1971, 1622, 1608, 1551, 1544, 1503, 1496, 1332, 1330, 1305, 1275, 1269, 1167, 1145, 1100, 977, 945, 931, 905, 903, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 648, 643, 638, 623, 579, 546, 530, 511, 428, 427, 401, 398, 396, 395, 392, 380, 374, 371, 365, 349, 344, 326, 295, 288, 278, 263, 257, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43, 24]",2026.21,94.0,0.2651433213706791,0.43747100883453216,6350.0,0.0
"[4325, 2977, 2777, 2741, 2469, 2289, 2194, 2001, 1971, 1929, 1622, 1608, 1544, 1503, 1496, 1332, 1330, 1305, 1275, 1269, 1167, 1145, 1100, 977, 945, 931, 905, 903, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 650, 648, 638, 623, 579, 530, 511, 428, 427, 401, 398, 396, 395, 392, 391, 380, 374, 371, 365, 349, 344, 326, 295, 288, 278, 263, 257, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43]",2017.6299999999999,94.0,0.25950924882688364,0.41467959513250385,6258.0,0.0
"[4325, 2977, 2741, 2469, 2289, 2001, 1971, 1622, 1608, 1551, 1503, 1496, 1332, 1330, 1305, 1275, 1269, 1167, 1145, 1100, 977, 945, 931, 905, 903, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 648, 643, 638, 623, 579, 547, 546, 530, 516, 511, 428, 427, 401, 398, 396, 395, 392, 380, 374, 371, 365, 349, 344, 326, 295, 288, 278, 263, 257, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 166, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43, 24]",2032.7899999999997,95.0,0.26310845750114376,0.43763956787788083,6425.0,0.0
[128],87.89,1.0,0.7234842794416089,0.8325546111576977,174.99999999999983,0.9999999999999998
"[5465, 4325, 2977, 2741, 2584, 2469, 2289, 2194, 2001, 1971, 1929, 1622, 1608, 1544, 1503, 1496, 1332, 1305, 1275, 1269, 1167, 1145, 1100, 977, 945, 931, 905, 869, 847, 841, 818, 802, 759, 735, 706, 690, 669, 654, 650, 648, 638, 623, 579, 546, 530, 511, 428, 427, 401, 398, 396, 395, 392, 391, 380, 374, 371, 365, 349, 344, 326, 295, 288, 278, 263, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43, 24]",2012.4099999999999,94.0,0.2569407163939328,0.41414633693009695,6220.0,0.0
"[2977, 2741, 2584, 2469, 2289, 2042, 2001, 1971, 1622, 1608, 1544, 1503, 1496, 1332, 1330, 1305, 1275, 1269, 1167, 1145, 1100, 1022, 977, 945, 931, 905, 903, 869, 847, 841, 818, 802, 759, 735, 706, 690, 675, 669, 654, 648, 643, 638, 623, 579, 555, 546, 530, 511, 495, 428, 427, 398, 396, 395, 392, 380, 374, 371, 365, 349, 344, 326, 295, 288, 278, 263, 257, 246, 239, 230, 225, 215, 190, 184, 172, 171, 170, 168, 165, 157, 152, 148, 147, 145, 141, 139, 138, 128, 115, 99, 90, 74, 65, 45, 43, 24]",2068.1,96.0,0.26602136173618574,0.434723930414056,6406.0,0.0
