n_nodes,influence,obj,nodes
0.19,0.25,0.5559667123349671,"[1653, 638, 2194, 619, 392, 735, 3467, 1747, 1145, 107, 643, 398, 669, 1332, 170, 898, 128, 171, 1269, 278, 1305, 115, 141, 847, 90, 579, 1929, 530, 818, 65, 706, 650, 608, 349, 337, 2977, 98, 45, 2469, 166, 145, 215, 1323, 2130, 74, 395, 139, 257, 237, 841, 365, 184, 555, 99, 148, 3236, 239, 391, 1100, 1554, 2001, 190, 888, 2584, 136, 903, 1551, 374, 288, 714, 495, 206, 547, 427, 701, 623, 346, 380, 1593, 263, 710, 31]"
0.12,0.25,0.5242677641645763,"[136, 107, 128, 1002, 391, 1939, 398, 101, 395, 1001, 1332, 90, 170, 546, 147, 1608, 2151, 296, 415, 638, 257, 623, 172, 278, 427, 710, 632, 237, 215, 139, 1275, 137, 1022, 239, 308, 1145, 852, 1167, 619, 1653, 141, 841, 145, 1100, 369, 869, 931, 847, 206, 1554, 230, 579, 864, 225, 736, 326, 165, 1551, 654, 349, 690, 43, 138, 396, 3236, 608, 99, 1418, 1510, 1503, 669, 1017, 189, 1270, 1712, 1330, 371, 714, 802, 2270, 118, 1806, 564, 365, 495, 31, 190, 903, 945]"
0.24,0.24,0.5860775499988125,"[128, 257, 643, 903, 905, 650, 395, 3467, 139, 398, 1551, 1806, 401, 147, 148, 1022, 2583, 152, 154, 669, 415, 166, 296, 170, 427, 428, 172, 1323, 171, 945, 690, 818, 308, 564, 1593, 4411, 701, 65, 326, 1608, 714, 74, 206, 2130, 1622, 346, 349, 2270, 1503, 736, 225, 98, 99, 869, 1001, 1002, 363, 759, 365, 237, 239, 495, 753, 2289, 107, 623, 620, 246, 374, 1269, 1145, 2042, 1275, 380, 1017, 638, 6662]"
0.19,0.24,0.5609022642601891,"[128, 257, 903, 905, 650, 395, 3467, 139, 398, 1551, 1806, 401, 147, 148, 392, 735, 1747, 669, 1145, 107, 643, 1332, 898, 170, 427, 1269, 278, 1323, 171, 1305, 818, 115, 141, 166, 847, 90, 579, 1929, 530, 65, 706, 608, 349, 337, 2977, 98, 3121, 2469, 145, 215, 2130, 74, 237, 841, 365, 184, 555, 99, 3236, 239, 391, 1100, 1554, 2001, 190, 888, 2584, 136, 374, 288, 714, 495, 206, 547, 701, 623, 346, 380, 1593, 263, 710, 31]"
0.25,0.24,0.556091278372295,"[128, 257, 898, 643, 391, 392, 1929, 650, 3467, 395, 141, 398, 136, 903, 145, 2194, 530, 148, 1554, 278, 1551, 2584, 1305, 669, 288, 2977, 3236, 2469, 166, 170, 171, 427, 45, 555, 1323, 818, 1332, 184, 1593, 139, 190, 65, 706, 579, 841, 74, 714, 1100, 206, 847, 337, 2130, 1747, 2001, 215, 90, 349, 735, 608, 98, 99, 619, 107, 237, 365, 623, 239, 495, 115, 1653, 1269, 374, 888, 1145, 638, 4303]"
0.07,0.27,0.538653489734775,"[128, 1929, 139, 396, 654, 398, 147, 24, 669, 415, 546, 165, 166, 2741, 170, 818, 706, 65, 326, 2469, 1608, 714, 2001, 852, 1622, 215, 344, 90, 864, 225, 99, 869, 2277, 107, 239, 623, 371, 1270, 2042, 1275, 511, 43, 449, 638, 101, 1305, 248, 141, 1510, 360, 2583, 281, 115, 392, 349, 643, 172, 2151, 847, 1747, 736, 118, 260, 888, 308, 74, 263, 1654, 547, 1653, 31, 2270, 1330, 374, 495, 2605, 1418, 555, 608, 137, 1167, 157, 190, 802, 2194, 171, 426, 945, 184, 3229, 257, 136, 288, 1593]"
0.48,0.19,0.5630233250535901,"[1145, 1622, 257, 1096, 2194, 1954, 905, 396, 1269, 1551, 841, 1167, 2469, 24, 530, 802, 157, 2042, 632, 428, 669, 43, 145, 1017, 171, 2130, 555, 166, 1929, 115, 346, 170, 735, 608, 3051, 107, 1653, 638, 98, 65, 5190, 128, 643, 398, 847, 1747, 278, 1305, 215, 90, 349, 619, 623]"
0.25,0.24,0.5754005325811659,"[128, 141, 654, 1167, 239, 643, 391, 392, 623, 1929, 650, 3467, 395, 398, 136, 903, 145, 2194, 530, 148, 1554, 278, 1551, 2584, 1305, 669, 288, 2977, 3236, 2469, 166, 170, 171, 427, 45, 555, 1323, 818, 1332, 184, 1593, 139, 190, 65, 706, 579, 841, 74, 714, 1100, 206, 847, 337, 2130, 1747, 2001, 215, 90, 349, 735, 608, 98, 99, 619, 107, 237, 365, 495, 115, 1653, 1269, 466, 888, 1145, 638, 4303]"
0.46,0.2,0.48404101725512005,"[128, 1929, 139, 396, 141, 654, 398, 2194, 147, 24, 1305, 669, 415, 546, 165, 166, 2469, 170, 43, 818, 308, 2741, 1593, 65, 706, 449, 326, 1608, 714, 2001, 852, 1622, 215, 344, 90, 349, 864, 225, 608, 99, 869, 2277, 101, 107, 239, 623, 371, 1270, 118, 248, 2042, 1275, 638, 511, 530]"
0.25,0.24,0.6044962293752982,"[128, 546, 654, 170, 139, 1167, 398, 623, 530, 239, 643, 391, 392, 1929, 650, 3467, 395, 136, 903, 145, 2194, 148, 1554, 278, 1551, 2584, 1305, 669, 288, 2977, 3236, 2469, 166, 171, 427, 45, 555, 1323, 818, 1332, 184, 1593, 190, 65, 706, 579, 841, 74, 714, 1100, 206, 847, 337, 2130, 1747, 201, 215, 90, 349, 735, 608, 98, 99, 619, 107, 237, 365, 495, 115, 1653, 1269, 466, 888, 1145, 638, 4303]"
1.0,0.01,0.1674453888423023,[128]
0.1,0.26,0.6203678073612731,"[128, 898, 643, 1929, 139, 396, 654, 141, 398, 1167, 530, 669, 1806, 2469, 170, 401, 1939, 147, 3222, 2741, 2584, 65, 706, 24, 326, 3097, 735, 296, 2001, 428, 6317, 215, 281, 90, 564, 189, 864, 225, 1499, 99, 1305, 2277, 101, 107, 623, 239, 546, 157, 802, 166, 638, 248, 360, 2583, 555, 43, 392, 2151, 1510, 495, 736, 115, 365, 118, 260, 172, 1747, 847, 1330, 184, 888, 349, 308, 74, 263, 1654, 547, 3562, 2270, 1653, 374, 2605, 1418, 137, 190, 426, 945, 3229, 608, 2194, 3859]"
