seed_set,spread,seed,communities,fairness,budget,time
"[7460, 6897, 6023, 5876, 5439, 4257, 3539, 3215, 2296, 1142, 1123, 470]",43.97,11.999999999999998,0.6778248566806323,0.6284182093664049,62.99999999999964,2.0
"[7472, 7386, 7367, 7198, 7186, 7091, 7022, 6901, 6897, 6844, 6818, 6582, 6359, 6286, 6285, 6279, 6256, 6158, 5974, 5967, 5899, 5645, 5634, 5612, 5598, 5596, 5578, 5539, 5472, 5442, 5367, 5253, 5198, 5180, 5022, 4884, 4782, 4674, 4583, 4581, 4569, 4568, 4521, 4518, 4382, 4311, 4275, 4029, 3907, 3791, 3769, 3762, 3535, 3444, 3357, 3311, 3208, 3021, 3020, 2980, 2975, 2971, 2945, 2850, 2847, 2742, 2734, 2629, 2583, 2573, 2555, 2396, 2321, 2157, 1942, 1702, 1442, 1381, 1333, 1307, 1174, 1096, 898, 860, 852, 737, 652, 494, 467, 243, 232, 8]",390.75,92.0,0.43317050909865884,0.3650050550599182,638.9999999999998,0.9999999999999998
"[669, 128, 65]",269.12,3.0000000000000018,0.6072090983996923,0.750356859168496,468.0000000000002,0.0
"[1448, 669, 215, 166, 139, 65]",343.43,6.000000000000004,0.5394319336420934,0.715285741233546,659.0000000000001,0.9999999999999998
"[3467, 3229, 2977, 2741, 2339, 2270, 2194, 2151, 2130, 1939, 1654, 1653, 1622, 1606, 1593, 1554, 1551, 1471, 1418, 1330, 1323, 1305, 1275, 1270, 1269, 1167, 1145, 1100, 1047, 1017, 984, 977, 945, 931, 905, 898, 888, 847, 780, 759, 735, 714, 710, 690, 669, 654, 643, 638, 623, 620, 619, 579, 555, 546, 530, 495, 449, 427, 415, 401, 398, 392, 380, 378, 371, 365, 349, 346, 326, 278, 263, 257, 248, 245, 239, 225, 215, 189, 172, 170, 168, 166, 148, 147, 145, 139, 138, 137, 128, 115, 107, 101, 99, 90, 74, 65, 43]",2123.83,97.0,0.27384566822889644,0.47560882817475003,6622.0,0.0
[1962],3.9800000000000004,1.0,0.9288801198186395,0.8325546111576977,4.000000000000219,5.0
"[5608, 4694]",6.53,2.000000000000001,0.9442060059571544,0.7876772053860953,9.00000000000007,5.0
"[669, 623, 257, 215, 170, 128, 90, 65]",549.76,7.999999999999995,0.5381844966642345,0.6852409293359761,1116.0,0.0
"[1654, 1554, 1551, 1269, 1167, 1145, 690, 669, 654, 638, 623, 579, 555, 398, 278, 257, 239, 215, 170, 166, 147, 141, 139, 128, 99, 90, 74, 65, 43]",1241.4,29.000000000000004,0.3575679913841774,0.5425022898742992,2933.0,0.0
[1613],15.1,1.0,0.8160767159184448,0.8325546111576977,22.00000000000036,2.0
"[669, 128]",194.7,2.000000000000001,0.671487106080336,0.7876772053860953,349.00000000000006,0.9999999999999998
"[1145, 669, 128, 65]",300.48,4.000000000000003,0.5507185037396493,0.7334218275511897,523.9999999999999,0.9999999999999998
"[2741, 1854]",35.29,2.000000000000001,0.769755173111474,0.7892329877550504,66.99999999999986,2.0
"[3819, 1613]",18.44,2.000000000000001,0.7728001144202736,0.7940558033915424,25.999999999999726,3.0
[4529],8.22,1.0,0.8807136452685165,0.8325546111576977,11.99999999999981,4.0
"[7460, 6897, 4257, 3720, 3539, 3215, 1123, 868]",37.17,7.999999999999995,0.6981657356062797,0.7037808374592276,54.00000000000041,2.0
"[669, 623, 398, 166, 139, 128, 99, 90, 65]",621.77,8.999999999999996,0.483563866845084,0.6510994389349315,1222.0,0.0
"[7460, 4257, 868]",21.1,3.0000000000000018,0.7536981136209971,0.7836166630102122,23.99999999999962,3.0
"[1253, 669, 643, 638, 623, 398, 257, 215, 170, 166, 141, 139, 128, 99, 65, 43]",891.59,16.0,0.42208020419838244,0.5962764226055395,1954.9999999999998,0.0
"[1544, 623, 377, 257, 128, 90, 65]",369.66,7.000000000000005,0.5658234646005166,0.6854722734904534,707.0000000000001,0.9999999999999998
"[1654, 1554, 1551, 1167, 1145, 1017, 945, 710, 690, 669, 654, 638, 623, 579, 555, 530, 398, 392, 349, 326, 215, 170, 166, 157, 147, 145, 141, 139, 138, 128, 99, 90, 74, 65, 43]",1354.11,35.0,0.3447289407644072,0.5367424699553456,3351.0,0.0
"[1554, 1551, 1167, 1145, 690, 669, 654, 638, 623, 579, 555, 398, 278, 257, 239, 215, 170, 166, 147, 141, 139, 128, 99, 90, 74, 65, 43]",1203.56,27.0,0.3563058974624156,0.540587117440201,2784.0,0.0
[2741],27.01,1.0,0.7999241412637376,0.8325546111576977,50.99999999999983,2.0
"[7599, 3467, 3229, 2741, 2469, 2270, 2194, 2151, 2130, 2042, 1710, 1654, 1653, 1622, 1606, 1593, 1554, 1551, 1510, 1323, 1305, 1275, 1270, 1269, 1167, 1145, 1100, 1047, 945, 898, 888, 759, 735, 714, 710, 690, 669, 654, 643, 638, 623, 620, 619, 579, 555, 546, 530, 415, 401, 398, 365, 349, 346, 326, 278, 257, 245, 239, 225, 215, 170, 166, 148, 145, 139, 138, 137, 128, 115, 107, 101, 99, 90, 74, 65, 43]",1933.23,76.0,0.28066202132542917,0.47416029414834027,5582.0,0.0
"[669, 546, 128]",228.39,3.0000000000000018,0.6642498486206547,0.7889027464131563,443.0000000000001,0.9999999999999998
"[7037, 5292, 4257, 868]",22.36,4.000000000000003,0.7483815263435437,0.7660884722392233,27.000000000000206,3.0
"[2711, 669, 623, 398, 166, 128, 65]",481.88,7.000000000000005,0.5258273499359063,0.6567739701618294,852.0,0.0
[669],103.8,1.0,0.7669822262748999,0.8325546111576977,174.0000000000002,0.9999999999999998
"[1932, 1253, 1145, 690, 669, 638, 623, 579, 555, 546, 398, 257, 239, 215, 170, 166, 141, 139, 128, 99, 90, 74, 65, 43]",1104.83,24.0,0.3724166826379016,0.5433706174590364,2485.0,0.0
"[3467, 2741, 2469, 2270, 2151, 2130, 1622, 1608, 1554, 1551, 1544, 1269, 1167, 1145, 1100, 945, 735, 710, 690, 669, 654, 650, 643, 638, 623, 579, 555, 546, 530, 415, 398, 349, 346, 326, 288, 278, 263, 257, 239, 225, 215, 189, 170, 166, 165, 157, 145, 141, 139, 138, 137, 128, 111, 107, 99, 90, 74, 65, 43]",1733.37,59.00000000000001,0.2912473149871049,0.4882439382953523,4755.0,0.0
"[1551, 669, 638, 623, 511, 215, 170, 166, 128, 99, 90, 65]",737.14,11.999999999999998,0.4544793992732623,0.6290946095422105,1608.0,0.0
