n_nodes,influence,nodes
1,86.31,[128]
7,555.97,"[128, 257, 99, 170, 623, 215, 90, 669]"
2,186.58,"[128, 669]"
5,421.58,"[128, 99, 170, 623, 669]"
3,252.8,"[128, 669, 638]"
56,1711.02,"[128, 257, 643, 903, 1544, 137, 139, 654, 1551, 398, 145, 530, 1554, 1167, 401, 24, 6553, 152, 669, 546, 166, 170, 555, 43, 45, 428, 690, 818, 1332, 2741, 1593, 189, 65, 326, 206, 2130, 1622, 215, 344, 90, 349, 225, 99, 101, 1510, 363, 365, 623, 239, 495, 115, 1145, 2042, 1275, 638, 83]"
19,1021.04,"[128, 139, 398, 1551, 145, 401, 1554, 669, 546, 166, 170, 690, 65, 215, 90, 99, 619, 623, 1145, 638]"
4,357.79,"[128, 170, 623, 669]"
31,1298.54,"[128, 257, 643, 1544, 137, 139, 141, 398, 654, 1167, 401, 1554, 530, 24, 669, 546, 166, 170, 555, 43, 945, 690, 65, 1622, 215, 99, 623, 1145, 2042, 1275, 638]"
94,2103.9,"[1544, 1551, 530, 1554, 24, 546, 555, 43, 45, 1593, 65, 2130, 1622, 90, 99, 101, 623, 1145, 638, 128, 643, 137, 139, 141, 654, 1167, 145, 2194, 148, 152, 154, 3229, 669, 3236, 165, 166, 170, 171, 172, 1712, 690, 2741, 189, 714, 206, 215, 225, 237, 239, 245, 246, 759, 248, 1275, 257, 260, 263, 1806, 281, 288, 818, 1332, 308, 326, 841, 847, 337, 344, 349, 363, 365, 369, 391, 903, 392, 905, 3467, 3463, 398, 401, 1954, 2469, 427, 428, 945, 449, 977, 984, 1510, 495, 1017, 2042, 1022, 6995]"
6,436.53,"[128, 99, 101, 170, 623, 669]"
29,1251.12,"[128, 857, 643, 1544, 137, 139, 141, 398, 145, 1551, 1167, 401, 1554, 654, 669, 546, 166, 170, 945, 690, 65, 1622, 215, 90, 99, 623, 1145, 2042, 638]"
26,1173.31,"[128, 257, 643, 1544, 139, 398, 1551, 1167, 1554, 530, 669, 546, 166, 170, 555, 43, 690, 65, 2130, 1622, 215, 90, 99, 623, 1145, 638]"
95,2105.66,"[128, 257, 643, 1544, 137, 139, 141, 398, 1551, 654, 145, 401, 1554, 1167, 152, 669, 546, 166, 170, 171, 43, 45, 945, 690, 1593, 449, 65, 579, 2130, 1622, 215, 344, 90, 349, 225, 99, 101, 1510, 555, 365, 623, 495, 138, 2194, 1145, 2042, 638, 148, 154, 3229, 3236, 165, 172, 1712, 2741, 189, 714, 206, 237, 6640, 239, 245, 246, 759, 248, 1275, 263, 1806, 281, 288, 818, 1332, 308, 326, 841, 847, 337, 6995, 363, 369, 3463, 391, 905, 392, 3467, 903, 1954, 2469, 427, 428, 977, 984, 1017, 1022, 3797]"
8,639.95,"[128, 257, 99, 170, 623, 638, 90, 669, 65]"
73,1907.91,"[1544, 1551, 530, 24, 1554, 546, 555, 43, 45, 1593, 65, 2139, 1622, 90, 99, 101, 623, 1145, 638, 2194, 148, 1330, 118, 5202, 128, 643, 263, 137, 3463, 139, 392, 141, 1806, 1167, 654, 145, 398, 401, 152, 3229, 669, 288, 166, 170, 171, 428, 1712, 945, 690, 1332, 239, 245, 246, 2741, 1275, 248, 225, 215, 714, 189, 308, 326, 841, 905, 847, 337, 344, 349, 1510, 363, 365, 495, 2042]"
14,840.82,"[128, 257, 65, 99, 166, 170, 139, 398, 623, 945, 1457, 90, 669, 638]"
18,978.92,"[128, 257, 99, 170, 623, 215, 90, 669, 141, 139, 945, 1622, 1145, 65, 166, 398, 638, 690]"
77,1955.44,"[1544, 1551, 1554, 546, 555, 43, 45, 1593, 65, 579, 2130, 1622, 90, 99, 101, 623, 118, 1654, 1145, 638, 128, 643, 137, 139, 654, 1167, 145, 152, 669, 166, 170, 171, 690, 189, 714, 206, 215, 225, 237, 239, 245, 1270, 759, 248, 246, 1275, 257, 260, 263, 1806, 288, 818, 308, 1332, 326, 841, 847, 337, 344, 349, 363, 365, 369, 391, 903, 392, 905, 3467, 398, 401, 428, 945, 449, 1510, 1002, 495, 2042]"
86,2039.94,"[1544, 1551, 530, 1554, 546, 555, 43, 45, 1593, 65, 579, 2130, 1622, 90, 99, 101, 623, 118, 1654, 1145, 638, 128, 643, 137, 138, 139, 654, 1167, 145, 152, 669, 166, 170, 690, 189, 714, 206, 215, 225, 237, 239, 245, 246, 759, 248, 1270, 1275, 257, 260, 263, 1806, 288, 818, 1332, 308, 326, 841, 847, 337, 344, 349, 363, 365, 369, 903, 392, 391, 3463, 3467, 905, 398, 401, 925, 1954, 2469, 428, 945, 449, 977, 984, 1510, 1002, 495, 1017, 2042, 1055]"
80,1991.55,"[1544, 1551, 530, 24, 1593, 546, 555, 43, 45, 1554, 65, 2130, 1622, 90, 99, 101, 623, 1145, 638, 3733, 365, 495, 128, 257, 643, 260, 263, 137, 392, 759, 237, 139, 905, 141, 654, 206, 172, 2194, 3236, 3835, 154, 148, 326, 1167, 145, 1806, 398, 152, 4123, 281, 288, 3229, 669, 239, 245, 1275, 246, 166, 248, 170, 171, 1712, 428, 690, 945, 1332, 2741, 308, 225, 189, 841, 215, 714, 847, 401, 344, 349, 1510, 363, 2042]"
45,1581.83,"[128, 257, 643, 349, 1544, 137, 138, 139, 905, 392, 398, 1551, 654, 1167, 530, 1554, 145, 401, 24, 152, 669, 546, 166, 170, 555, 412, 43, 945, 818, 690, 65, 2130, 1622, 215, 344, 90, 225, 99, 101, 1510, 365, 623, 495, 1145, 2042, 638]"
22,1111.03,"[128, 257, 1544, 139, 398, 1551, 654, 1167, 1554, 530, 669, 546, 166, 170, 690, 65, 1622, 215, 90, 99, 101, 623, 638]"
41,1506.91,"[128, 257, 643, 391, 1544, 137, 139, 141, 398, 654, 1167, 401, 530, 669, 546, 166, 170, 43, 945, 690, 65, 1622, 215, 90, 349, 225, 99, 101, 1510, 1002, 363, 365, 623, 495, 239, 115, 1269, 1145, 2042, 1275, 638]"
55,1699.34,"[128, 257, 643, 1544, 137, 392, 138, 139, 398, 1551, 654, 401, 530, 1554, 145, 1167, 152, 669, 546, 166, 170, 555, 43, 45, 690, 818, 1332, 1593, 189, 65, 579, 326, 714, 206, 2130, 1622, 215, 344, 90, 349, 225, 99, 101, 1510, 363, 365, 623, 239, 495, 118, 1654, 1145, 2042, 1275, 638]"
76,1953.5,"[128, 257, 643, 903, 1544, 137, 138, 139, 392, 141, 905, 1551, 654, 398, 530, 1554, 846, 714, 206, 401, 145, 152, 669, 237, 546, 166, 170, 555, 43, 45, 428, 1270, 945, 690, 818, 1332, 759, 1593, 189, 65, 449, 337, 2130, 1622, 215, 344, 90, 225, 99, 101, 1510, 363, 365, 623, 248, 239, 495, 246, 1145, 2042, 1275, 638, 260, 263, 1806, 288, 308, 326, 841, 847, 349, 369, 391, 3467, 1002, 1167]"
17,953.51,"[128, 257, 65, 643, 99, 166, 170, 139, 398, 623, 690, 1622, 215, 1145, 90, 669, 638]"
