n_nodes,influence,nodes
0.00013116474291710389,0.01,[669]
0.002492130115424974,0.13,"[1551, 1554, 530, 546, 128, 65, 99, 90, 170, 139, 141, 398, 654, 623, 401, 215, 1145, 638, 669]"
0.0018363064008394543,0.11,"[128, 65, 643, 99, 170, 139, 398, 654, 1551, 1167, 401, 623, 669, 638]"
0.00472193074501574,0.18,"[128, 139, 141, 398, 1551, 1167, 145, 1554, 530, 654, 401, 669, 546, 166, 170, 555, 427, 43, 428, 945, 690, 1593, 65, 579, 326, 74, 1100, 1622, 215, 90, 225, 5602, 99, 623, 1145, 638]"
0.001967471143756558,0.11,"[128, 65, 99, 170, 139, 141, 398, 1551, 1167, 654, 530, 623, 378, 669, 638]"
0.00026232948583420777,0.03,"[128, 669]"
0.0005246589716684155,0.05,"[170, 623, 669, 638]"
0.0009181532004197271,0.06,"[128, 138, 398, 623, 654, 669, 638]"
0.003541448058761805,0.15,"[128, 643, 263, 392, 139, 141, 398, 1551, 654, 401, 530, 1554, 145, 1167, 669, 546, 166, 170, 427, 428, 945, 65, 349, 99, 623, 1145, 638]"
0.007214060860440714,0.22,"[128, 257, 564, 263, 392, 1145, 138, 139, 579, 141, 398, 1551, 1167, 74, 654, 530, 6087, 145, 1554, 669, 2277, 546, 1806, 237, 401, 166, 170, 555, 43, 45, 428, 427, 1712, 945, 690, 628, 65, 326, 710, 1100, 337, 1622, 215, 984, 90, 349, 735, 608, 225, 99, 1510, 1001, 623, 239, 638]"
0.00039349422875131166,0.03,"[128, 669, 638]"
0.006820566631689402,0.22,"[128, 263, 392, 138, 139, 141, 398, 1551, 1806, 401, 1554, 530, 145, 654, 669, 546, 166, 170, 555, 1323, 43, 45, 428, 1712, 427, 690, 2741, 1593, 189, 65, 326, 710, 1608, 74, 1100, 847, 1622, 215, 90, 735, 736, 608, 225, 99, 495, 239, 623, 115, 1654, 2042, 638, 1390]"
0.00944386149003148,0.25,"[128, 257, 898, 263, 392, 905, 138, 139, 395, 141, 398, 1551, 1167, 654, 530, 1554, 145, 401, 1806, 669, 2977, 1954, 546, 931, 2469, 166, 170, 555, 43, 45, 428, 427, 1712, 945, 690, 1457, 2741, 1593, 189, 65, 326, 1608, 74, 1100, 847, 337, 1622, 215, 984, 344, 90, 349, 735, 864, 608, 225, 736, 99, 2277, 230, 365, 237, 623, 239, 115, 245, 1270, 248, 1145, 2042, 638, 7555]"
0.008919202518363064,0.24,"[128, 257, 898, 263, 392, 905, 138, 139, 395, 141, 398, 1551, 1167, 654, 530, 1554, 145, 1806, 401, 669, 2977, 546, 1954, 931, 2469, 166, 170, 555, 43, 45, 428, 427, 1712, 945, 690, 2741, 1593, 189, 65, 326, 1608, 74, 1100, 847, 337, 1622, 215, 984, 90, 349, 735, 608, 225, 864, 99, 736, 365, 495, 623, 239, 115, 118, 1270, 248, 1145, 2042, 638, 3033]"
0.007869884575026232,0.23,"[128, 392, 138, 139, 141, 398, 1551, 1167, 654, 1554, 530, 145, 401, 1806, 669, 546, 166, 170, 43, 555, 45, 428, 427, 1712, 945, 690, 564, 2741, 1593, 189, 701, 65, 579, 1093, 710, 326, 74, 847, 1622, 215, 984, 1114, 90, 349, 735, 608, 225, 736, 99, 864, 2277, 230, 237, 365, 623, 239, 495, 115, 1145, 638]"
0.010230849947534103,0.26,"[1551, 530, 1554, 546, 555, 43, 45, 65, 579, 1608, 74, 1100, 1618, 1622, 90, 608, 99, 623, 115, 116, 1654, 118, 1145, 638, 128, 643, 138, 139, 141, 654, 1167, 145, 669, 157, 166, 170, 171, 1712, 690, 2741, 701, 710, 215, 735, 736, 225, 2277, 230, 237, 239, 6385, 1270, 248, 257, 263, 1806, 326, 847, 337, 349, 864, 365, 898, 392, 905, 395, 398, 401, 2977, 1954, 931, 2469, 427, 428, 984, 1510, 495, 2042]"
0.0028856243441762854,0.14,"[128, 257, 1981, 428, 139, 654, 398, 1551, 1167, 401, 669, 166, 170, 427, 945, 65, 215, 349, 99, 623, 1145, 638]"
0.0031479538300104933,0.15,"[128, 65, 643, 99, 170, 139, 141, 398, 530, 654, 623, 2101, 215, 166, 710, 669, 638, 74, 1622, 90, 735, 225, 239, 1270]"
0.002098635886673662,0.11,"[1551, 1554, 378, 128, 65, 99, 170, 139, 101, 654, 1167, 401, 623, 398, 669, 638]"
0.0013116474291710388,0.09,"[128, 65, 99, 392, 170, 139, 654, 623, 215, 669]"
0.004984260230849948,0.18,"[128, 139, 141, 398, 1551, 1167, 555, 145, 1554, 5749, 530, 669, 546, 166, 170, 427, 326, 43, 1100, 690, 428, 65, 579, 401, 74, 654, 1622, 215, 90, 735, 225, 5602, 99, 365, 623, 239, 495, 638]"
0.004590766002098636,0.18,"[128, 257, 263, 392, 138, 139, 141, 398, 1551, 1167, 654, 530, 1554, 145, 401, 669, 546, 166, 170, 43, 365, 428, 945, 690, 171, 65, 579, 1622, 215, 735, 99, 623, 638, 427, 495]"
0.012460650577124869,0.28,"[1551, 530, 1554, 546, 555, 43, 45, 1593, 65, 1608, 74, 1100, 1622, 90, 608, 99, 623, 115, 116, 1654, 118, 1145, 638, 128, 643, 138, 139, 141, 654, 1167, 145, 669, 157, 166, 170, 171, 1712, 690, 2741, 189, 701, 710, 215, 735, 736, 225, 2277, 230, 237, 239, 6385, 1270, 248, 257, 263, 1806, 290, 2341, 1323, 326, 847, 337, 344, 346, 349, 864, 869, 360, 363, 365, 371, 888, 378, 898, 392, 905, 395, 398, 401, 2977, 1954, 931, 2469, 426, 427, 428, 945, 1971, 7096, 984, 1510, 1001, 495, 2042, 7453]"
0.0043284365162644285,0.17,"[128, 392, 139, 398, 1551, 1167, 654, 530, 1554, 1806, 145, 669, 546, 166, 170, 555, 43, 427, 428, 945, 690, 2741, 65, 215, 349, 735, 225, 99, 365, 623, 239, 495, 638]"
0.009181532004197272,0.25,"[128, 263, 392, 138, 139, 141, 398, 2101, 1167, 654, 530, 145, 401, 1554, 1806, 669, 546, 166, 170, 43, 428, 1323, 427, 1712, 945, 690, 2741, 1593, 189, 65, 579, 710, 326, 74, 1100, 337, 1622, 215, 984, 90, 349, 735, 608, 225, 736, 99, 2977, 1510, 1001, 1002, 1954, 365, 931, 623, 495, 2469, 239, 115, 45, 1145, 2042, 638, 555, 864, 1503, 378, 371, 1654, 1270, 248]"
0.007345225603357817,0.22,"[128, 263, 392, 138, 139, 141, 398, 1551, 1806, 401, 1554, 530, 145, 654, 669, 546, 166, 170, 555, 1323, 43, 45, 428, 1712, 427, 690, 2741, 189, 65, 326, 710, 1608, 74, 1100, 847, 1622, 215, 90, 349, 735, 736, 608, 225, 99, 2277, 1510, 1001, 237, 495, 239, 623, 115, 1654, 1145, 2042, 638]"
0.011411332633788037,0.27,"[1551, 530, 1554, 546, 555, 43, 65, 579, 74, 1100, 1622, 90, 608, 99, 623, 115, 116, 118, 1654, 1145, 638, 128, 643, 138, 139, 141, 654, 1167, 145, 669, 166, 170, 171, 1712, 690, 701, 189, 1220, 710, 215, 735, 736, 225, 2277, 230, 237, 239, 1263, 245, 1270, 248, 257, 263, 1806, 1323, 326, 847, 337, 349, 864, 363, 365, 888, 378, 898, 392, 905, 395, 398, 401, 2977, 1954, 931, 2469, 426, 427, 428, 945, 1971, 7096, 984, 1510, 1001, 1002, 495, 6644, 2042]"
0.009575026232948583,0.25,"[128, 643, 263, 392, 138, 139, 141, 398, 1167, 654, 1551, 1806, 530, 1554, 145, 401, 669, 546, 166, 170, 555, 43, 428, 1323, 1712, 945, 690, 2741, 1593, 189, 65, 579, 710, 326, 74, 1100, 337, 1622, 215, 852, 90, 349, 735, 608, 225, 736, 99, 2277, 1510, 1001, 931, 237, 623, 1145, 2469, 638, 2042, 45, 427, 1457, 847, 864, 1608, 344, 365, 230, 239, 115, 245, 1270, 248, 378, 118]"
0.01049317943336831,0.26,"[128, 643, 263, 392, 138, 139, 141, 398, 1167, 1216, 654, 1551, 530, 1554, 145, 401, 669, 546, 166, 170, 1323, 555, 43, 428, 1712, 945, 690, 2741, 1593, 65, 579, 74, 1622, 215, 90, 349, 735, 608, 225, 99, 2277, 365, 237, 239, 495, 623, 115, 638, 118, 1145, 171, 701, 189, 1220, 710, 736, 230, 1270, 248, 257, 326, 847, 337, 864, 371, 378, 898, 905, 395, 2977, 1954, 931, 2469, 427, 984, 1503, 1510, 1001, 1002, 2042]"
0.009050367261280168,0.24,"[128, 898, 263, 392, 905, 138, 139, 395, 141, 3342, 1551, 398, 1167, 530, 1554, 654, 145, 1806, 401, 669, 2977, 546, 547, 1954, 931, 2469, 166, 170, 555, 43, 45, 428, 427, 1712, 945, 690, 2741, 1593, 189, 65, 326, 1608, 74, 1100, 847, 337, 1622, 215, 984, 90, 349, 735, 608, 736, 225, 99, 864, 1002, 365, 623, 239, 495, 115, 118, 1270, 248, 1145, 2042, 638]"
0.003016789087093389,0.14,"[128, 139, 398, 1551, 654, 401, 530, 1554, 669, 546, 166, 170, 427, 428, 945, 65, 215, 349, 99, 623, 1145, 638, 6458]"
0.011542497376705142,0.27,"[1551, 1554, 579, 546, 555, 43, 45, 1593, 65, 530, 1608, 74, 1100, 1618, 1622, 90, 608, 99, 101, 623, 115, 116, 1654, 118, 1145, 638, 643, 157, 184, 1220, 248, 278, 818, 841, 344, 128, 898, 263, 392, 905, 138, 139, 141, 654, 1167, 145, 1806, 398, 401, 669, 2977, 1954, 931, 2469, 171, 1712, 690, 1270, 736, 2277, 230, 239, 237, 225, 735, 215, 2741, 189, 701, 710, 166, 2042, 170, 1323, 427, 428, 378, 945, 257, 847, 337, 984, 864, 365, 349, 1510, 1001, 495]"
0.001049317943336831,0.08,"[128, 65, 99, 139, 170, 623, 215, 669]"
0.012985309548793284,0.28,"[1551, 530, 1554, 546, 555, 43, 45, 1593, 65, 1608, 74, 1100, 1618, 1622, 90, 608, 99, 101, 623, 115, 116, 1654, 118, 1145, 638, 128, 643, 138, 139, 141, 654, 1167, 145, 669, 157, 166, 170, 171, 1712, 690, 2741, 184, 189, 701, 1220, 710, 215, 735, 736, 225, 2277, 230, 237, 239, 1270, 248, 257, 263, 1806, 278, 1323, 818, 326, 841, 847, 337, 344, 3929, 346, 349, 864, 1379, 360, 363, 365, 371, 378, 898, 392, 905, 395, 398, 401, 2977, 1954, 931, 2469, 427, 428, 945, 977, 984, 1510, 1001, 495, 2042, 7165, 511, 183]"
0.008525708289611753,0.24,"[128, 392, 138, 139, 141, 398, 1551, 1167, 654, 1554, 530, 145, 401, 1806, 669, 546, 166, 170, 43, 555, 45, 428, 427, 1712, 945, 690, 564, 2741, 1593, 189, 701, 65, 579, 1093, 710, 326, 74, 847, 1622, 215, 2428, 1114, 90, 349, 735, 608, 225, 736, 99, 864, 2277, 230, 237, 365, 623, 239, 495, 115, 1145, 638, 1503, 1510, 1001, 1002, 2042]"
0.0026232948583420775,0.13,"[128, 139, 141, 398, 1551, 145, 1554, 530, 401, 654, 669, 546, 166, 170, 427, 555, 65, 99, 623, 638]"
0.010624344176285414,0.26,"[1551, 530, 1554, 546, 555, 43, 45, 564, 1593, 65, 579, 1608, 74, 1100, 1622, 90, 608, 99, 623, 115, 116, 1654, 118, 1145, 638, 128, 138, 139, 141, 654, 1167, 145, 669, 166, 170, 171, 1712, 690, 2741, 189, 701, 710, 215, 735, 736, 225, 2277, 230, 237, 239, 257, 1806, 1323, 326, 847, 337, 349, 864, 365, 378, 898, 392, 905, 398, 401, 2977, 1954, 931, 2469, 427, 428, 945, 984, 1503, 1510, 1001, 1002, 495, 6644, 2042, 511]"
0.010886673662119623,0.26,"[1551, 530, 1554, 546, 1111, 43, 45, 564, 1593, 65, 3689, 1608, 74, 1100, 1622, 90, 608, 99, 623, 115, 116, 1654, 118, 1145, 638, 128, 138, 139, 141, 654, 1167, 145, 669, 166, 170, 171, 1712, 690, 2741, 189, 701, 710, 215, 735, 736, 225, 2277, 230, 237, 1270, 245, 257, 1323, 326, 847, 337, 349, 864, 365, 378, 898, 392, 905, 398, 401, 248, 1954, 931, 2469, 427, 428, 945, 984, 1503, 1510, 1001, 1002, 495, 6644, 2042, 263, 511, 1806]"
0.011017838405036727,0.27,"[128, 643, 263, 392, 138, 139, 141, 398, 5115, 1167, 116, 1654, 530, 1554, 654, 401, 669, 546, 166, 170, 1323, 245, 555, 428, 43, 945, 1712, 2741, 1593, 65, 579, 74, 1622, 215, 90, 349, 735, 608, 225, 99, 2277, 690, 237, 239, 495, 145, 115, 638, 1806, 118, 1145, 623, 363, 6644, 511, 257, 898, 905, 2977, 1270, 248, 1954, 931, 2469, 2042, 171, 378, 230, 427, 701, 371, 736, 189, 1220, 710, 326, 847, 864, 337, 984, 1503, 1510, 1001, 1002]"
0.0027544596012591817,0.13,"[128, 139, 398, 1551, 654, 1167, 401, 669, 166, 170, 427, 428, 945, 1981, 65, 215, 349, 99, 623, 1145, 638]"
0.012067156348373556,0.27,"[3072, 3, 1551, 530, 1554, 546, 555, 43, 3629, 45, 1593, 65, 579, 1608, 74, 1100, 1618, 1622, 90, 608, 99, 101, 623, 115, 116, 1654, 1145, 638, 643, 157, 184, 1220, 239, 278, 818, 841, 344, 346, 360, 363, 371, 128, 898, 263, 392, 905, 138, 139, 141, 654, 1167, 6144, 1806, 398, 669, 166, 1712, 1270, 248, 690, 736, 2277, 225, 735, 215, 2741, 189, 701, 710, 171, 170, 401, 1954, 931, 2469, 378, 2042, 1323, 427, 864, 428, 365, 945, 326, 847, 349, 337, 984, 1510, 1001, 495, 511]"
0.0076075550891920255,0.23,"[128, 643, 263, 392, 138, 139, 141, 398, 1167, 654, 1806, 1323, 1551, 530, 1712, 401, 669, 546, 166, 170, 555, 43, 1554, 428, 945, 157, 690, 2741, 1593, 189, 65, 579, 710, 326, 74, 1100, 337, 1622, 215, 852, 90, 349, 735, 608, 225, 2277, 99, 736, 1510, 427, 344, 237, 623, 1145, 365, 638, 239, 115]"
0.0038037775445960128,0.16,"[128, 139, 141, 398, 1551, 1167, 654, 1554, 530, 145, 669, 546, 166, 170, 43, 1712, 690, 65, 710, 74, 1622, 215, 349, 735, 99, 623, 1145, 638, 5689]"
0.0006558237145855194,0.05,"[128, 65, 623, 669, 638]"
