n_nodes,influence,obj,nodes
0.9,0.03,0.9950147048274872,"[3552, 4036, 4553, 6733, 2573, 3806, 6349, 3122, 1977, 2365, 6718]"
1.0,0.0,0.9998924037013127,[5812]
0.97,0.08,0.9800229538770533,"[3625, 5308, 768, 194]"
0.99,0.1,0.9692991894412165,"[3712, 3885]"
0.98,0.12,0.9386342443153289,"[3712, 2013, 5191]"
0.99,0.07,0.986765655261459,"[959, 5417]"
1.0,0.01,0.9984219209525859,[258]
0.95,0.14,0.9167563302489061,"[3712, 2013, 5191, 3148, 1362, 1687]"
0.98,0.12,0.9511512803959544,"[3712, 408, 3937]"
0.96,0.13,0.9408937665877627,"[3712, 3937, 538, 408, 5124]"
0.98,0.08,0.9785883365612222,"[677, 768, 3885]"
0.93,0.15,0.8991464026970806,"[3712, 3937, 5124, 2374, 2634, 2167, 408, 1853]"
0.95,0.02,0.9973459579657127,"[2688, 6284, 5264, 5777, 2071, 6657]"
0.97,0.13,0.9409296320206585,"[3712, 5124, 408, 538]"
0.98,0.1,0.9656050498529517,"[3712, 2856, 2167]"
0.99,0.09,0.9712000573846926,"[226, 408]"
0.95,0.13,0.9304569256150922,"[3712, 4225, 3885, 408, 6815, 1638]"
1.0,0.04,0.9931497023169069,[5666]
0.94,0.12,0.9477799297037515,"[2377, 915, 4508, 2330, 60, 1853, 959]"
0.97,0.13,0.934473854099419,"[3712, 408, 538, 59]"
0.9,0.15,0.8967792841259594,"[4104, 4626, 915, 4373, 2665, 4962, 1919, 408, 3712, 2013, 674]"
0.94,0.14,0.9212036439279823,"[3712, 2564, 4356, 4626, 915, 534, 1687]"
0.95,0.12,0.9450182913707769,"[3712, 5124, 4104, 4233, 408, 5438]"
0.97,0.12,0.9489993544222078,"[3712, 5124, 2038, 408]"
0.96,0.06,0.9882361380101858,"[258, 2906, 1182, 6815, 3885]"
0.94,0.14,0.9076465102933793,"[1536, 3712, 2564, 408, 144, 1687, 30]"
0.99,0.0,0.9998565382684169,"[5812, 2424]"
0.9,0.15,0.9020515027616384,"[3712, 4599, 2564, 2666, 5163, 144, 2640, 5235, 1687, 408, 30]"
0.89,0.11,0.9671831289003658,"[6817, 3067, 3885, 3951, 6388, 2550, 1526, 1272, 2681, 2330, 5403, 2815]"
0.94,0.14,0.9170432537120723,"[3712, 674, 483, 2665, 408, 5438, 6388]"
1.0,0.08,0.977835162470411,[3712]
