seed_set,spread,seed,communities,fairness,budget,time
"[5666, 5515, 5191, 4356, 4355, 4225, 3712, 3192, 2979, 2665, 2634, 2564, 2550, 2377, 2374, 2167, 2013, 1806, 1721, 1687, 1677, 1643, 1586, 1545, 1535, 1463, 1405, 1404, 1350, 1277, 1274, 1272, 1247, 1221, 1183, 1163, 1146, 1089, 1067, 1065, 1055, 1052, 1018, 1011, 990, 986, 977, 962, 959, 958, 936, 934, 929, 902, 877, 796, 787, 785, 776, 775, 773, 768, 747, 734, 714, 699, 690, 666, 656, 546, 538, 534, 533, 517, 511, 508, 483, 482, 428, 410, 408, 350, 331, 286, 255, 230, 229, 220, 196, 190, 145, 144, 82, 60, 30, 4, 2]",0.18721483158788563,0.04,0.960474657497313,0.7827877633137056,-0.18710996341725838,0.19999999999999996
"[5181, 2564, 2374, 1221, 768, 546, 538, 220, 194]",0.13644353240871782,0.92,0.9045524569369102,0.7509822089446422,0.8743275231332042,0.0
"[5181, 2013, 1806, 1709, 1687, 1543, 1402, 1067, 1055, 1018, 986, 785, 699, 508, 408, 286, 194, 30]",0.15627228983866404,0.83,0.94429330872933,0.7571421739276035,0.733268775554121,0.0
"[2634, 1405, 230, 82]",0.10201245400509483,0.97,0.8933314184240784,0.5738923836094416,0.9616598522344164,0.0
"[4356, 4225, 3885, 3712, 2665, 2634, 2564, 2550, 2377, 2234, 2167, 2033, 2013, 1675, 1405, 1274, 1163, 1146, 1117, 1089, 1065, 1054, 1052, 986, 962, 959, 934, 915, 902, 775, 773, 699, 546, 517, 430, 410, 408, 350, 331, 322, 286, 230, 220, 196, 160, 145, 2]",0.17423294650438723,0.54,0.9459659518271322,0.7989745415933807,0.37353848360949715,0.0
"[6995, 6930, 6868, 6751, 6622, 6476, 6281, 6196, 6172, 6156, 6151, 6104, 6096, 5973, 5785, 5754, 5449, 5404, 5226, 5139, 5084, 5001, 4974, 4897, 4802, 4773, 4753, 4733, 4596, 4372, 4346, 4344, 4315, 4305, 4259, 4095, 4047, 3918, 3892, 3885, 3701, 3675, 3653, 3497, 3409, 3403, 3238, 3176, 3169, 3120, 3006, 2975, 2903, 2892, 2868, 2790, 2759, 2755, 2687, 2434, 2324, 2122, 2076, 2009, 1946, 1919, 1907, 1892, 1851, 1839, 1701, 1640, 1616, 1492, 1424, 1383, 1319, 1204, 1162, 1046, 979, 819, 818, 683, 576, 532, 517, 461, 331, 250, 202, 95]",0.13632323804132465,0.09,0.8790576290315946,0.9515565859367681,0.8848360949716663,0.0
"[6754, 6169, 4224, 4205, 3988, 3398, 3189, 2709, 1429, 1178, 1172, 765, 519]",0.06241720917067648,0.88,0.8075677572913672,0.8157673254075237,0.9800588193099491,0.19999999999999996
"[6996, 6826, 6722, 6543, 6461, 6205, 5900, 5797, 5763, 5697, 4698, 4511, 4440, 4374, 4191, 3787, 3724, 3632, 3345, 3220, 3100, 2648, 2036, 1906, 1763, 1664, 1643, 1467, 1343, 1326, 1317, 1124, 844, 668, 533, 392, 112]",0.09580809510331163,0.64,0.8720130829091721,0.9159773511981366,0.9512588766946417,0.0
"[7028, 7010, 7008, 6997, 6941, 6796, 6758, 6627, 6541, 6511, 6470, 6372, 6339, 6237, 6234, 6232, 6112, 6101, 6095, 6070, 6060, 5937, 5902, 5805, 5795, 5656, 5495, 5433, 5392, 5390, 5084, 4853, 4841, 4737, 4627, 4304, 4279, 4275, 4211, 4189, 4084, 4071, 4037, 4006, 3923, 3615, 3526, 3524, 3488, 3177, 3174, 3026, 3021, 2941, 2912, 2877, 2794, 2751, 2653, 2575, 2507, 2379, 2330, 1935, 1743, 1724, 1674, 1655, 1651, 1575, 1490, 1454, 1361, 1142, 982, 925, 805, 738, 730, 673, 659, 459, 356, 300, 270, 223, 215, 22]",0.11377724313614493,0.13,0.8864917741667555,0.9579411247633197,0.9285201922387203,0.0
"[7009, 7007, 6989, 6908, 6850, 6827, 6769, 6762, 6705, 6674, 6624, 6615, 6609, 6502, 6466, 6369, 6196, 6191, 6003, 5965, 5728, 5681, 5641, 5616, 5499, 5295, 5267, 5178, 4931, 4880, 4833, 4832, 4677, 4551, 4266, 4215, 4134, 4109, 4071, 4043, 4004, 3797, 3767, 3763, 3748, 3597, 3572, 3481, 3427, 3361, 3344, 3109, 3072, 3031, 3021, 2872, 2700, 2674, 2543, 2467, 2431, 2393, 2388, 2269, 2042, 1902, 1772, 1770, 1730, 1691, 1547, 1521, 1464, 1290, 915, 901, 814, 788, 686, 557, 416, 301, 10]",0.10903481460515144,0.18,0.8967492315229456,0.9740242903568924,0.939889534466681,0.0
