seed_set,spread,seed,communities,fairness,budget,time
"[6866, 5191, 4626, 3712, 2735, 2634, 2564, 2374, 2234, 2013, 1853, 1721, 1709, 1287, 1221, 1195, 1054, 902, 787, 699, 690, 546, 538, 517, 408, 350, 160, 30, 2]",1201.99,29.000000000000004,0.05436768030320138,0.028427402022316084,11285.0,0.0
"[5752, 5182, 5090, 4919, 4686, 4626, 4372, 3712, 2665, 2634, 2564, 2550, 2377, 2374, 2167, 2076, 2013, 1853, 1687, 1649, 1535, 1405, 1350, 1287, 1117, 1054, 978, 958, 915, 877, 773, 747, 538, 511, 350, 190, 160, 30]",1233.61,38.0,0.05301316945621304,0.02268431834455442,9898.999999999998,0.0
"[5752, 5182, 5090, 4686, 4626, 4372, 4225, 2665, 2634, 2550, 2377, 2374, 2167, 2076, 2013, 1853, 1687, 1649, 1535, 1405, 1350, 1287, 1117, 1054, 1052, 978, 958, 915, 877, 773, 747, 538, 511, 350, 190, 160, 30]",1215.97,37.0,0.05283586951532049,0.02505343656274872,10034.0,0.0
"[6764, 3712, 2634, 2377, 2374, 2167, 2013, 1090, 690, 511, 408, 30]",1100.78,11.999999999999998,0.06414978751287581,0.07802859933307704,4952.000000000001,0.0
"[6866, 5742, 5636, 5191, 4905, 4869, 3712, 2634, 2564, 2374, 2013, 1853, 1687, 1287, 1183, 1052, 915, 902, 876, 785, 666, 656, 546, 538, 517, 408, 350, 286, 144, 30]",1215.01,30.000000000000004,0.04957152270657228,0.007942550230720768,10609.0,0.0
"[6534, 5201, 5191, 4780, 4686, 4372, 4356, 4308, 3934, 3712, 2665, 2634, 2564, 2377, 2374, 2013, 1853, 1535, 1350, 1287, 1221, 1065, 959, 915, 747, 699, 546, 538, 517, 483, 439, 408, 350, 331, 194, 190, 60, 30, 2]",1252.56,39.0,0.0538650308741806,0.0015867570965619748,13811.000000000002,0.0
"[4225, 3712]",673.9,2.000000000000001,0.1748993318366181,0.6270234201829676,931.9999999999984,0.0
"[6534, 5927, 5636, 5487, 5191, 4550, 4372, 3712, 3192, 2979, 2665, 2634, 2564, 2550, 2377, 2374, 2033, 2013, 1853, 1687, 1684, 1543, 1425, 1350, 1287, 1221, 986, 958, 915, 902, 877, 775, 773, 714, 699, 538, 482, 408, 350, 194, 144, 60, 30]",1267.3,43.00000000000001,0.050210197278186985,0.005738757612819723,13342.0,0.0
"[6534, 4353, 4225, 3712, 2634, 2564, 2377, 2374, 2013, 1853, 1687, 1350, 993, 958, 915, 773, 699, 538, 408, 350, 190]",1197.27,20.999999999999996,0.052993382267815026,0.08242414392119479,8184.0,0.0
"[6534, 5927, 5487, 5191, 4550, 4372, 4356, 4225, 3712, 3192, 2979, 2665, 2634, 2564, 2550, 2377, 2374, 2167, 2013, 1853, 1687, 1684, 1543, 1425, 1350, 1287, 1221, 1202, 986, 958, 915, 877, 775, 714, 699, 538, 517, 482, 408, 350, 194, 144, 60, 30]",1280.03,44.00000000000001,0.05077454002669868,0.009952080819379594,13773.000000000002,0.0
"[4630, 4225, 3712, 2374, 2346, 1687, 1471, 1404, 517, 408, 30, 2]",1085.46,11.999999999999998,0.06651634535186401,0.057499005608725784,4587.0,0.0
"[3712, 2374, 2013, 1507, 1274, 1163, 408]",1038.12,7.000000000000005,0.07891497317273721,0.12780449951642991,3537.999999999999,0.0
"[6534, 5636, 5201, 5191, 4780, 4686, 4308, 4225, 3934, 3712, 2665, 2634, 2564, 2374, 2013, 1853, 1687, 1535, 1350, 1287, 1221, 959, 958, 915, 902, 775, 747, 715, 699, 538, 483, 408, 350, 331, 194, 190, 60, 30]",1265.83,38.0,0.05237938739358394,0.04071948426864602,12735.000000000002,0.0
"[6185, 5181, 4983, 4601, 4356, 4225, 3712, 2634, 2377, 2374, 2042, 2013, 1853, 1687, 1535, 1350, 1287, 1163, 1012, 915, 785, 714, 699, 546, 538, 517, 453, 408, 350, 30, 2]",1222.67,31.000000000000004,0.050175257311796506,0.032727175293449595,10678.000000000002,0.0
"[6736, 6321, 6185, 5847, 5191, 5181, 5090, 5044, 4630, 4606, 4556, 4550, 4356, 4233, 4225, 4105, 3934, 3712, 3276, 3192, 2991, 2907, 2665, 2634, 2550, 2489, 2377, 2374, 2167, 2110, 2033, 2013, 1853, 1711, 1687, 1649, 1535, 1516, 1463, 1452, 1405, 1404, 1362, 1350, 1306, 1272, 1163, 1117, 1089, 1017, 1011, 1001, 990, 986, 984, 962, 959, 958, 915, 877, 714, 644, 546, 538, 517, 508, 483, 482, 477, 459, 430, 408, 350, 236, 190, 169, 144, 60, 30, 2]",1348.3,80.0,0.05026840258537313,0.02187078254475372,18851.0,0.0
"[6736, 6679, 6321, 6185, 5988, 5191, 5181, 4372, 4356, 4225, 3712, 3276, 3192, 2665, 2634, 2564, 2550, 2377, 2374, 2167, 2013, 1853, 1711, 1709, 1687, 1535, 1405, 1350, 1274, 1272, 1183, 1089, 1011, 958, 915, 877, 699, 666, 656, 546, 538, 517, 508, 408, 350, 236, 190, 144, 60, 30, 2]",1298.66,51.0,0.04883870284114766,0.013622599109580857,16331.999999999998,0.0
"[5946, 5191, 4780, 4308, 4225, 2665, 2634, 2377, 2374, 2013, 1853, 1535, 1350, 1345, 1221, 1052, 958, 747, 517, 483, 408, 350, 194, 144, 30, 2]",1197.32,26.0,0.054406042307763025,0.0015867570965460986,9423.000000000002,0.0
"[3712, 408]",834.19,2.000000000000001,0.10113175631859761,0.6294502343767944,1361.0000000000011,0.0
"[3712, 2634, 2374, 2013, 690, 408, 350, 30, 2]",1102.93,8.999999999999996,0.06138834104235691,0.17505100191763923,4774.999999999999,0.0
"[4657, 4225, 3712, 2665, 2634, 2374, 2013, 1687, 1217, 915, 699, 408, 82, 30]",1159.34,14.0,0.05757600124548046,0.12270433316575868,6251.000000000002,0.0
"[5527, 4919, 4630, 4225, 3712, 2634, 2480, 2377, 2374, 2346, 2013, 1853, 1687, 1677, 1535, 1350, 1089, 1012, 958, 915, 728, 656, 517, 408, 190, 160, 30, 2]",1210.14,28.0,0.05278075449235131,0.03415784463185634,8916.999999999998,0.0
"[3712, 2634, 2374, 2013, 408, 350, 30, 2]",1092.84,7.999999999999995,0.06343157353576268,0.13798579767311048,4291.000000000001,0.0
"[4225, 3712, 2402, 2374, 2013, 1274, 915, 776, 517, 408, 350, 30]",1120.3,11.999999999999998,0.06057251560019905,0.079097007060278,5192.000000000001,0.0
"[3712, 2634, 2374, 2013, 1687, 958, 699, 408, 350, 30, 2]",1140.28,10.999999999999998,0.05743062197142956,0.2156830692819851,6100.999999999999,0.0
"[4657, 3712, 2665, 2634, 2374, 2013, 1687, 1221, 408, 350, 82, 30]",1143.67,11.999999999999998,0.06046681494354278,0.1292730363399628,5317.999999999999,0.0
"[4356, 3712, 2665, 2634, 2374, 2082, 2013, 1687, 517, 408, 350, 30]",1154.25,11.999999999999998,0.05843965702631715,0.14250161868003175,5437.0,0.0
"[3712, 1221]",667.15,2.000000000000001,0.17225805339216793,0.6270215770226848,1155.9999999999998,0.0
"[5191, 4356, 4308, 4233, 3712, 2665, 2634, 2564, 2377, 2374, 2013, 1853, 1687, 1535, 1350, 1272, 1035, 958, 915, 644, 538, 517, 408, 350]",1228.08,24.0,0.0530488835401296,0.042153318130803474,8464.999999999998,0.0
"[4225, 3712, 2634, 2374, 2013, 1687, 699, 408, 30]",1116.88,8.999999999999996,0.061588663989694425,0.17656491330947566,5307.999999999999,0.0
"[6185, 5191, 5181, 4686, 4630, 4356, 4233, 4105, 4028, 3712, 2634, 2377, 2374, 2013, 1853, 1711, 1687, 1452, 1163, 958, 915, 644, 546, 538, 517, 408, 190, 160, 144, 30, 2]",1236.63,31.000000000000004,0.05060306595881792,0.07209814200090969,9265.999999999998,0.0
[408],648.93,1.0,0.11876514367855473,0.8325546111576978,743.0000000000014,0.0
"[5181, 3712, 3326, 2634, 2374, 2013, 1853, 958, 699, 408, 350, 30, 2]",1158.18,13.0,0.052795239740467736,0.22782858962838826,6208.999999999999,0.0
"[4356, 4233, 4225, 4105, 3712, 2634, 2564, 2374, 2013, 1853, 1687, 1350, 1274, 1012, 958, 915, 644, 538, 517, 408, 30]",1207.16,20.999999999999996,0.05181343038951258,0.08541690292006043,7679.999999999998,0.0
"[5191, 4630, 4356, 4233, 4225, 3712, 2564, 2374, 2013, 1853, 1687, 958, 915, 699, 517, 408, 220, 60, 30]",1216.3,19.000000000000004,0.053674522699243554,0.2753810675274325,8156.000000000001,0.0
"[4225, 3712, 2634, 2374, 2013, 1816, 1687, 958, 699, 408, 350, 30]",1151.33,11.999999999999998,0.057278250712380796,0.1299362176187807,5971.000000000001,0.0
"[6433, 4233, 4225, 3712, 2564, 2374, 2013, 1687, 958, 915, 699, 517, 408, 30]",1163.91,14.0,0.059681358085140634,0.1351493503259824,6514.000000000001,0.0
"[5191, 4356, 4308, 4225, 3712, 2665, 2634, 2564, 2377, 2374, 2013, 1853, 1687, 1535, 1350, 1272, 1163, 958, 915, 538, 517, 408, 2]",1222.91,22.999999999999996,0.055139026595608764,0.07780097842577682,8735.0,0.0
"[5927, 5636, 5191, 4869, 4550, 4372, 3712, 3192, 2979, 2665, 2634, 2564, 2550, 2377, 2374, 2033, 2013, 1853, 1687, 1684, 1543, 1425, 1350, 1287, 1221, 986, 958, 915, 902, 877, 876, 714, 699, 538, 517, 482, 408, 350, 194, 144, 60, 30]",1264.61,42.0,0.051126404355704924,0.01911441465729402,13211.999999999998,0.0
"[6736, 6321, 5874, 5847, 5515, 5191, 5181, 5090, 5044, 4626, 4372, 4356, 4336, 4233, 3934, 3712, 3276, 3192, 2907, 2665, 2634, 2564, 2550, 2377, 2374, 2167, 2110, 2013, 1853, 1793, 1687, 1649, 1586, 1535, 1405, 1362, 1350, 1274, 1272, 1221, 1117, 1089, 1011, 959, 958, 915, 877, 714, 517, 508, 483, 408, 236, 194, 190, 144, 60, 58, 30]",1329.67,59.00000000000001,0.052122868458232885,0.038751694820995386,15774.999999999998,0.0
