n_nodes,influence,nodes
0.0001415227851684121,0.09,[286]
0.0009906594961788847,0.16,"[3712, 517, 2374, 2013, 408, 1853, 30]"
0.0007076139258420605,0.15,"[2564, 2374, 408, 2013, 30]"
0.0011321822813472968,0.16,"[3712, 4225, 2374, 1853, 30, 408, 2013, 958]"
0.001273705066515709,0.16,"[3712, 4225, 4356, 2374, 2013, 958, 30, 408, 1853]"
0.0005660911406736484,0.14,"[3712, 2374, 408, 2013]"
0.0015567506368525334,0.16,"[3712, 2374, 5191, 2665, 6581, 2013, 30, 1687, 958, 408, 1853]"
0.002830455703368242,0.18,"[3712, 4225, 2564, 4356, 1163, 1675, 915, 1687, 408, 30, 58, 1853, 958, 2374, 5191, 2634, 2013, 2665, 1272, 933]"
0.002547410133031418,0.17,"[3712, 4225, 2564, 4356, 1163, 915, 1687, 408, 30, 58, 1853, 958, 2374, 5191, 2634, 2013, 2665, 1272]"
0.007925275969431078,0.19,"[3712, 4225, 4355, 2564, 4356, 1163, 1675, 5515, 144, 145, 915, 1687, 408, 538, 796, 30, 1183, 34, 2856, 1067, 3885, 430, 2735, 1457, 58, 2234, 60, 1853, 958, 959, 5181, 4671, 962, 3192, 6980, 196, 2374, 5191, 2634, 207, 4178, 82, 1362, 6101, 5078, 2907, 2013, 2665, 1643, 2550, 2167, 1272, 3196, 4606, 1535, 3892]"
0.0042456835550523635,0.18,"[3712, 4225, 4355, 4356, 2564, 1163, 5515, 1675, 145, 915, 1687, 408, 538, 30, 1183, 3885, 430, 2735, 1457, 58, 2234, 1853, 958, 5181, 2374, 5191, 2634, 2013, 2665, 1272]"
0.0008491367110104727,0.15,"[3712, 2374, 1853, 30, 408, 2013]"
0.0021228417775261818,0.17,"[3712, 4225, 4356, 408, 2374, 5927, 5191, 2665, 1687, 2013, 30, 1272, 58, 1853, 958]"
