n_nodes,influence,communities,nodes
88.0,130.74,1928,"[5130, 4627, 4632, 6681, 5147, 5661, 5674, 6188, 4156, 6214, 584, 1609, 6223, 1106, 4179, 5213, 4197, 4199, 2156, 3198, 3220, 4247, 4249, 4251, 158, 3236, 6824, 170, 3755, 2219, 4271, 2737, 3259, 1733, 1222, 6342, 6856, 1233, 6865, 3799, 5336, 4827, 2783, 6372, 1254, 1772, 3855, 6415, 2837, 2325, 297, 1324, 5424, 1840, 1347, 1860, 2381, 847, 1360, 6993, 3925, 341, 6997, 2409, 2429, 383, 3461, 3469, 913, 3998, 1443, 2471, 1448, 2472, 5560, 5567, 5572, 4043, 6604, 977, 2007, 3546, 3549, 1508, 3047, 5101, 3573, 4094]"
82.0,125.35,1697,"[1538, 3593, 1035, 3599, 6159, 2577, 3106, 5671, 4144, 5683, 566, 5692, 65, 3138, 5700, 3153, 6230, 3671, 2150, 105, 4715, 5740, 4205, 2163, 1652, 6265, 6786, 4744, 4763, 4252, 5789, 5793, 6818, 3756, 1197, 2231, 6840, 4802, 4805, 3787, 2270, 4834, 2803, 2292, 1780, 5377, 5380, 5394, 4372, 5402, 4383, 5921, 3365, 310, 1335, 6456, 4923, 3391, 1348, 3915, 3928, 1369, 4962, 2927, 1908, 4469, 4479, 1921, 3974, 3993, 924, 6052, 5541, 4025, 3001, 5566, 6089, 989, 5602, 5094, 2023, 507]"
92.0,138.63,2154,"[5120, 516, 5639, 3086, 1552, 3103, 35, 3109, 5670, 5669, 6696, 6188, 3120, 5699, 1093, 2123, 1621, 4700, 93, 3677, 611, 5227, 1136, 3193, 2185, 6284, 2703, 5265, 6301, 678, 6823, 3242, 5805, 2739, 2236, 4288, 6854, 1742, 4815, 6355, 6880, 2281, 4330, 748, 5868, 753, 5370, 1805, 4892, 4389, 4391, 1833, 4905, 311, 5944, 1852, 316, 4935, 4426, 2909, 3940, 4971, 6508, 1904, 3441, 5493, 4983, 6009, 4476, 5501, 4990, 6529, 4487, 908, 6556, 4510, 4517, 934, 3505, 5558, 4024, 2501, 4550, 968, 3538, 5586, 2518, 2521, 3547, 4067, 1515, 6143]"
77.0,124.58,1905,"[6146, 5125, 6672, 5147, 3110, 1575, 1589, 1079, 1084, 4680, 3664, 3159, 2160, 6769, 2674, 1659, 4226, 2180, 3207, 3208, 135, 6287, 4752, 6800, 3748, 1712, 4785, 6835, 5300, 4282, 2250, 714, 3805, 2276, 1768, 5356, 752, 2803, 2320, 2833, 5917, 2338, 5936, 4913, 1342, 840, 1873, 337, 7020, 4972, 6002, 4471, 2939, 4481, 3485, 6559, 2982, 5543, 937, 6061, 4526, 4531, 1460, 1462, 6071, 3003, 5055, 5068, 461, 5582, 3030, 5082, 3042, 5091, 3572, 5624, 2043]"
85.0,179.24,2928,"[7, 1545, 4105, 1552, 4126, 1571, 5676, 1068, 6700, 50, 3133, 576, 3649, 5186, 6723, 583, 4180, 6228, 6742, 1118, 3173, 6763, 4715, 622, 5743, 4721, 5750, 4730, 1148, 2684, 2689, 3205, 3211, 4756, 150, 3225, 6302, 3744, 3750, 4264, 3755, 4786, 3776, 3264, 193, 712, 6359, 4826, 2789, 5876, 757, 2293, 6406, 3858, 6424, 4395, 5437, 5959, 3406, 4433, 1362, 4947, 868, 372, 4980, 6529, 5514, 2959, 6549, 1440, 5542, 4520, 2986, 5042, 435, 949, 4534, 2489, 959, 3009, 1476, 3528, 3028, 491, 2546]"
41.0,59.43,696,"[0, 3200, 6020, 6404, 3851, 1298, 6677, 1814, 6937, 2972, 6814, 5795, 5283, 1957, 5926, 1448, 6952, 4266, 3627, 3888, 3510, 1981, 6470, 6342, 5711, 3922, 2261, 4701, 4958, 2783, 4192, 5729, 1891, 1508, 4581, 5352, 1514, 106, 6126, 1020, 2559]"
41.0,55.39,648,"[3330, 5383, 3594, 532, 4890, 2076, 3745, 2214, 1318, 6951, 6438, 1662, 1835, 4399, 4144, 4786, 4660, 4404, 4154, 3131, 708, 2248, 4297, 3275, 462, 1103, 80, 1235, 598, 2780, 6242, 4967, 5738, 3179, 109, 2289, 118, 5884, 6909, 2558, 2815]"
43.00000000000001,56.89,682,"[6657, 7050, 5243, 1550, 1042, 532, 2709, 4250, 6555, 2074, 6173, 3872, 2342, 5416, 303, 6834, 3635, 2745, 1339, 4289, 1730, 5315, 3268, 5702, 3398, 1483, 5196, 4428, 4688, 2514, 2137, 3297, 4193, 5219, 999, 6505, 1898, 4843, 5868, 4847, 3956, 6394, 6779]"
66.0,91.31,1062,"[7040, 1796, 4741, 6278, 652, 909, 4365, 14, 4493, 908, 4878, 6931, 6036, 1557, 6549, 6932, 1432, 7059, 4504, 3866, 6302, 4639, 6176, 5540, 6822, 4262, 5159, 6953, 4778, 4911, 2224, 2352, 5559, 5944, 2497, 2371, 5700, 2630, 3910, 4301, 2511, 3663, 4735, 2387, 3155, 2005, 3539, 6487, 5331, 5721, 4317, 4062, 5086, 2784, 4325, 5990, 743, 4709, 1513, 2287, 4983, 4850, 1781, 6390, 3318, 3455]"
10.999999999999998,11.49,92,"[4512, 6306, 3109, 3210, 5770, 6573, 1903, 6964, 1976, 953, 5757]"
42.0,64.81,899,"[1281, 6407, 2186, 6795, 3088, 5776, 5520, 2463, 3359, 4258, 4262, 2219, 6827, 2475, 3374, 1456, 1330, 1206, 3513, 3132, 3778, 1604, 6859, 2380, 4685, 338, 341, 1878, 5719, 1371, 6492, 3939, 6629, 3563, 3948, 2669, 3570, 2035, 6261, 3190, 119, 762]"
17.000000000000004,21.77,324,"[1952, 2176, 1793, 2915, 6886, 6438, 2636, 2476, 3758, 5999, 1040, 6097, 2709, 5110, 3573, 2555, 4671]"
93.0,125.53,1747,"[1550, 5646, 6682, 2077, 6709, 6710, 1080, 1602, 6722, 2629, 2118, 1099, 2133, 2654, 6755, 99, 6244, 6758, 6245, 1653, 4726, 120, 3198, 5759, 2690, 2695, 136, 2186, 1165, 2191, 4752, 6799, 1682, 4753, 4764, 5279, 5798, 2733, 4783, 2745, 698, 188, 1728, 738, 4836, 4325, 4335, 241, 5888, 1795, 262, 6924, 3854, 3861, 1824, 6971, 2880, 4928, 1859, 1861, 6476, 3920, 5463, 2919, 6506, 5999, 4465, 4991, 4479, 1414, 3986, 2452, 918, 1435, 2463, 3492, 2983, 5032, 2473, 2478, 6067, 4027, 3520, 1986, 6595, 2504, 3021, 5585, 476, 5089, 3041, 6641, 6650]"
94.0,145.27,2154,"[4611, 6670, 2579, 1556, 4115, 6696, 4649, 1584, 5696, 2118, 6730, 77, 3158, 1119, 3172, 5224, 619, 2668, 4715, 3182, 123, 2683, 3196, 2684, 5249, 645, 3208, 145, 1686, 1175, 3225, 3741, 3234, 2724, 182, 6337, 223, 5865, 4329, 4334, 6896, 4337, 6905, 4861, 261, 6413, 4366, 278, 6422, 792, 3870, 4392, 4395, 1328, 309, 5951, 3411, 852, 3416, 5976, 6494, 6501, 3941, 875, 4460, 2412, 1907, 2422, 4472, 5503, 4479, 897, 385, 3465, 1418, 1932, 3470, 3471, 5014, 5529, 2459, 2973, 4004, 1972, 5050, 4030, 3519, 4040, 1496, 1503, 6631, 3565, 4077, 4082]"
7.000000000000005,14.68,172,"[5091, 6442, 813, 5938, 5175, 3069, 1758]"
13.0,19.49,346,"[2850, 2088, 4617, 1449, 520, 4425, 6352, 6577, 917, 1239, 2360, 2297, 6360]"
14.0,18.41,246,"[6916, 5413, 2666, 3626, 6477, 5678, 823, 4656, 4433, 6326, 1942, 5942, 1403, 5566]"
19.000000000000004,29.29,352,"[6656, 6658, 4229, 6662, 1811, 1053, 2469, 6708, 4283, 2363, 5948, 2267, 2655, 4069, 6374, 5735, 5360, 6257, 4734]"
8.999999999999996,9.31,72,"[3744, 4739, 259, 2982, 2406, 3625, 6701, 3677, 222]"
37.0,63.95,954,"[5507, 3588, 1669, 2188, 6669, 5134, 3475, 149, 4630, 2712, 2076, 4642, 5798, 3369, 45, 3761, 5682, 2994, 5049, 4413, 960, 195, 68, 453, 4548, 3527, 3783, 4938, 3914, 5845, 214, 4956, 889, 2655, 994, 1386, 6521]"
83.0,144.08,2271,"[2053, 517, 4613, 1032, 6689, 4657, 1078, 3129, 5180, 2115, 582, 5191, 5196, 5708, 2638, 4691, 5206, 1627, 6247, 3698, 3699, 2676, 4221, 2176, 5761, 3720, 6282, 6797, 6804, 1176, 5276, 157, 163, 3759, 5819, 209, 212, 6891, 4867, 6403, 5896, 3853, 5908, 6425, 6428, 5924, 1831, 1841, 2355, 5940, 6459, 3915, 850, 1887, 2911, 1897, 2409, 2928, 1393, 6514, 4471, 3451, 7047, 3470, 1935, 1943, 920, 6064, 4531, 1973, 3001, 5050, 3013, 6599, 5576, 4553, 6090, 6101, 5079, 1500, 1503, 4087, 2040]"
39.0,60.13,824,"[6153, 1932, 3980, 3603, 5910, 281, 1311, 3615, 4641, 164, 6565, 425, 3631, 2999, 4155, 828, 5950, 4543, 6985, 5962, 6474, 342, 4056, 603, 5852, 5213, 5087, 4195, 4842, 1262, 5614, 4208, 6129, 2801, 2291, 375, 3448, 6906, 2557]"
74.0,117.75,1592,"[3456, 3077, 6534, 7047, 1674, 6413, 6030, 6287, 911, 3985, 6930, 5779, 3091, 1294, 1432, 5913, 4763, 5789, 3870, 5279, 3360, 3233, 2466, 3745, 6565, 1832, 6443, 1456, 1842, 1588, 2869, 5942, 570, 1468, 5564, 5182, 3777, 451, 3267, 5315, 1606, 4807, 6728, 4681, 2249, 590, 3790, 1874, 979, 3286, 342, 2780, 348, 1756, 352, 5601, 3554, 6371, 1383, 2153, 235, 619, 3435, 3436, 492, 2160, 5745, 3953, 753, 1525, 6518, 6265, 5756, 3069]"
36.0,47.51,534,"[5504, 3075, 1542, 6408, 6424, 5786, 5018, 6433, 1955, 4390, 5543, 5030, 3113, 173, 4014, 2099, 6835, 4280, 6968, 4156, 1349, 5579, 6871, 1113, 3422, 5855, 3167, 3812, 6117, 5998, 4852, 757, 3062, 6389, 3065, 6011]"
18.000000000000004,28.26,261,"[5441, 3366, 5161, 1418, 6283, 2953, 429, 6061, 2799, 6352, 3502, 3858, 4338, 6482, 5714, 5014, 6365, 6559]"
22.999999999999996,33.46,480,"[6656, 6658, 4229, 6662, 1811, 1053, 2469, 6708, 4283, 1225, 5948, 2267, 2655, 4069, 6374, 5735, 5360, 6257, 4734, 6631, 3565, 4077, 4082]"
