seed_set,spread,seed,communities,fairness,budget,time
"[7001, 6909, 6892, 6803, 6554, 6390, 6282, 6280, 6255, 6242, 6143, 6139, 6137, 6112, 5953, 5864, 5801, 5782, 5770, 5741, 5719, 5712, 5637, 5473, 5453, 5265, 5026, 4889, 4646, 4528, 4526, 4429, 4310, 4169, 4095, 3975, 3950, 3860, 3773, 3660, 3647, 3627, 3536, 3198, 3177, 3004, 2796, 2794, 2752, 2672, 2482, 2467, 2446, 2287, 2227, 2198, 2187, 2103, 1986, 1956, 1923, 1917, 1906, 1749, 1730, 1680, 1604, 1343, 1317, 1307, 1257, 1232, 826, 729, 619, 421, 410, 258, 226, 209, 197, 78]",0.01727002547410133,0.19,0.6778989695384752,0.9114790284194637,0.9418979987088444,0.4
"[7056, 6926, 6690, 6341, 6227, 6169, 6112, 6025, 5922, 5826, 5739, 5323, 5307, 5104, 4883, 4431, 4138, 3915, 3848, 3563, 3161, 1165, 859, 851, 369, 142]",0.004641947353523917,0.75,0.4919784109836134,0.7794952150860315,0.9883078688759773,0.8
"[6105, 5956, 5334, 5177, 4243, 3427, 3371, 2689, 2197]",0.002033682422870082,0.92,0.2968688920484478,0.8247153639065826,0.995696148052507,0.8
"[7024, 6991, 6981, 6904, 6882, 6865, 6811, 6724, 6573, 6572, 6483, 6449, 6378, 6200, 6158, 6103, 5903, 5724, 5723, 5694, 5633, 5563, 5471, 5278, 5261, 5256, 5097, 5049, 4997, 4967, 4919, 4780, 4731, 4632, 4631, 4486, 4368, 4239, 4237, 4042, 4032, 3870, 3843, 3810, 3752, 3668, 3516, 3464, 3452, 3331, 3224, 3208, 3026, 3018, 2767, 2746, 2644, 2641, 2320, 2257, 2135, 2112, 2050, 2028, 2024, 2002, 1971, 1960, 1894, 1830, 1537, 1467, 1391, 1286, 1227, 1037, 930, 895, 822, 725, 611, 485, 342, 198, 193, 116, 79, 47]",0.018686668553637136,0.13,0.7469600789834769,0.9262169501158765,0.9271931712215766,0.4
"[7031, 6553, 4461, 4242, 4079, 2261, 1912]",0.0013968298896122275,0.94,0.23797768234540184,0.5424405852940932,0.9970948999354422,0.8
"[6977, 6959, 6842, 6823, 6726, 6660, 6548, 6447, 6404, 6296, 6279, 6178, 6177, 6051, 6049, 6034, 5956, 5926, 5919, 5858, 5834, 5733, 5533, 5522, 5459, 5380, 5304, 5278, 5109, 5096, 5095, 5054, 4909, 4803, 4734, 4615, 4597, 4469, 4459, 4412, 4313, 4268, 4201, 4185, 4072, 3987, 3977, 3822, 3818, 3620, 3584, 3464, 3434, 3431, 3366, 3351, 3325, 3321, 3311, 3164, 3129, 3095, 2934, 2792, 2762, 2712, 2689, 2468, 2372, 2221, 2189, 2154, 2066, 2037, 1751, 1706, 1672, 1587, 1510, 1343, 1339, 1310, 1284, 1155, 1114, 966, 840, 799, 765, 647, 523, 358, 334, 311, 257, 241, 151, 129, 37]",0.020087744126804415,0.02,0.6467129871158978,0.9398871085064409,0.9318198120651316,0.4
"[6756, 6148, 6093, 5649, 5609, 5535, 5303, 5239, 4990, 4801, 4645, 4607, 4413, 4219, 4214, 3877, 3687, 3240, 2939, 2470, 2223, 2085, 1970, 1929, 1193, 485, 240]",0.006109538635720351,0.74,0.6102129192502925,0.7487318371546516,0.9849723836166703,0.6
"[6913, 6847, 6796, 6606, 6583, 6472, 6450, 6049, 5875, 5563, 5351, 5165, 4815, 4486, 4397, 4132, 3934, 3768, 3665, 3598, 3572, 3492, 2838, 2678, 2586, 2571, 2449, 2197, 1771, 1728, 1359, 1209, 1190, 565, 505, 492, 437, 268, 146]",0.010049532974808945,0.62,0.7532447840602463,0.8668071335709953,0.960476292948856,0.4
"[6992, 6976, 6929, 6870, 6721, 6720, 6631, 6616, 6558, 6436, 6434, 6389, 6384, 6136, 6075, 5937, 5914, 5777, 5768, 5764, 5726, 5640, 5617, 5596, 5578, 5546, 5496, 5462, 5447, 5354, 5157, 4945, 4901, 4899, 4795, 4785, 4752, 4725, 4720, 4523, 4293, 4075, 4044, 4015, 3950, 3885, 3772, 3545, 3515, 3430, 3266, 3213, 3156, 3091, 2937, 2920, 2898, 2876, 2862, 2802, 2517, 2491, 2479, 2374, 2345, 2266, 2258, 2203, 2189, 2151, 2122, 2034, 1967, 1956, 1915, 1882, 1814, 1779, 1768, 1766, 1729, 1421, 1309, 1286, 1126, 1030, 1013, 908, 885, 677, 581, 577, 567, 301, 144, 81]",0.0282352108689499,0.05,0.8577393828440923,0.9536900573393233,0.8811060899505057,0.19999999999999996
"[6925, 6813, 6678, 6519, 5788, 5410, 5377, 4889, 4746, 4620, 4392, 3289, 2832, 1756, 992, 390]",0.004085762807812058,0.85,0.48266684738703747,0.8436139327666725,0.9887382540707267,0.6
