n_nodes,influence,obj,nodes
0.07,0.12,0.8954403447273035,"[2564, 517, 20, 533, 534, 538, 1052, 30, 546, 34, 5666, 1065, 1535, 1072, 58, 5181, 1089, 579, 5191, 2634, 82, 1117, 2665, 1643, 3192, 1146, 3712, 4225, 4233, 656, 144, 666, 1183, 1194, 2735, 1200, 690, 699, 194, 196, 1221, 720, 220, 733, 229, 747, 1272, 255, 768, 4355, 4356, 773, 775, 1806, 286, 3885, 322, 2374, 1350, 2377, 331, 1362, 350, 3934, 877, 1404, 1405, 902, 5515, 1421, 1425, 915, 3988, 408, 410, 942, 1457, 1463, 439, 2489, 958, 959, 2013, 482, 483, 1510, 6129, 1011, 2550, 1527, 502, 1018, 508, 511]"
0.02,0.12,0.9271359355123506,"[546, 2013, 902, 2634, 538, 331, 6129, 31, 5666, 1065, 2090, 1183, 6704, 145, 699, 60, 5181, 1089, 1117, 1274, 2374, 408, 3192, 2665, 4606, 160, 517, 1195, 1200, 2735, 196, 2377, 190, 255, 2, 207, 733, 734, 230, 747, 508, 236, 1272, 959, 4356, 533, 773, 915, 690, 775, 1287, 2856, 1362, 768, 1806, 3885, 1350, 30, 1221, 1018, 59, 2564, 3934, 1405, 1277, 1052, 877, 886, 1402, 1072, 2993, 1421, 1425, 410, 685, 936, 428, 430, 942, 1457, 666, 439, 286, 3712, 1146, 1289, 4225, 1463, 2489, 958, 962, 1687, 469, 1510, 656, 502, 7, 2550, 1535]"
0.21,0.11,0.8789053616749484,"[2665, 2, 962, 145, 2550, 1221, 1457, 1287, 60, 6129, 1146, 2564, 7, 439, 1405, 1350, 331, 773, 1510, 886, 1386, 877, 220, 796, 734, 469, 82, 666, 255, 517, 955, 1498, 1011, 3712, 959, 4225, 775, 768, 2013, 3885, 4356, 699, 350, 902, 1018, 1806, 690, 847, 1272, 915, 533, 59, 408, 322, 190, 1072, 1052, 30, 286, 4606, 546, 2856, 936, 1194, 942, 1463, 2735, 2993, 3934, 58, 1853, 958, 194, 2374, 5191, 1362, 733, 483, 1643, 508]"
0.1,0.12,0.9114569894247007,"[5191, 747, 934, 2634, 286, 1287, 936, 430, 1146, 1386, 1272, 145, 6214, 229, 30, 942, 1853, 1221, 1038, 2377, 2665, 546, 508, 439, 1067, 60, 58, 1643, 690, 4606, 3712, 331, 207, 3192, 1404, 31, 962, 2013, 1510, 408, 768, 483, 3988, 255, 2, 2993, 1163, 220, 1350, 1018, 3934, 5181, 1709, 990, 4356, 194, 2374, 955, 4225, 469, 1052, 236, 322, 1498, 1406, 1362, 1527, 7, 699, 511, 902, 775, 5515, 1806, 959, 1425, 533, 1687, 3885, 796, 1183, 5666, 1274, 2856, 2090, 190, 1072, 886, 1200, 1457, 958]"
0.07,0.12,0.8997171741357359,"[5191, 747, 934, 430, 286, 2634, 1287, 936, 2234, 1386, 145, 1853, 1146, 30, 962, 942, 1150, 1272, 546, 1067, 2665, 2377, 60, 508, 4606, 7, 690, 1643, 229, 58, 207, 3712, 331, 990, 31, 236, 2856, 1221, 2013, 408, 2, 190, 483, 3192, 2090, 439, 2993, 1163, 1404, 877, 220, 1405, 1421, 3934, 915, 410, 4356, 1463, 255, 2489, 2374, 1510, 482, 4225, 1052, 6129, 322, 1011, 1362, 2550, 1527, 502, 699, 768, 1018, 902, 775, 959, 1806, 5515, 3885, 511, 1425, 3988, 533, 1183, 5666, 1072, 1200, 1457, 5181, 958, 1350, 194]"
1.0,0.0,0.1674453888423022,[3712]
0.03,0.12,0.9288495674095183,"[2, 2564, 517, 7, 533, 1052, 30, 31, 546, 5666, 1065, 2090, 6704, 1072, 59, 60, 5181, 1089, 2634, 1117, 2665, 3192, 1146, 3712, 4225, 656, 145, 1687, 666, 1183, 160, 1195, 2735, 1200, 690, 699, 190, 196, 1221, 207, 733, 734, 230, 747, 236, 1272, 1274, 1277, 255, 768, 4356, 773, 775, 1287, 1289, 1806, 286, 800, 2856, 3885, 2374, 1350, 2377, 331, 1362, 3934, 877, 886, 1402, 1405, 1421, 1425, 915, 408, 410, 936, 428, 430, 942, 2993, 1457, 439, 1463, 2489, 958, 959, 962, 469, 1498, 2013, 1510, 6129, 2550, 502, 1018, 508, 4606, 1535]"
0.23,0.11,0.9112420607956443,"[2564, 517, 7, 1052, 30, 31, 546, 2090, 1067, 1072, 58, 60, 5181, 5191, 2634, 2665, 1643, 3192, 1146, 3712, 4225, 145, 1687, 1183, 690, 2234, 699, 1221, 207, 220, 229, 747, 236, 1272, 5885, 768, 4356, 775, 1287, 1806, 796, 286, 5408, 3885, 1853, 322, 1350, 2374, 2377, 331, 1362, 3934, 1386, 886, 1404, 902, 5515, 6549, 408, 934, 936, 942, 430, 1457, 439, 958, 959, 962, 2013, 990, 482, 483, 1510, 1011, 2550, 508, 4606, 511]"
0.65,0.07,0.9521047914261019,"[3712, 1018, 902, 1287, 145, 408, 538, 1052, 30, 31, 286, 546, 936, 430, 942, 690, 58, 699, 1853, 962, 1221, 2374, 2377, 2634, 331, 1362, 2013, 990, 229, 2665, 1643, 747, 6129, 1272, 1146, 508]"
0.24,0.11,0.9649256850518814,"[3712, 775, 6549, 773, 4225, 1018, 4356, 2564, 1287, 7, 666, 1405, 1806, 145, 1687, 408, 517, 1146, 1052, 657, 734, 31, 6731, 1195, 2735, 546, 936, 2856, 30, 942, 196, 1072, 1498, 439, 699, 60, 190, 959, 962, 430, 1221, 1350, 2374, 331, 733, 1117, 350, 2013, 2377, 990, 877, 2665, 236, 6129, 286, 3885, 1853, 322, 1362, 821, 1386, 886, 1404, 902, 5515, 1425, 3988, 934, 2993, 1457, 955, 958, 483, 1510, 508, 4606, 511]"
0.32,0.1,0.9648232144555859,"[1272, 4225, 2, 3712, 2564, 517, 1146, 7, 902, 4356, 775, 1163, 5515, 1287, 1806, 1425, 145, 3988, 533, 1687, 408, 1052, 796, 5150, 30, 286, 1183, 934, 2856, 936, 2090, 1709, 430, 3885, 6704, 1072, 1200, 1457, 690, 942, 58, 699, 60, 5181, 190, 1853, 194, 322, 1221, 1350, 5191, 2374, 2377, 207, 1362, 220, 2013, 3934, 229, 2665, 1386, 1643, 747, 236, 886, 3192, 1274, 1404, 255]"
0.91,0.03,0.9197538226910075,"[3712, 2564, 517, 2374, 7, 2013, 408, 699, 1213, 990]"
