n_nodes,influence,communities,nodes
7.999999999999995,15.59,0.9999999999999998,"[3872, 2308, 5757, 6055, 3048, 2475, 5232, 1213]"
10.999999999999998,13.32,0.0,"[4746, 7011, 5243, 3743, 3124, 881, 2007, 1110, 2555, 1885, 2623]"
2.000000000000001,19.04,2.0,"[2376, 1362]"
2.000000000000001,14.13,0.9999999999999998,"[1200, 4915]"
19.999999999999993,26.78,0.9999999999999998,"[1541, 3344, 1562, 1062, 6960, 4913, 5552, 692, 2120, 4811, 4173, 2658, 612, 6501, 5991, 5738, 6381, 624, 3442, 5539]"
1.0,14.82,2.0,[1362]
52.0,76.86,2.0,"[385, 2946, 1667, 2693, 4999, 3593, 1291, 1933, 1421, 5006, 6030, 5009, 2966, 1177, 4512, 167, 5031, 2985, 3499, 5167, 6064, 5297, 3503, 6577, 2621, 4413, 6591, 4804, 2376, 77, 1998, 1485, 2258, 6995, 1874, 2520, 5977, 1497, 2522, 1757, 1630, 6495, 2528, 2276, 1000, 5609, 488, 3571, 7034, 3965, 4479, 5878]"
21.999999999999996,28.25,0.9999999999999998,"[1541, 3344, 1562, 1062, 6960, 4913, 5552, 692, 2120, 4811, 4173, 402, 612, 6501, 5991, 5738, 6381, 624, 3442, 2290, 4728, 6015]"
15.000000000000002,100.74,3.0,"[1200, 902, 5191, 439, 2222, 2, 2194, 4205, 3612, 1885, 2623, 2259, 990, 1089, 1498]"
5.0000000000000036,6.95,0.0,"[3344, 1562, 1541, 1062, 2345]"
22.999999999999996,28.97,0.9999999999999998,"[2308, 402, 3733, 1062, 6960, 4913, 5552, 692, 2120, 4811, 4173, 5342, 612, 6501, 5991, 5738, 6381, 624, 3442, 2290, 4728, 6015, 123]"
26.0,51.48,2.0,"[4628, 2580, 5142, 1291, 1933, 2966, 1177, 167, 5167, 6064, 5297, 4413, 2621, 4804, 2376, 77, 1998, 2258, 6995, 1874, 5977, 610, 1630, 6495, 1421, 2276]"
3.0000000000000018,4.7,0.0,"[694, 3204, 3118]"
4.000000000000003,66.73,3.0,"[1221, 747, 3192, 1052]"
4.000000000000003,27.94,2.0,"[1362, 1011, 2878, 4892]"
7.000000000000005,10.02,0.0,"[1538, 6283, 399, 5904, 5849, 5906, 2068]"
13.0,96.34,3.0,"[4225, 2, 2308, 902, 1287, 775, 1200, 2259, 1146, 3612, 1885, 2623, 4587]"
100.0,158.8,3.0,"[2376, 1362, 5607, 5480, 3823, 748, 4962, 907, 5689, 63, 4159, 2628, 5701, 2631, 5198, 4174, 592, 5717, 1623, 1652, 610, 2165, 2174, 4223, 5250, 1666, 3204, 3207, 6287, 3731, 6805, 4760, 5789, 2208, 6821, 2216, 2218, 177, 6833, 181, 4798, 3274, 5324, 1230, 1232, 3810, 3812, 741, 2280, 5364, 5878, 2808, 2988, 3338, 778, 3345, 281, 3868, 5922, 1837, 3891, 6971, 1856, 1346, 4931, 1871, 336, 5972, 4448, 3939, 4967, 362, 2923, 2412, 6512, 3964, 7038, 5505, 3977, 1963, 6063, 4530, 436, 6071, 4537, 3515, 3525, 6091, 3021, 4558, 1486, 4050, 5590, 3033, 4574, 3038, 975, 4599, 1530, 1531]"
38.0,63.03,2.0,"[385, 2946, 1667, 2693, 4999, 3593, 1291, 1933, 1421, 5006, 6030, 5009, 2966, 1177, 4512, 167, 5031, 2985, 3499, 5167, 6064, 5297, 3503, 6577, 2621, 4413, 6591, 4804, 2376, 77, 1998, 1485, 2258, 6995, 1874, 2520, 5977, 2087]"
19.000000000000004,26.76,0.9999999999999998,"[3490, 6818, 3363, 1541, 2693, 805, 3593, 1291, 398, 2719, 2098, 5781, 2966, 2582, 5656, 1177, 6910, 6175, 3075]"
10.999999999999998,79.49,3.0,"[4225, 2, 2308, 902, 1287, 775, 1200, 2259, 5541, 5502, 173]"
2.000000000000001,63.11,3.0,"[3712, 2013]"
16.0,24.55,0.9999999999999998,"[1667, 2693, 488, 1291, 398, 2966, 1177, 5781, 2582, 2098, 5656, 6175, 2719, 3490, 6818, 3363]"
25.0,49.81,2.0,"[1421, 5006, 527, 6030, 5009, 22, 2966, 1177, 6170, 3098, 4125, 6173, 4512, 5666, 167, 2985, 3499, 5167, 6064, 5297, 3503, 6577, 2621, 841, 4212]"
25.0,30.48,0.9999999999999998,"[1541, 3344, 1562, 1062, 2345, 1485, 2258, 6995, 1874, 2520, 1497, 2522, 1757, 1630, 6495, 2528, 2276, 1000, 5609, 488, 3571, 5878, 7034, 3965, 4479]"
44.99999999999999,69.82,2.0,"[385, 2946, 1667, 2693, 4999, 3593, 1291, 1933, 1421, 5006, 6030, 5009, 2966, 1177, 4512, 167, 5031, 2985, 3499, 4907, 5167, 6064, 5297, 1713, 4791, 824, 185, 583, 713, 3275, 2123, 3155, 4437, 3542, 3927, 2135, 6357, 2263, 2910, 2020, 500, 3573, 6649, 6780, 4733]"
6.000000000000004,7.41,0.0,"[1538, 6283, 399, 5904, 5849, 2733]"
3.0000000000000018,22.67,2.0,"[2, 1011, 4892]"
