seed_set,spread,seed,communities,fairness,budget,time
[78],0.01292929292929293,1.0,0.13060740329699538,0.1674453888423021,0.9980925131139723,1.0
"[78, 70]",0.02429292929292929,0.9743589743589743,0.15237530384649456,0.1674453888423021,0.9885550786838341,1.0
"[70, 60, 35, 31, 30]",0.07388888888888889,0.8974358974358975,0.16744538884230165,0.1674453888423021,0.921793037672866,1.0
"[150, 148, 132, 127, 116, 69, 66, 22, 19, 18, 17, 14, 12, 11, 6]",0.6567676767676768,0.6410256410256411,0.5943522018739968,0.5756696728631966,0.5731998092513114,1.0
"[78, 70, 69, 66, 31, 30]",0.09090909090909091,0.8717948717948718,0.16744538884230165,0.1674453888423021,0.8741058655221745,1.0
"[167, 166, 148, 124, 100, 92, 88, 80, 76, 69, 66, 65, 59, 33, 32, 31, 22, 20, 19, 18, 17, 12, 6, 3]",1.0,0.41025641025641024,0.976985445568684,0.8311776471734864,0.3943729136862184,1.0
"[149, 132, 22, 19, 18, 14, 12, 11, 6, 3]",0.1519191919191919,0.7692307692307693,0.21493461653464907,0.31122192721975817,0.7195994277539342,1.0
"[167, 166, 148, 132, 124, 106, 100, 92, 88, 80, 76, 69, 66, 59, 33, 32, 31, 22, 19, 18, 17, 12, 6, 3]",1.0,0.41025641025641024,0.97987114641502,0.8603485463006242,0.396757272293753,1.0
"[78, 70, 69, 31]",0.05722222222222222,0.9230769230769231,0.16744538884230165,0.1674453888423021,0.9413447782546495,1.0
"[171, 78, 69, 66, 56, 41, 33, 31, 30]",0.12611111111111112,0.7948717948717948,0.16744538884230165,0.3209032245318445,0.8192656175488794,1.0
"[169, 154, 148, 132, 100, 96, 69, 66, 59, 33, 31, 22, 19, 18, 17, 14, 12, 6, 3]",0.923030303030303,0.5384615384615384,0.9081699111902611,0.7225931815541833,0.49308536003814973,1.0
"[167, 148, 132, 127, 124, 120, 69, 66, 61, 33, 32, 22, 19, 18, 17, 12, 6, 3]",0.8610606060606061,0.5641025641025641,0.8464648795706379,0.6644594494856062,0.5097758702908918,1.0
"[167, 166, 132, 100, 92, 88, 80, 76, 69, 66, 65, 59, 33, 31, 22, 20, 19, 18, 14, 12, 6, 3]",0.997979797979798,0.46153846153846156,0.9712608789099149,0.788051649947829,0.4420600858369099,1.0
"[174, 76, 70, 69, 66, 31, 30]",0.09974747474747475,0.8461538461538461,0.29277877336921665,0.34592438329113284,0.8702908917501192,1.0
"[173, 165, 148, 132, 124, 120, 80, 69, 66, 65, 33, 32, 31, 22, 20, 19, 17, 14, 13, 12, 6]",0.9869696969696969,0.48717948717948717,0.9593190251996584,0.7159375108775022,0.45207439198855504,1.0
"[167, 149, 148, 132, 89, 69, 66, 32, 31, 22, 20, 19, 18, 17, 12, 6, 3]",0.8041919191919191,0.5897435897435898,0.7949007105167096,0.6475467685169062,0.5317119694802098,1.0
"[149, 132, 108, 80, 66, 22, 20, 19, 18, 17, 14, 12, 11, 6]",0.5901010101010101,0.6666666666666666,0.5097535675982814,0.5627817602344236,0.5879828326180258,1.0
"[166, 164, 163, 132, 100, 92, 88, 80, 76, 73, 69, 66, 65, 59, 33, 31, 22, 19, 18, 14, 12, 11, 6, 3]",1.0,0.41025641025641024,0.9726185879084317,0.808155375313957,0.3938960419647115,1.0
"[164, 132, 66, 22, 20, 19, 18, 17, 14, 12, 6, 3]",0.4166161616161616,0.717948717948718,0.3872998847181678,0.45655071645797307,0.6437768240343348,1.0
"[165, 164, 163, 148, 132, 100, 92, 88, 80, 76, 73, 69, 66, 65, 59, 33, 31, 22, 19, 18, 17, 14, 12, 6]",1.0,0.41025641025641024,0.9726185879084317,0.808155375313957,0.3848354792560801,1.0
"[184, 166, 164, 148, 132, 124, 100, 92, 88, 76, 69, 66, 65, 33, 32, 31, 22, 20, 18, 14, 13, 12, 6, 3]",1.0,0.41025641025641024,0.9696226002972825,0.7735268424950474,0.4291845493562232,1.0
"[148, 132, 22, 20, 19, 18, 14, 12, 11, 6, 3]",0.26146464646464646,0.7435897435897436,0.2663020285213703,0.3027814651764853,0.6943252265140677,1.0
"[184, 182, 164, 148, 132, 124, 100, 92, 88, 76, 69, 66, 65, 33, 32, 31, 22, 19, 18, 14, 12, 11, 6, 3]",1.0,0.41025641025641024,0.9723856370146342,0.7858336577599963,0.4287076776347163,1.0
"[148, 132, 116, 66, 22, 19, 18, 17, 14, 13, 12, 6, 3]",0.5233838383838384,0.6923076923076923,0.4723949656512506,0.5231179664163417,0.6108726752503577,1.0
"[149, 148, 132, 89, 69, 66, 31, 22, 20, 19, 18, 17, 13, 12, 11, 6]",0.7026767676767677,0.6153846153846154,0.6620613424685518,0.6196998540787892,0.5436337625178826,1.0
"[166, 164, 136, 132, 100, 96, 73, 69, 66, 61, 33, 32, 31, 22, 19, 17, 14, 12, 11, 6]",0.9632323232323232,0.5128205128205128,0.946122535872424,0.7340568793903928,0.46590367191225557,1.0
"[167, 166, 163, 157, 148, 100, 92, 88, 80, 76, 69, 66, 65, 59, 33, 32, 31, 22, 20, 19, 17, 12, 6, 3]",1.0,0.41025641025641024,0.9696226002972825,0.7735268424950474,0.41344778254649495,1.0
"[78, 70, 69, 35, 33, 31, 30, 22]",0.11242424242424243,0.8205128205128205,0.16744538884230165,0.33233425330514077,0.8526466380543634,1.0
"[78, 70, 31]",0.046363636363636364,0.9487179487179487,0.16744538884230165,0.1674453888423021,0.9670958512160229,1.0
