n_nodes,influence,nodes
0.005050505050505051,0.01,[76]
0.06060606060606061,0.27,"[6, 167, 11, 12, 13, 14, 17, 19, 20, 149, 22, 22]"
0.0707070707070707,0.6,"[132, 6, 11, 12, 14, 17, 19, 20, 149, 22, 154, 166, 89, 66]"
0.12626262626262627,1.0,"[6, 11, 12, 13, 14, 17, 19, 20, 22, 33, 163, 37, 167, 41, 56, 66, 69, 78, 96, 100, 101, 111, 122, 127, 32]"
0.06565656565656566,0.51,"[132, 6, 11, 12, 18, 17, 19, 20, 149, 22, 100, 14, 66]"
0.010101010101010102,0.02,"[70, 31]"
0.09595959595959595,0.92,"[66, 100, 132, 69, 6, 13, 18, 12, 32, 14, 33, 19, 20, 149, 22, 31, 164, 41, 99]"
0.12626262626262627,1.0,"[132, 6, 11, 12, 14, 18, 19, 20, 149, 22, 31, 32, 33, 169, 41, 66, 69, 99, 100, 101, 111, 122, 124, 127, 78]"
0.020202020202020204,0.06,"[35, 70, 30, 31]"
0.030303030303030304,0.09,"[66, 35, 70, 76, 30, 31]"
0.10606060606060606,0.99,"[3, 6, 11, 12, 13, 18, 19, 20, 149, 22, 31, 32, 33, 166, 41, 66, 69, 73, 99, 100, 124]"
0.015151515151515152,0.04,"[78, 30, 31]"
0.12626262626262627,1.0,"[132, 6, 11, 12, 164, 17, 19, 20, 33, 22, 163, 37, 14, 41, 56, 66, 69, 78, 96, 100, 101, 111, 122, 127, 32]"
0.10101010101010101,0.97,"[132, 6, 12, 13, 14, 18, 19, 20, 149, 22, 31, 166, 124, 32, 33, 66, 99, 69, 100, 109]"
0.1111111111111111,1.0,"[6, 11, 12, 14, 18, 19, 20, 149, 22, 31, 32, 33, 35, 166, 41, 66, 69, 99, 100, 88, 17, 127]"
0.03535353535353535,0.1,"[33, 66, 69, 70, 51, 30, 31]"
0.050505050505050504,0.16,"[32, 33, 66, 58, 77, 30, 69, 41, 31, 21]"
0.08080808080808081,0.68,"[132, 6, 11, 12, 18, 17, 19, 163, 108, 22, 20, 116, 127, 74, 66, 14]"
0.06060606060606061,0.39,"[66, 132, 6, 166, 12, 14, 17, 19, 20, 127, 22, 149]"
0.09090909090909091,0.87,"[132, 6, 11, 12, 14, 148, 19, 13, 149, 22, 31, 20, 121, 32, 66, 3, 69, 41]"
0.08585858585858586,0.76,"[132, 6, 11, 12, 14, 148, 19, 13, 173, 22, 31, 121, 32, 20, 3, 69, 66]"
0.11616161616161616,1.0,"[6, 11, 12, 13, 3, 149, 19, 20, 22, 31, 166, 99, 32, 33, 66, 100, 69, 167, 101, 41, 111, 122, 127]"
0.08080808080808081,0.64,"[108, 6, 11, 12, 14, 17, 19, 20, 149, 167, 14, 120, 89, 66, 127, 164]"
0.12121212121212122,1.0,"[3, 6, 11, 12, 17, 18, 19, 149, 22, 23, 31, 32, 33, 169, 41, 66, 69, 99, 100, 101, 111, 122, 127, 164]"
0.12626262626262627,1.0,"[3, 6, 13, 12, 14, 17, 19, 20, 22, 33, 163, 32, 37, 167, 41, 56, 66, 69, 78, 42, 100, 101, 111, 122, 127]"
0.12626262626262627,1.0,"[3, 6, 11, 12, 13, 18, 132, 20, 149, 22, 31, 167, 56, 78, 96, 101, 111, 122, 32, 33, 41, 127, 66, 100, 69]"
0.12626262626262627,1.0,"[132, 6, 11, 12, 17, 18, 19, 20, 149, 22, 31, 166, 51, 78, 96, 111, 44, 32, 33, 66, 69, 41, 100, 101, 127]"
0.12626262626262627,1.0,"[132, 6, 12, 14, 17, 19, 20, 149, 22, 154, 31, 32, 33, 163, 166, 41, 51, 66, 69, 78, 96, 100, 101, 111, 127]"
0.025252525252525252,0.07,"[66, 70, 76, 30, 31]"
0.045454545454545456,0.16,"[32, 66, 69, 41, 181, 21, 61, 30, 31]"
0.12626262626262627,1.0,"[132, 6, 11, 12, 14, 18, 19, 20, 17, 22, 31, 32, 33, 166, 41, 66, 69, 51, 100, 101, 111, 96, 44, 127, 78]"
0.12626262626262627,1.0,"[3, 147, 6, 12, 14, 17, 19, 149, 22, 31, 20, 111, 122, 124, 78, 32, 33, 66, 99, 41, 169, 127, 69, 100, 101]"
0.04040404040404041,0.14,"[33, 66, 69, 52, 61, 30, 31, 63]"
