n_nodes,influence,nodes
0.005050505050505051,0.12,[66]
0.09595959595959595,0.48,"[3, 132, 5, 6, 17, 19, 20, 22, 30, 31, 89, 33, 65, 66, 69, 73, 116, 61, 92]"
0.050505050505050504,0.37,"[33, 66, 132, 69, 6, 22, 154, 92, 30, 31]"
0.06565656565656566,0.41,"[32, 33, 66, 132, 69, 6, 17, 19, 148, 116, 22, 30, 31]"
0.12121212121212122,0.51,"[132, 6, 136, 17, 19, 20, 148, 22, 30, 31, 171, 96, 55, 74, 76, 33, 61, 65, 66, 69, 73, 116, 89, 92]"
0.06060606060606061,0.39,"[33, 66, 69, 6, 104, 19, 111, 22, 92, 31, 22, 89]"
0.010101010101010102,0.17,"[66, 6]"
0.06060606060606061,0.41,"[33, 66, 132, 69, 6, 17, 19, 116, 22, 92, 30, 31]"
0.08585858585858586,0.46,"[132, 6, 17, 19, 20, 22, 89, 30, 31, 33, 66, 69, 96, 108, 116, 92, 61]"
0.03535353535353535,0.32,"[66, 33, 22, 132, 31, 6, 19]"
0.15656565656565657,0.56,"[132, 6, 136, 17, 19, 20, 148, 22, 153, 26, 154, 30, 31, 32, 168, 163, 59, 65, 13, 96, 61, 33, 97, 174, 66, 69, 73, 108, 89, 92, 116]"
0.13131313131313133,0.53,"[132, 6, 17, 19, 20, 22, 30, 31, 33, 172, 174, 59, 61, 65, 66, 69, 70, 73, 89, 92, 96, 97, 100, 108, 116, 12]"
0.1111111111111111,0.5,"[132, 6, 136, 17, 19, 20, 148, 22, 153, 30, 31, 32, 33, 61, 65, 66, 69, 89, 92, 116, 118, 27]"
0.015151515151515152,0.22,"[69, 66, 6]"
0.13636363636363635,0.53,"[3, 132, 6, 17, 19, 148, 22, 30, 31, 20, 73, 90, 92, 97, 100, 108, 113, 149, 37, 33, 118, 89, 116, 69, 77, 66, 65]"
0.12626262626262627,0.52,"[65, 24, 66, 22, 74, 69, 78, 108, 73, 136, 113, 12, 116, 100, 174, 124, 33, 132, 92, 6, 30, 20, 111, 61, 31]"
0.10606060606060606,0.49,"[132, 6, 136, 17, 19, 20, 148, 22, 18, 30, 31, 32, 118, 65, 66, 61, 33, 69, 116, 89, 92]"
0.045454545454545456,0.37,"[33, 66, 108, 69, 6, 19, 22, 30, 31]"
0.18181818181818182,0.59,"[3, 132, 6, 12, 17, 19, 20, 22, 24, 30, 31, 32, 33, 168, 174, 53, 59, 61, 65, 66, 69, 70, 73, 74, 76, 83, 88, 89, 90, 92, 96, 97, 100, 108, 116, 178]"
0.14646464646464646,0.55,"[3, 132, 6, 17, 19, 148, 20, 22, 30, 31, 33, 61, 65, 66, 69, 73, 74, 76, 89, 90, 92, 96, 97, 100, 108, 116, 118, 124, 114]"
0.0707070707070707,0.43,"[33, 66, 132, 69, 6, 22, 74, 92, 23, 31, 17, 19, 116, 30]"
0.17676767676767677,0.58,"[132, 6, 17, 19, 148, 22, 26, 154, 30, 31, 32, 33, 163, 168, 174, 186, 59, 61, 65, 66, 69, 70, 73, 74, 78, 83, 89, 90, 92, 96, 97, 100, 108, 116, 124]"
0.18686868686868688,0.59,"[132, 6, 136, 17, 19, 148, 22, 154, 26, 30, 31, 32, 33, 163, 168, 174, 186, 59, 61, 65, 66, 69, 70, 73, 74, 78, 83, 89, 90, 92, 96, 97, 100, 108, 116, 124, 95]"
0.1717171717171717,0.58,"[132, 6, 136, 17, 19, 20, 148, 22, 153, 30, 31, 32, 73, 74, 76, 100, 113, 168, 61, 83, 97, 89, 92, 108, 116, 65, 33, 124, 66, 69, 127, 163, 174, 59]"
0.04040404040404041,0.35,"[33, 66, 132, 69, 6, 19, 22, 31]"
0.08080808080808081,0.45,"[66, 69, 6, 3, 132, 17, 53, 73, 19, 116, 22, 148, 92, 61, 30, 31]"
0.020202020202020204,0.26,"[66, 100, 6, 31]"
0.07575757575757576,0.44,"[33, 66, 132, 69, 6, 108, 17, 19, 20, 116, 22, 89, 92, 30, 31]"
0.025252525252525252,0.28,"[66, 69, 6, 22, 31]"
0.19696969696969696,0.6,"[3, 132, 6, 11, 12, 17, 19, 148, 22, 30, 31, 32, 33, 163, 168, 172, 174, 53, 59, 61, 65, 66, 69, 70, 73, 74, 76, 80, 83, 89, 90, 92, 96, 97, 100, 108, 116, 124, 80]"
0.030303030303030304,0.31,"[92, 69, 66, 6, 22, 89]"
0.16666666666666666,0.57,"[132, 6, 136, 17, 18, 19, 148, 22, 30, 31, 33, 174, 59, 60, 61, 65, 66, 69, 73, 74, 76, 89, 90, 92, 96, 97, 100, 108, 114, 116, 118, 124, 74]"
0.10101010101010101,0.49,"[65, 33, 132, 66, 69, 6, 136, 73, 108, 17, 20, 116, 22, 89, 92, 61, 30, 31, 148, 74]"
0.19696969696969696,0.6,"[132, 6, 136, 17, 19, 20, 148, 22, 11, 30, 31, 83, 108, 74, 76, 80, 96, 144, 163, 124, 100, 168, 116, 61, 32, 33, 89, 92, 172, 174, 53, 59, 65, 66, 69, 70, 90, 73, 97]"
0.16666666666666666,0.58,"[2, 132, 6, 136, 17, 19, 20, 148, 22, 59, 60, 30, 31, 33, 73, 61, 65, 66, 69, 103, 76, 90, 89, 92, 96, 100, 108, 97, 116, 114, 118, 124, 74]"
0.1414141414141414,0.55,"[132, 6, 136, 17, 19, 20, 148, 22, 154, 26, 30, 31, 32, 168, 59, 78, 83, 81, 61, 96, 33, 65, 66, 69, 108, 89, 116, 92]"
0.09090909090909091,0.47,"[6, 136, 17, 19, 20, 148, 22, 27, 30, 31, 33, 61, 66, 69, 73, 89, 92, 118]"
