n_nodes,influence,nodes
1,22.33,[66]
39,119.44,"[33, 66, 132, 69, 6, 12, 17, 136, 148, 116, 22, 26, 88, 30, 31, 13, 19, 23, 167, 46, 55, 60, 61, 75, 78, 80, 85, 86, 89, 92, 99, 100, 104, 105, 111, 113, 118, 108, 44]"
3,52.16,"[66, 69, 6, 89]"
4,57.11,"[33, 66, 92, 6, 31]"
7,67.17,"[6, 18, 33, 66, 22, 69, 116]"
2,34.73,"[66, 6]"
18,94.7,"[33, 66, 132, 69, 6, 108, 9, 17, 19, 148, 22, 88, 89, 26, 92, 61, 30, 31]"
13,83.67,"[33, 66, 100, 69, 6, 12, 23, 22, 89, 19, 30, 31, 148]"
19,95.89,"[132, 6, 12, 17, 19, 148, 22, 26, 30, 31, 33, 61, 65, 66, 69, 78, 89, 92, 116, 31]"
14,86.55,"[6, 136, 12, 3, 19, 116, 22, 33, 26, 30, 31, 66, 69, 124]"
11,78.63,"[66, 132, 69, 100, 6, 12, 22, 89, 26, 30, 31]"
36,117.06,"[132, 6, 136, 9, 12, 17, 19, 148, 22, 23, 26, 30, 31, 33, 36, 172, 46, 60, 61, 66, 69, 75, 78, 80, 88, 89, 184, 92, 104, 100, 116, 118, 109, 111, 113, 122, 61]"
35,116.4,"[132, 6, 136, 9, 12, 17, 19, 148, 22, 23, 26, 30, 31, 33, 46, 60, 61, 66, 69, 75, 78, 80, 85, 86, 89, 92, 99, 100, 104, 109, 111, 113, 116, 118, 122]"
14,88.97,"[32, 33, 66, 132, 69, 6, 13, 116, 19, 148, 22, 89, 74, 30, 31]"
21,99.82,"[132, 6, 12, 17, 19, 148, 22, 26, 27, 30, 31, 33, 61, 65, 66, 69, 78, 89, 92, 116, 73]"
9,72.28,"[66, 69, 6, 116, 22, 89, 92, 30, 31]"
6,62.68,"[61, 66, 18, 69, 6, 22]"
25,105.87,"[132, 6, 12, 17, 19, 149, 22, 26, 30, 31, 60, 80, 100, 61, 104, 110, 127, 53, 33, 66, 92, 89, 69, 78, 116]"
38,118.76,"[6, 136, 12, 13, 17, 19, 148, 22, 23, 26, 30, 31, 33, 167, 44, 46, 55, 60, 61, 65, 66, 69, 75, 78, 80, 85, 88, 89, 92, 99, 100, 104, 105, 108, 111, 113, 116, 118]"
34,115.73,"[132, 6, 136, 9, 12, 171, 19, 148, 22, 23, 26, 30, 31, 33, 36, 32, 172, 46, 60, 61, 66, 69, 75, 78, 80, 108, 197, 88, 89, 90, 92, 104, 116, 118]"
30,111.74,"[132, 6, 12, 110, 122, 17, 19, 148, 22, 23, 26, 30, 31, 136, 33, 85, 172, 46, 60, 61, 66, 69, 75, 78, 80, 99, 89, 117, 92, 108, 116]"
33,114.5,"[132, 6, 136, 14, 17, 19, 148, 147, 22, 23, 153, 26, 30, 31, 33, 46, 60, 61, 66, 69, 75, 78, 80, 85, 89, 90, 92, 100, 104, 108, 109, 116, 34]"
37,118.0,"[132, 6, 136, 9, 12, 164, 19, 148, 22, 23, 26, 30, 31, 33, 36, 167, 172, 46, 60, 61, 66, 69, 75, 78, 80, 85, 86, 88, 89, 90, 92, 100, 104, 109, 111, 113, 116]"
29,110.62,"[66, 38, 132, 6, 13, 12, 69, 19, 116, 148, 22, 89, 92, 30, 31, 163, 136, 17, 26, 23, 33, 46, 83, 61, 75, 78, 80, 99, 108]"
32,113.29,"[66, 100, 110, 69, 167, 46, 6, 12, 89, 62, 22, 116, 26, 30, 31, 65, 118, 99, 122, 136, 17, 80, 19, 92, 60, 75, 83, 23, 61, 148, 78, 33]"
25,106.24,"[132, 6, 136, 17, 19, 148, 22, 26, 30, 31, 32, 33, 37, 45, 46, 61, 66, 69, 78, 80, 89, 90, 92, 108, 111, 120]"
23,102.82,"[132, 6, 136, 12, 17, 19, 148, 22, 26, 27, 30, 31, 33, 61, 65, 66, 69, 78, 80, 89, 100, 116, 92]"
24,104.25,"[132, 6, 136, 9, 12, 17, 19, 148, 22, 26, 30, 31, 33, 53, 61, 66, 69, 78, 80, 89, 92, 100, 116, 127]"
9,75.32,"[33, 66, 132, 69, 6, 108, 148, 22, 30, 31]"
27,107.47,"[132, 6, 136, 9, 12, 19, 148, 22, 23, 26, 30, 31, 33, 164, 46, 60, 61, 66, 69, 75, 78, 80, 89, 92, 100, 116, 122]"
15,91.43,"[33, 66, 132, 69, 6, 9, 17, 19, 116, 148, 22, 88, 89, 92, 30, 31]"
20,97.22,"[132, 6, 12, 17, 19, 148, 22, 26, 30, 31, 61, 59, 116, 100, 33, 66, 69, 78, 89, 92]"
8,68.88,"[33, 66, 69, 6, 136, 22, 92, 31]"
28,109.55,"[132, 6, 136, 9, 12, 19, 148, 22, 23, 26, 30, 31, 33, 36, 172, 46, 60, 61, 66, 69, 75, 78, 80, 89, 92, 99, 108, 116]"
12,80.98,"[9, 66, 132, 124, 116, 6, 31, 22, 89, 30, 92, 69]"
17,92.25,"[33, 66, 132, 69, 6, 9, 108, 17, 19, 148, 116, 22, 88, 89, 92, 30, 31]"
3,45.6,"[89, 66, 6]"
22,101.84,"[132, 6, 12, 17, 19, 136, 22, 26, 30, 31, 13, 46, 53, 80, 6, 33, 116, 66, 69, 100, 78, 92, 89]"
